,property,all-div,all-sim,prop_specific-div,prop_specific-sim,non-specific-div,non-specific-sim
0,dangerous,133,0.14,23,0.24,110,0.13
1,roll,149,0.15,10,0.21,139,0.15
2,fly,51,0.15,9,0.35,42,0.13
3,warm,121,0.14,9,0.27,112,0.14
4,used_in_cooking,369,0.24,8,0.38,361,0.24
5,wings,87,0.16,7,0.39,80,0.16
6,cold,74,0.14,6,0.34,67,0.14
7,wheels,40,0.22,4,0.39,36,0.22
8,made_of_wood,50,0.15,4,0.44,46,0.14
9,hot,25,0.22,3,0.28,22,0.22
10,female,17,0.27,3,0.58,14,0.27
11,juicy,102,0.3,2,0.64,100,0.3
12,sweet,21,0.31,2,0.47,19,0.32
13,blue,169,0.13,2,0.29,167,0.13
14,lay_eggs,22,0.28,2,0.83,20,0.29
15,black,57,0.13,2,0.15,55,0.13
16,round,42,0.21,2,0.12,40,0.22
17,swim,54,0.13,1,-0,53,0.13
18,yellow,4,0.23,1,-0,3,0.28
19,green,96,0.21,1,-0,95,0.21
20,red,96,0.14,1,-0,95,0.14
21,square,64,0.17,0,0,64,0.17
,median,60.5,0.17,2.5,0.34,59.5,0.17
