,property,all-div,all-sim,prop_specific-div,prop_specific-sim,non-specific-div,non-specific-sim
0,roll,130,0.15,10,0.26,120,0.15
1,made_of_wood,43,0.17,9,0.38,34,0.15
2,used_in_cooking,268,0.19,9,0.41,259,0.19
3,hot,25,0.21,8,0.23,17,0.21
4,warm,87,0.14,7,0.34,80,0.13
5,wings,57,0.2,6,0.54,51,0.19
6,dangerous,75,0.17,6,0.28,69,0.17
7,fly,23,0.2,5,0.38,18,0.2
8,wheels,32,0.26,5,0.33,27,0.26
9,round,47,0.17,4,0.17,43,0.18
10,black,64,0.12,4,0.27,59,0.12
11,female,22,0.27,3,0.34,19,0.29
12,cold,29,0.15,2,0.31,27,0.14
13,swim,77,0.15,2,0.67,75,0.15
14,sweet,11,0.32,1,-0,10,0.32
15,juicy,24,0.29,1,-0,23,0.29
16,blue,146,0.13,1,-0,144,0.13
17,green,77,0.15,1,-0,76,0.15
18,red,94,0.13,1,-0,93,0.13
19,yellow,8,0.16,0,0,8,0.16
20,lay_eggs,13,0.27,0,0,13,0.27
21,square,29,0.18,0,0,28,0.19
median,-0,45,0.17,3.5,0.31,38.5,0.17
