,context,n_concepts,mean_tfidf,mean_diff,evidence
0,limit,3,0.04,0.04,-
1,virginia,3,0.01,0.01,-
2,electrical,3,0.0,0.0,-
3,hub,3,0.0,0.0,-
4,extending,3,0.0,0.0,-
5,lowest,3,0.0,0.0,-
6,discuss,3,0.0,0.0,-
7,disrupted,3,0.0,0.0,-
8,utah,3,0.0,0.0,-
9,accepted,3,0.0,0.0,-
10,regarding,3,0.0,0.0,-
11,rampant,3,0.0,0.0,-
12,commercially,3,0.0,0.0,-
13,replacing,3,0.0,0.0,-
14,quarter,3,0.0,0.0,-
15,formerly,3,0.0,0.0,-
16,1970s,3,0.0,0.0,-
17,gradually,3,0.0,0.0,-
18,fast,3,0.0,0.0,-
19,canada,3,0.0,0.0,-
20,black,1,0.03,0.02,-
