,context,n_concepts,mean_tfidf,mean_diff,evidence
0,black,7,0.02,0.01,-
1,destroyed,7,0.0,0.0,-
2,leather,7,0.01,0.01,-
3,jackets,7,0.01,0.01,-
4,perhaps,7,0.0,0.0,-
5,cheers,7,0.0,0.0,-
6,vulnerable,7,0.0,0.0,-
7,proved,7,0.0,0.0,-
8,set,7,0.01,0.0,-
9,himself,6,0.0,0.0,-
10,underneath,6,0.0,0.0,-
11,save,6,0.0,0.0,-
12,27,6,0.0,0.0,-
13,revealed,6,0.0,0.0,-
14,walk,6,0.01,0.0,-
15,frustrated,6,0.0,0.0,-
16,post,6,0.0,0.0,-
17,had,6,0.01,0.01,-
18,old,6,0.01,0.0,-
19,bull,6,0.01,0.0,-
20,black,7,0.02,0.01,-
