,context,n_concepts,mean_tfidf,mean_diff,evidence
0,shared,22,0.0,0.0,-
1,comes,21,0.01,0.0,-
2,various,21,0.0,0.0,-
3,in,21,0.03,0.01,-
4,by,20,0.02,0.01,-
5,hit,20,0.01,0.01,-
6,spent,20,0.0,0.0,-
7,take,20,0.01,0.0,-
8,children,19,0.01,0.0,-
9,routine,19,0.0,0.0,-
10,dropping,19,0.0,0.0,-
11,european,19,0.01,0.0,-
12,either,19,0.0,0.0,-
13,similar,19,0.0,0.0,-
14,person,19,0.0,0.0,-
15,hardly,19,0.0,0.0,-
16,causing,19,0.0,0.0,-
17,all,19,0.01,0.0,-
18,keep,19,0.01,0.01,-
19,inside,19,0.01,0.01,-
20,blue,19,0.03,0.03,-
