,context,n_concepts,mean_tfidf,mean_diff,evidence
0,killed,42,0.03,0.02,r
1,shoot,40,0.01,0.01,r
2,killing,39,0.01,0.01,i
3,shooting,38,0.02,0.02,i
4,armed,37,0.02,0.02,r
5,reportedly,37,0,0,u
6,attack,37,0.02,0.02,i
7,apparently,37,0.01,0.01,u
8,lethal,37,0.02,0.02,r
9,man,36,0.02,0.01,b
10,target,36,0.01,0.01,r
11,hiding,36,0,0,r
12,captured,36,0.01,0.01,r
13,kill,36,0.01,0.01,r
14,dead,36,0.01,0.01,r
15,authorities,36,0.01,0.01,r
16,soldier,36,0.01,0.01,b
17,carried,35,0.01,0.01,u
18,battle,35,0.01,0.01,i
19,attacked,35,0.01,0.01,r
20,dangerous,32,0.01,0.01,p
