,context,n_concepts,mean_tfidf,mean_diff,evidence
0,attacked,8,0.02,0.02,r
1,killed,8,0.02,0.01,r
2,nicknamed,8,0.02,0.02,u
3,riding,8,0.01,0,u
4,attack,8,0.02,0.02,i
5,shots,7,0,0,i
6,fun,7,0.01,0.01,u
7,reputation,7,0,0,u
8,nine,7,0,0,u
9,experts,7,0,0,u
10,featured,7,0.01,0.01,u
11,survived,7,0.01,0,r
12,suspects,7,0,0,u
13,indicate,7,0,0,u
14,blamed,7,0.01,0.01,u
15,born,7,0.01,0,u
16,threatened,7,0.02,0.01,r
17,smiling,7,0.01,0.01,u
18,say,7,0.01,0.01,u
19,plays,7,0,0,u
20,dangerous,6,0,0,p
