,context,n_concepts,mean_tfidf,mean_diff,evidence
0,alleged,11,0.05,0.04,u
1,engaged,11,0.01,0.01,u
2,suspected,10,0.05,0.05,u
3,captured,10,0.01,0.01,r
4,man,10,0.02,0.01,b
5,convicted,10,0.04,0.04,r
6,sentenced,10,0.02,0.02,r
7,iraqi,9,0.02,0.02,b
8,charging,9,0.01,0.01,r
9,client,9,0,0,u
10,convinced,9,0.01,0.01,u
11,emerge,9,0,0,u
12,killer,9,0.02,0.01,i
13,terrorist,9,0.02,0.02,i
14,sentence,9,0.01,0.01,r
15,trial,9,0.01,0.01,r
16,prison,9,0.01,0.01,r
17,conspiracy,9,0.01,0.01,r
18,described,9,0.01,0.01,u
19,suspect,9,0.01,0.01,r
20,dangerous,5,0,0,p
