,context,n_concepts,mean_tfidf,mean_diff,evidence
0,green,50,0.03,0.03,-
1,leaves,45,0.04,0.03,-
2,plant,45,0.01,0.01,-
3,small,42,0.01,0.01,-
4,inch,41,0.01,0.01,-
5,plants,41,0.01,0.01,-
6,large,40,0.01,0.01,-
7,flowers,40,0.01,0.01,-
8,mint,40,0.03,0.02,-
9,bright,40,0.01,0.01,-
10,leaf,40,0.03,0.02,-
11,water,39,0.02,0.01,-
12,cut,39,0.01,0.01,-
13,branches,39,0.02,0.02,-
14,garden,38,0.02,0.02,-
15,variety,38,0.01,0.01,-
16,rows,38,0.0,0.0,-
17,orange,37,0.02,0.02,-
18,cool,37,0.01,0.01,-
19,preserved,37,0.0,0.0,-
20,green,50,0.03,0.03,-
