,context,n_concepts,mean_tfidf,mean_diff,evidence
0,trees,9,0.23,0.22,i
1,ash,9,0.03,0.03,u
2,branches,9,0.04,0.04,r
3,leaves,8,0.03,0.03,i
4,leaf,8,0.01,0.01,i
5,nestled,8,0.01,0.01,u
6,lined,8,0.02,0.01,u
7,dotted,8,0.01,0.01,u
8,grove,8,0.05,0.05,i
9,forests,8,0.07,0.07,i
10,tree,8,0.15,0.14,i
11,pine,8,0.11,0.11,i
12,lush,7,0.01,0.01,n
13,lawn,7,0.02,0.02,i
14,avenue,7,0.01,0.01,u
15,breeze,7,0,0,u
16,stained,7,0.01,0.01,u
17,gardens,7,0.01,0,i
18,rows,7,0,0,u
19,surrounded,7,0.01,0.01,u
20,green,5,0.07,0.06,p
