,context,n_concepts,mean_tfidf,mean_diff,evidence
0,hot,50,0.05,0.04,-
1,heat,50,0.04,0.04,-
2,flame,48,0.01,0.01,-
3,cooked,47,0.04,0.03,-
4,crisp,44,0.01,0.01,-
5,steam,44,0.04,0.04,-
6,warmed,44,0.01,0.01,-
7,cook,43,0.03,0.03,-
8,cooks,43,0.01,0.01,-
9,warm,43,0.02,0.01,-
10,burnt,42,0.0,0.0,-
11,arrange,42,0.0,0.0,-
12,burning,42,0.04,0.03,-
13,smoked,42,0.01,0.01,-
14,wood,41,0.04,0.03,-
15,restaurant,41,0.02,0.01,-
16,meal,41,0.02,0.01,-
17,log,41,0.01,0.01,-
18,steamed,41,0.01,0.01,-
19,oven,41,0.1,0.08,-
20,hot,50,0.05,0.04,-
