,context,n_concepts,mean_tfidf,mean_diff,evidence
0,flame,31,0.01,0.01,-
1,heat,30,0.05,0.05,-
2,burning,30,0.04,0.03,-
3,wood,29,0.04,0.04,-
4,iron,28,0.02,0.02,-
5,works,27,0.01,0.01,-
6,flames,27,0.01,0.01,-
7,steam,27,0.06,0.06,-
8,warmed,27,0.01,0.01,-
9,fired,26,0.01,0.01,-
10,hot,26,0.08,0.07,-
11,gas,26,0.04,0.03,-
12,huge,26,0.01,0.0,-
13,or,26,0.03,0.01,-
14,smoke,25,0.02,0.02,-
15,conventional,25,0.0,0.0,-
16,14,25,0.01,0.0,-
17,pine,25,0.0,0.0,-
18,oven,25,0.13,0.11,-
19,warm,25,0.02,0.02,-
20,hot,26,0.08,0.07,-
