,context,n_concepts,mean_tfidf,mean_diff,evidence
0,pineapple,57,0.04,0.04,-
1,orange,54,0.04,0.04,-
2,fruits,54,0.03,0.02,-
3,like,52,0.02,0.01,-
4,juices,51,0.02,0.01,-
5,fruit,51,0.07,0.07,-
6,papaya,50,0.03,0.03,-
7,among,50,0.0,0.0,-
8,mango,49,0.08,0.07,-
9,apple,49,0.04,0.04,-
10,citrus,49,0.02,0.02,-
11,or,49,0.02,0.01,-
12,ripe,49,0.04,0.04,-
13,grapefruit,48,0.03,0.03,-
14,flavors,48,0.05,0.05,-
15,cherry,48,0.06,0.05,-
16,drink,48,0.01,0.01,-
17,garden,48,0.01,0.01,-
18,picking,48,0.01,0.01,-
19,restaurant,48,0.01,0.01,-
20,juicy,45,0.01,0.01,-
