,context,n_concepts,mean_tfidf,mean_diff,evidence
0,species,5,0.05,0.05,u
1,population,5,0.01,0.01,u
2,healthy,5,0,0,u
3,turtles,5,0.2,0.2,i
4,preserve,5,0.01,0.01,u
5,river,5,0.01,0.01,r
6,rare,5,0.01,0.01,u
7,habitat,5,0.02,0.02,u
8,eggs,5,0.07,0.07,p
9,endangered,5,0.08,0.07,u
10,raised,4,0,0,u
11,beside,4,0,0,u
12,resembling,4,0,0,u
13,dies,4,0,0,u
14,70s,4,0,0,u
15,indigenous,4,0,0,u
16,wilderness,4,0.01,0.01,u
17,critically,4,0.01,0.01,u
18,numbers,4,0,0,u
19,headed,4,0.01,0,u
20,eggs,5,0.07,0.07,p
21,egg,3,0.02,0.02,p
