,context,n_concepts,mean_tfidf,mean_diff,evidence
0,enterprise,5,0.0,0.0,-
1,thinks,5,0.0,0.0,-
2,1998,5,0.0,0.0,-
3,assumed,5,0.0,0.0,-
4,1970,5,0.0,0.0,-
5,permanently,5,0.0,0.0,-
6,dale,5,0.0,0.0,-
7,visits,5,0.0,0.0,-
8,tracking,5,0.0,0.0,-
9,surviving,5,0.0,0.0,-
10,prestigious,5,0.0,0.0,-
11,revived,5,0.0,0.0,-
12,designer,5,0.0,0.0,-
13,cast,5,0.0,0.0,-
14,shared,5,0.0,0.0,-
15,lend,5,0.0,0.0,-
16,releasing,5,0.01,0.0,-
17,fate,5,0.0,0.0,-
18,gulf,5,0.0,0.0,-
19,strictly,5,0.0,0.0,-
20,wooden,3,0.01,0.0,-
