,context,n_concepts,mean_tfidf,mean_diff,evidence
0,steel,5,0.03,0.03,-
1,roses,5,0.01,0.01,-
2,leaked,5,0.0,0.0,-
3,fact,5,0.0,0.0,-
4,faint,5,0.0,0.0,-
5,temple,5,0.0,0.0,-
6,1980s,5,0.0,0.0,-
7,upon,5,0.0,0.0,-
8,feeling,5,0.0,0.0,-
9,cleared,5,0.0,0.0,-
10,finds,5,0.0,0.0,-
11,grandmother,5,0.0,0.0,-
12,thousand,5,0.0,0.0,-
13,array,5,0.0,0.0,-
14,hardly,5,0.0,0.0,-
15,comfort,5,0.0,0.0,-
16,slower,5,0.0,0.0,-
17,folk,5,0.0,0.0,-
18,tend,5,0.0,0.0,-
19,reportedly,5,0.0,0.0,-
20,red,4,0.04,0.03,-
