,context,n_concepts,mean_tfidf,mean_diff,evidence
0,wine,20,0.03,0.02,i
1,color,20,0.01,0.01,i
2,red,19,0.05,0.04,p
3,varieties,19,0.03,0.03,u
4,plants,19,0.02,0.01,u
5,plum,19,0.03,0.03,i
6,planted,18,0.02,0.02,u
7,cherry,18,0.07,0.07,i
8,plenty,17,0,0,u
9,vibrant,17,0,0,u
10,pear,17,0.03,0.02,u
11,variety,17,0.01,0.01,u
12,planting,17,0.01,0.01,u
13,popular,17,0.01,0.01,u
14,green,17,0.02,0.01,u
15,cocktail,16,0.01,0,i
16,dried,16,0.04,0.02,u
17,yellow,16,0.02,0.02,u
18,apple,16,0.03,0.02,i
19,flower,16,0.04,0.03,i
20,red,19,0.05,0.04,p
