,context,n_concepts,mean_tfidf,mean_diff,evidence
0,swept,3,0.0,0.0,-
1,hometown,3,0.0,0.0,-
2,postponed,3,0.0,0.0,-
3,1992,3,0.0,0.0,-
4,forward,3,0.0,0.0,-
5,breakaway,3,0.0,0.0,-
6,rivals,3,0.0,0.0,-
7,joining,3,0.0,0.0,-
8,shut,3,0.0,0.0,-
9,triumph,3,0.0,0.0,-
10,ryan,3,0.0,0.0,-
11,blew,3,0.0,0.0,-
12,extended,3,0.0,0.0,-
13,coach,3,0.0,0.0,-
14,host,3,0.0,0.0,-
15,campbell,3,0.0,0.0,-
16,streak,3,0.0,0.0,-
17,stunning,3,0.0,0.0,-
18,ottawa,3,0.01,0.01,-
19,nhl,3,0.01,0.01,-
20,red,1,0.02,0.0,-
