,context,n_concepts,mean_tfidf,mean_diff,evidence
0,energy,8,0.0,0.0,-
1,founder,7,0.01,0.0,-
2,owns,7,0.01,0.01,-
3,compelling,7,0.0,0.0,-
4,branch,7,0.01,0.01,-
5,va,7,0.0,0.0,-
6,belong,7,0.0,0.0,-
7,trial,7,0.0,0.0,-
8,wales,7,0.0,0.0,-
9,sustain,7,0.0,0.0,-
10,reflected,7,0.0,0.0,-
11,valley,7,0.01,0.01,-
12,referred,7,0.0,0.0,-
13,believes,7,0.0,0.0,-
14,wife,7,0.01,0.0,-
15,years,7,0.01,0.0,-
16,spokeswoman,7,0.01,0.0,-
17,at,7,0.02,0.01,-
18,heard,7,0.01,0.0,-
19,period,6,0.0,0.0,-
20,red,5,0.08,0.07,-
