,context,n_concepts,mean_tfidf,mean_diff,evidence
0,soup,9,0.18,0.16,i
1,spinach,9,0.04,0.03,u
2,squash,9,0.01,0.01,u
3,vegetables,9,0.03,0.03,i
4,tomato,8,0.04,0.03,i
5,savory,8,0.01,0.01,u
6,beet,8,0.02,0.02,i
7,stewed,8,0.02,0.01,u
8,dishes,8,0.02,0.02,u
9,vegetable,8,0.03,0.03,i
10,beets,8,0.02,0.02,i
11,potato,8,0.03,0.02,u
12,carrot,8,0.04,0.03,u
13,red,8,0.04,0.03,p
14,relish,7,0.01,0.01,i
15,salads,7,0.01,0.01,u
16,plates,7,0.01,0,u
17,inch,7,0.01,0.01,u
18,casserole,7,0.01,0.01,u
19,plant,7,0.01,0.01,u
20,red,8,0.04,0.03,p
