,context,n_concepts,mean_tfidf,mean_diff,evidence
0,ride,7,0.11,0.1,-
1,stops,7,0.01,0.0,-
2,hills,7,0.01,0.01,-
3,raced,7,0.01,0.01,-
4,cliff,7,0.0,0.0,-
5,return,7,0.01,0.01,-
6,gravel,7,0.0,0.0,-
7,williams,7,0.0,0.0,-
8,introduced,7,0.01,0.01,-
9,train,7,0.03,0.03,-
10,recently,7,0.0,0.0,-
11,today,7,0.01,0.0,-
12,get,7,0.01,0.01,-
13,seat,7,0.02,0.01,-
14,view,7,0.0,0.0,-
15,taken,7,0.01,0.01,-
16,truck,7,0.02,0.02,-
17,mother,7,0.01,0.0,-
18,climb,7,0.01,0.0,-
19,many,7,0.01,0.0,-
20,rolling,7,0.02,0.01,-
21,rolled,6,0.02,0.02,-
22,rolls,6,0.01,0.01,-
23,roll,6,0.02,0.01,-
