,context,n_concepts,mean_tfidf,mean_diff,evidence
0,syrup,55,0.03,0.03,-
1,banana,54,0.04,0.04,-
2,sweet,54,0.03,0.02,-
3,jam,53,0.03,0.03,-
4,berry,51,0.01,0.01,-
5,peach,50,0.06,0.05,-
6,fruit,50,0.06,0.06,-
7,caramel,49,0.02,0.02,-
8,so,49,0.01,0.0,-
9,grape,49,0.02,0.02,-
10,cherry,49,0.04,0.04,-
11,candy,49,0.02,0.01,-
12,chocolate,49,0.07,0.07,-
13,strawberry,48,0.05,0.05,-
14,apple,48,0.05,0.04,-
15,blueberry,48,0.02,0.02,-
16,she,48,0.01,0.01,-
17,coconut,48,0.03,0.03,-
18,dessert,47,0.02,0.02,-
19,sweetness,47,0.01,0.01,-
20,sweet,54,0.03,0.02,-
