,context,n_concepts,mean_tfidf,mean_diff,evidence
0,banana,33,0.04,0.04,i
1,grape,32,0.02,0.02,i
2,fruit,32,0.06,0.05,i
3,peach,32,0.08,0.07,i
4,apricot,31,0.04,0.04,i
5,syrup,31,0.04,0.03,i
6,flavors,31,0.07,0.06,r
7,plum,31,0.04,0.04,i
8,blueberry,31,0.02,0.02,i
9,strawberry,30,0.05,0.05,i
10,blackberry,30,0.04,0.04,i
11,jam,30,0.04,0.04,i
12,sweet,30,0.02,0.01,p
13,caramel,30,0.02,0.02,i
14,cherry,30,0.05,0.05,i
15,growers,30,0.05,0.04,u
16,liqueur,29,0.03,0.03,i
17,orange,29,0.04,0.04,i
18,pear,29,0.04,0.03,i
19,hint,29,0.01,0.01,u
20,sweet,30,0.02,0.01,p
