,context,n_concepts,mean_tfidf,mean_diff,evidence
0,banana,38,0.04,0.04,i
1,syrup,36,0.03,0.03,i
2,sweet,35,0.02,0.02,p
3,orange,34,0.04,0.03,i
4,jam,33,0.04,0.04,i
5,growers,32,0.05,0.04,u
6,flavors,32,0.06,0.05,r
7,blueberry,32,0.02,0.02,i
8,fruit,32,0.07,0.06,i
9,plum,31,0.04,0.04,i
10,sweetness,31,0.01,0.01,p
11,berry,31,0.02,0.02,i
12,flower,31,0.01,0.01,u
13,strawberry,31,0.07,0.06,i
14,apple,31,0.03,0.03,i
15,grape,31,0.02,0.02,i
16,planted,31,0.01,0.01,u
17,pear,31,0.03,0.03,i
18,flavor,31,0.03,0.02,r
19,coconut,31,0.04,0.03,i
20,sweet,35,0.02,0.02,p
