,context,n_concepts,mean_tfidf,mean_diff,evidence
0,banana,38,0.04,0.04,-
1,syrup,36,0.03,0.03,-
2,sweet,35,0.02,0.02,-
3,orange,34,0.04,0.03,-
4,jam,33,0.04,0.04,-
5,growers,32,0.05,0.04,-
6,flavors,32,0.06,0.05,-
7,blueberry,32,0.02,0.02,-
8,fruit,32,0.07,0.06,-
9,plum,31,0.04,0.04,-
10,sweetness,31,0.01,0.01,-
11,berry,31,0.02,0.02,-
12,flower,31,0.01,0.01,-
13,strawberry,31,0.07,0.06,-
14,apple,31,0.03,0.03,-
15,grape,31,0.02,0.02,-
16,planted,31,0.01,0.01,-
17,pear,31,0.03,0.03,-
18,flavor,31,0.03,0.02,-
19,coconut,31,0.04,0.03,-
20,sweet,35,0.02,0.02,-
