,context,n_concepts,mean_tfidf,mean_diff,evidence
0,duck,6,0.03,0.03,-
1,president,6,0.01,0.01,-
2,is,5,0.03,0.02,-
3,takes,5,0.01,0.01,-
4,hot,5,0.0,0.0,-
5,looks,5,0.0,0.0,-
6,third,5,0.01,0.01,-
7,floating,5,0.01,0.01,-
8,removing,5,0.01,0.01,-
9,cooked,4,0.01,0.0,-
10,medium,4,0.0,0.0,-
11,seller,4,0.0,0.0,-
12,serves,4,0.0,0.0,-
13,adams,4,0.01,0.01,-
14,kind,4,0.01,0.01,-
15,made,4,0.01,0.0,-
16,neck,4,0.14,0.14,-
17,down,4,0.01,0.0,-
18,until,4,0.01,0.0,-
19,tours,4,0.01,0.01,-
20,swim,1,0.0,0.0,-
