,context,n_concepts,mean_tfidf,mean_diff,evidence
0,breeding,7,0.01,0.01,u
1,bean,7,0.01,0.01,i
2,there,7,0,0,u
3,20,7,0.01,0,u
4,half,7,0,0,r
5,business,7,0,0,u
6,live,7,0.01,0,u
7,filled,7,0,0,u
8,add,7,0.03,0.03,r
9,complete,7,0,0,u
10,chicken,7,0.05,0.05,i
11,taste,7,0.01,0.01,r
12,sole,7,0,0,i
13,ban,7,0.03,0.03,u
14,warm,7,0.01,0.01,r
15,salmon,7,0.05,0.05,i
16,mediterranean,7,0.01,0.01,r
17,washed,7,0,0,r
18,millions,7,0,0,u
19,eggs,7,0.02,0.02,i
20,cook,6,0.02,0.02,p
21,cooking,5,0.02,0.02,p
22,cooked,5,0.09,0.09,p
23,cooks,1,0.01,0.01,p
