,context,n_concepts,mean_tfidf,mean_diff,evidence
0,fish,7,0.01,0.01,-
1,pot,7,0.01,0.01,-
2,prepared,7,0.01,0.0,-
3,pie,7,0.01,0.01,-
4,pieces,6,0.01,0.01,-
5,low,6,0.0,0.0,-
6,cover,6,0.01,0.0,-
7,gift,6,0.01,0.01,-
8,add,6,0.02,0.02,-
9,place,6,0.01,0.0,-
10,cool,6,0.01,0.0,-
11,potato,6,0.02,0.02,-
12,about,6,0.01,0.0,-
13,coffee,6,0.01,0.01,-
14,chicken,6,0.02,0.02,-
15,fruit,6,0.02,0.01,-
16,cook,6,0.01,0.01,-
17,slice,6,0.03,0.03,-
18,or,6,0.02,0.01,-
19,kitchen,6,0.07,0.07,-
20,cook,6,0.01,0.01,-
21,cooking,5,0.01,0.01,-
22,cooked,3,0.01,0.01,-
