,context,n_concepts,mean_tfidf,mean_diff,evidence
0,paste,9,0.06,0.06,-
1,green,9,0.03,0.03,-
2,flour,9,0.13,0.12,-
3,dinner,9,0.0,0.0,-
4,hot,9,0.0,0.0,-
5,dip,9,0.03,0.02,-
6,serve,9,0.01,0.01,-
7,reserved,9,0.01,0.01,-
8,menu,9,0.01,0.01,-
9,potato,9,0.02,0.02,-
10,liquid,9,0.02,0.02,-
11,bean,9,0.03,0.03,-
12,bowl,9,0.01,0.01,-
13,cans,9,0.01,0.01,-
14,mix,9,0.01,0.01,-
15,recipe,9,0.03,0.03,-
16,recipes,9,0.01,0.01,-
17,cream,9,0.04,0.04,-
18,egg,9,0.01,0.01,-
19,filling,9,0.01,0.01,-
20,cook,8,0.0,0.0,-
21,cooking,6,0.01,0.01,-
22,cooked,5,0.01,0.01,-
