,context,n_concepts,mean_tfidf,mean_diff,evidence
0,heavy,51,0.01,0.01,-
1,heated,43,0.01,0.01,-
2,covered,42,0.03,0.02,-
3,lined,42,0.02,0.02,-
4,instead,42,0.01,0.0,-
5,down,41,0.02,0.01,-
6,traditional,41,0.02,0.02,-
7,outer,41,0.0,0.0,-
8,32,41,0.0,0.0,-
9,entered,40,0.0,0.0,-
10,climbed,40,0.0,0.0,-
11,slipped,40,0.01,0.0,-
12,warm,40,0.02,0.02,-
13,room,40,0.02,0.02,-
14,makes,40,0.01,0.0,-
15,perfect,39,0.01,0.0,-
16,lean,39,0.0,0.0,-
17,hood,39,0.01,0.01,-
18,ran,39,0.0,0.0,-
19,under,39,0.02,0.01,-
20,warm,40,0.02,0.02,-
