context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
population,22,0.01,0.01,0.0,0.03
populations,21,0.02,0.02,0.0,0.06
creature,21,0.01,0.01,0.0,0.04
suddenly,21,0.0,0.0,0.0,0.01
animal,21,0.02,0.02,0.0,0.09
tested,21,0.01,0.01,0.0,0.06
survival,20,0.01,0.0,0.0,0.01
mouse,20,0.05,0.04,0.0,0.69
found,20,0.01,0.01,0.01,0.08
chased,20,0.0,0.0,0.0,0.02
tracking,20,0.01,0.01,0.0,0.05
endangered,19,0.04,0.03,0.01,0.19
black,19,0.02,0.01,0.01,0.04
habitat,19,0.03,0.03,0.01,0.23
kill,19,0.01,0.01,0.0,0.03
eye,19,0.01,0.01,0.0,0.06
discovered,19,0.01,0.0,0.0,0.01
seen,19,0.0,0.0,0.0,0.01
dna,19,0.01,0.01,0.0,0.03
laboratory,19,0.0,0.0,0.0,0.01
birth,19,0.01,0.01,0.0,0.03
killing,19,0.01,0.0,0.0,0.01
strange,19,0.0,0.0,0.0,0.01
been,19,0.01,0.0,0.0,0.03
characters,19,0.01,0.0,0.0,0.02
breeding,18,0.02,0.01,0.0,0.06
inspired,18,0.0,0.0,0.0,0.02
named,18,0.02,0.01,0.01,0.05
vulnerable,18,0.0,0.0,0.0,0.01
impact,18,0.0,0.0,0.0,0.01
raising,18,0.01,0.0,0.0,0.04
expert,18,0.01,0.0,0.0,0.02
adult,18,0.01,0.0,0.0,0.02
live,18,0.01,0.01,0.0,0.08
dead,18,0.02,0.02,0.0,0.07
evidence,18,0.0,0.0,0.0,0.03
called,18,0.01,0.01,0.0,0.03
identified,18,0.0,0.0,0.0,0.02
meets,18,0.0,0.0,0.0,0.01
pig,18,0.02,0.02,0.0,0.23
killed,18,0.01,0.01,0.0,0.04
remains,18,0.0,0.0,0.0,0.02
threatened,18,0.01,0.0,0.0,0.04
scientific,18,0.0,0.0,0.0,0.0
victim,18,0.0,0.0,0.0,0.01
virus,18,0.02,0.02,0.0,0.06
lab,18,0.01,0.0,0.0,0.02
humans,18,0.01,0.01,0.0,0.04
how,18,0.01,0.0,0.0,0.02
species,17,0.06,0.05,0.01,0.14
millions,17,0.0,0.0,0.0,0.01
protecting,17,0.0,0.0,0.0,0.02
hungry,17,0.01,0.0,0.0,0.02
becoming,17,0.0,0.0,0.0,0.01
lives,17,0.01,0.01,0.0,0.02
perhaps,17,0.0,0.0,0.0,0.01
another,17,0.01,0.01,0.0,0.03
look,17,0.01,0.01,0.0,0.02
sort,17,0.0,0.0,0.0,0.01
man,17,0.01,0.01,0.0,0.04
existence,17,0.0,0.0,0.0,0.03
world,17,0.01,0.0,0.0,0.03
taught,17,0.0,0.0,0.0,0.03
encounter,17,0.01,0.0,0.0,0.02
human,17,0.01,0.01,0.0,0.03
likely,17,0.01,0.0,0.0,0.02
attacking,17,0.0,0.0,0.0,0.02
mice,17,0.01,0.01,0.0,0.02
sequence,17,0.0,0.0,0.0,0.01
chasing,17,0.01,0.01,0.0,0.03
costumes,17,0.0,0.0,0.0,0.01
hero,17,0.0,0.0,0.0,0.01
researchers,17,0.01,0.0,0.0,0.02
shown,17,0.0,0.0,0.0,0.01
appeared,17,0.0,0.0,0.0,0.01
odd,17,0.0,0.0,0.0,0.01
will,17,0.01,0.0,0.01,0.01
which,17,0.01,0.0,0.01,0.02
200,17,0.01,0.0,0.0,0.01
fire,17,0.0,0.0,0.0,0.01
environment,17,0.0,0.0,0.0,0.01
describe,17,0.0,0.0,0.0,0.01
magic,17,0.0,0.0,0.0,0.01
generated,17,0.0,0.0,0.0,0.01
threat,17,0.01,0.0,0.0,0.04
infected,17,0.02,0.01,0.0,0.04
eyes,17,0.02,0.02,0.0,0.1
enormous,17,0.0,0.0,0.0,0.01
involves,17,0.0,0.0,0.0,0.02
extinct,16,0.02,0.01,0.0,0.11
survive,16,0.01,0.01,0.0,0.05
grounds,16,0.01,0.0,0.0,0.02
bigger,16,0.0,0.0,0.0,0.01
hear,16,0.0,0.0,0.0,0.01
famed,16,0.01,0.01,0.0,0.05
around,16,0.01,0.01,0.0,0.03
equipped,16,0.0,0.0,0.0,0.01
remarkable,16,0.0,0.0,0.0,0.01
allowing,16,0.0,0.0,0.0,0.01
tough,16,0.0,0.0,0.0,0.01
spot,16,0.01,0.0,0.0,0.02
protect,16,0.01,0.0,0.0,0.03
men,16,0.0,0.0,0.0,0.01
united,16,0.0,0.0,0.0,0.01
entered,16,0.0,0.0,0.0,0.01
living,16,0.01,0.0,0.0,0.01
similar,16,0.0,0.0,0.0,0.01
first,16,0.01,0.01,0.0,0.07
could,16,0.01,0.0,0.0,0.03
theory,16,0.01,0.01,0.0,0.19
like,16,0.03,0.02,0.01,0.1
toy,16,0.01,0.01,0.0,0.04
can,16,0.01,0.01,0.01,0.03
case,16,0.01,0.01,0.0,0.02
claiming,16,0.0,0.0,0.0,0.01
handling,16,0.0,0.0,0.0,0.03
rabbit,16,0.03,0.03,0.0,0.23
creatures,16,0.01,0.01,0.0,0.03
initial,16,0.0,0.0,0.0,0.04
missing,16,0.01,0.0,0.0,0.02
resemble,16,0.0,0.0,0.0,0.02
scientists,16,0.01,0.0,0.0,0.01
stories,16,0.0,0.0,0.0,0.01
son,16,0.0,0.0,0.0,0.01
bones,16,0.01,0.01,0.0,0.02
save,16,0.0,0.0,0.0,0.01
himself,16,0.01,0.0,0.0,0.01
watching,16,0.01,0.0,0.0,0.01
dog,16,0.05,0.05,0.0,0.25
body,16,0.01,0.0,0.0,0.02
