context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
farmers,5,0.02,0.01,0.0,0.03
steaming,5,0.01,0.01,0.0,0.02
dish,5,0.01,0.01,0.01,0.02
desired,5,0.01,0.01,0.0,0.02
maine,5,0.02,0.02,0.0,0.07
mixture,5,0.03,0.02,0.01,0.07
farms,5,0.02,0.02,0.01,0.06
blue,5,0.02,0.01,0.01,0.05
such,5,0.01,0.0,0.01,0.01
juices,5,0.0,0.0,0.0,0.01
basics,5,0.0,0.0,0.0,0.01
suspended,5,0.0,0.0,0.0,0.01
cooperative,5,0.0,0.0,0.0,0.01
task,5,0.0,0.0,0.0,0.01
spain,5,0.0,0.0,0.0,0.01
pockets,5,0.0,0.0,0.0,0.01
consumption,5,0.01,0.01,0.0,0.03
recalling,5,0.0,0.0,0.0,0.01
baking,5,0.01,0.01,0.01,0.01
balance,5,0.0,0.0,0.0,0.01
flavored,5,0.01,0.01,0.01,0.03
detected,5,0.01,0.01,0.0,0.03
ban,5,0.0,0.0,0.0,0.01
intense,5,0.0,0.0,0.0,0.01
trout,5,0.01,0.01,0.0,0.03
effort,5,0.0,0.0,0.0,0.01
tend,5,0.0,0.0,0.0,0.01
renowned,5,0.0,0.0,0.0,0.01
beyond,5,0.0,0.0,0.0,0.01
note,5,0.0,0.0,0.0,0.01
product,5,0.0,0.0,0.0,0.01
milk,5,0.03,0.03,0.0,0.12
various,5,0.0,0.0,0.0,0.01
adding,5,0.0,0.0,0.0,0.01
contain,5,0.0,0.0,0.0,0.01
warm,5,0.01,0.01,0.01,0.04
coffee,5,0.01,0.01,0.0,0.02
contains,5,0.01,0.0,0.0,0.01
cover,5,0.01,0.0,0.0,0.02
either,5,0.0,0.0,0.0,0.01
production,5,0.01,0.0,0.0,0.01
ice,5,0.02,0.01,0.0,0.04
except,5,0.0,0.0,0.0,0.0
comes,5,0.0,0.0,0.0,0.01
serves,5,0.0,0.0,0.0,0.01
filled,5,0.01,0.01,0.0,0.03
half,5,0.0,0.0,0.0,0.01
oven,5,0.01,0.01,0.0,0.02
samples,5,0.01,0.01,0.0,0.02
moist,5,0.0,0.0,0.0,0.01
