context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
mix,11,0.01,0.01,0.0,0.04
cafe,11,0.02,0.02,0.0,0.07
spilled,11,0.01,0.01,0.0,0.02
concentrate,10,0.02,0.02,0.0,0.1
beer,10,0.03,0.03,0.0,0.17
frozen,10,0.01,0.01,0.0,0.08
bottles,10,0.05,0.05,0.0,0.3
gallons,10,0.02,0.02,0.0,0.09
soft,10,0.01,0.01,0.0,0.04
container,10,0.01,0.0,0.0,0.01
honey,10,0.01,0.01,0.0,0.05
spirits,10,0.01,0.01,0.0,0.07
organic,10,0.01,0.01,0.0,0.06
adds,10,0.0,0.0,0.0,0.0
cart,10,0.0,0.0,0.0,0.01
sample,10,0.0,0.0,0.0,0.0
grow,10,0.0,0.0,0.0,0.01
check,10,0.0,0.0,0.0,0.01
lots,10,0.0,0.0,0.0,0.01
sometimes,10,0.0,0.0,0.0,0.01
reduces,10,0.0,0.0,0.0,0.0
tea,9,0.08,0.08,0.01,0.27
drinks,9,0.05,0.04,0.0,0.1
selling,9,0.01,0.01,0.0,0.05
fruit,9,0.03,0.03,0.01,0.11
sugar,9,0.04,0.04,0.0,0.12
punch,9,0.01,0.0,0.0,0.03
flavored,9,0.02,0.02,0.0,0.03
glasses,9,0.01,0.01,0.0,0.04
pour,9,0.02,0.02,0.01,0.04
ice,9,0.02,0.02,0.01,0.05
coffee,9,0.06,0.05,0.0,0.22
cherry,9,0.02,0.02,0.0,0.12
sweet,9,0.01,0.01,0.0,0.06
sold,9,0.01,0.01,0.0,0.02
cold,9,0.03,0.02,0.01,0.07
fried,9,0.01,0.01,0.0,0.02
laced,9,0.01,0.01,0.0,0.02
juices,9,0.01,0.01,0.0,0.01
blend,9,0.01,0.01,0.0,0.01
sales,9,0.01,0.01,0.0,0.05
50,9,0.01,0.0,0.01,0.02
vanilla,9,0.01,0.01,0.0,0.07
variety,9,0.0,0.0,0.0,0.01
donated,9,0.0,0.0,0.0,0.01
products,9,0.02,0.01,0.0,0.09
