context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
up,32,0.02,0.01,0.01,0.24
food,32,0.01,0.01,0.0,0.07
dry,31,0.01,0.01,0.0,0.02
fine,31,0.0,0.0,0.0,0.01
even,30,0.01,0.0,0.0,0.02
wash,29,0.01,0.01,0.0,0.04
only,29,0.01,0.01,0.0,0.05
you,29,0.01,0.01,0.01,0.04
until,29,0.01,0.01,0.0,0.07
offering,29,0.0,0.0,0.0,0.04
lose,29,0.0,0.0,0.0,0.01
helps,29,0.01,0.0,0.0,0.04
little,28,0.01,0.0,0.0,0.02
available,28,0.01,0.01,0.0,0.03
best,28,0.01,0.0,0.0,0.04
tea,28,0.01,0.01,0.0,0.14
too,28,0.01,0.0,0.0,0.02
warm,27,0.01,0.01,0.0,0.04
keep,27,0.01,0.0,0.0,0.03
or,27,0.02,0.01,0.01,0.04
then,27,0.01,0.01,0.01,0.03
brown,27,0.01,0.01,0.0,0.03
selling,27,0.01,0.0,0.0,0.02
getting,27,0.01,0.0,0.0,0.01
many,27,0.01,0.0,0.0,0.01
does,27,0.01,0.01,0.0,0.02
traditional,27,0.01,0.0,0.0,0.02
originally,27,0.0,0.0,0.0,0.01
example,27,0.0,0.0,0.0,0.02
company,27,0.01,0.01,0.0,0.03
both,27,0.01,0.0,0.0,0.02
for,26,0.03,0.02,0.01,0.08
million,26,0.01,0.0,0.0,0.02
each,26,0.01,0.01,0.0,0.06
fold,26,0.0,0.0,0.0,0.02
than,26,0.01,0.01,0.01,0.04
can,26,0.02,0.01,0.01,0.05
know,26,0.01,0.0,0.0,0.01
easy,26,0.01,0.01,0.0,0.03
few,26,0.01,0.0,0.0,0.02
really,26,0.0,0.0,0.0,0.01
95,26,0.01,0.01,0.0,0.02
sometimes,26,0.01,0.0,0.0,0.02
today,26,0.0,0.0,0.0,0.01
about,26,0.01,0.0,0.01,0.02
free,26,0.01,0.0,0.0,0.02
open,26,0.01,0.01,0.0,0.11
find,26,0.01,0.01,0.0,0.08
bigger,26,0.01,0.01,0.0,0.1
ask,26,0.0,0.0,0.0,0.01
idea,26,0.0,0.0,0.0,0.01
give,26,0.01,0.0,0.0,0.02
works,26,0.0,0.0,0.0,0.01
arrives,26,0.0,0.0,0.0,0.02
remaining,26,0.0,0.0,0.0,0.03
typically,26,0.0,0.0,0.0,0.01
market,26,0.01,0.01,0.0,0.08
92,26,0.0,0.0,0.0,0.01
wondering,26,0.0,0.0,0.0,0.01
opposite,26,0.0,0.0,0.0,0.01
guess,26,0.0,0.0,0.0,0.02
prefer,26,0.0,0.0,0.0,0.01
thus,26,0.0,0.0,0.0,0.03
gives,26,0.01,0.01,0.0,0.03
fact,26,0.0,0.0,0.0,0.01
makes,26,0.01,0.0,0.0,0.01
all,26,0.01,0.01,0.0,0.06
provides,26,0.0,0.0,0.0,0.02
comfortable,25,0.01,0.0,0.0,0.07
the,25,0.07,0.03,0.04,0.12
fill,25,0.01,0.0,0.0,0.05
full,25,0.01,0.01,0.0,0.04
wine,25,0.01,0.01,0.0,0.09
sits,25,0.0,0.0,0.0,0.01
over,25,0.01,0.01,0.01,0.06
your,25,0.01,0.01,0.01,0.03
if,25,0.01,0.01,0.01,0.03
25,25,0.01,0.0,0.0,0.02
ll,25,0.01,0.0,0.0,0.02
will,25,0.01,0.01,0.01,0.03
collected,25,0.0,0.0,0.0,0.01
every,25,0.01,0.01,0.0,0.02
52,25,0.0,0.0,0.0,0.02
much,25,0.01,0.0,0.0,0.02
taking,25,0.01,0.01,0.0,0.08
time,25,0.01,0.01,0.0,0.04
better,25,0.0,0.0,0.0,0.02
work,25,0.01,0.0,0.0,0.02
