context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
madonna,5,0.03,0.02,0.0,0.12
christina,5,0.02,0.01,0.0,0.06
monica,5,0.01,0.01,0.0,0.03
fun,5,0.01,0.01,0.0,0.02
range,5,0.01,0.01,0.0,0.02
45,5,0.01,0.01,0.0,0.02
40s,4,0.03,0.03,0.0,0.11
silent,4,0.03,0.03,0.0,0.09
fashion,4,0.02,0.02,0.0,0.09
plays,4,0.03,0.02,0.01,0.08
sweet,4,0.02,0.02,0.01,0.07
mae,4,0.02,0.02,0.0,0.06
carmen,4,0.02,0.02,0.0,0.06
sings,4,0.02,0.02,0.0,0.05
chorus,4,0.02,0.02,0.0,0.05
literally,4,0.01,0.01,0.0,0.05
starring,4,0.02,0.01,0.0,0.05
sang,4,0.02,0.02,0.0,0.04
bright,4,0.01,0.01,0.0,0.04
featuring,4,0.01,0.01,0.0,0.04
half,4,0.01,0.01,0.0,0.04
did,4,0.01,0.01,0.01,0.04
megan,4,0.01,0.01,0.0,0.03
shirley,4,0.01,0.01,0.0,0.03
deborah,4,0.02,0.02,0.0,0.03
heroine,4,0.01,0.01,0.0,0.03
converted,4,0.01,0.01,0.0,0.03
betty,4,0.01,0.01,0.0,0.03
surprisingly,4,0.01,0.01,0.0,0.03
alice,4,0.01,0.01,0.0,0.03
amy,4,0.01,0.01,0.0,0.03
actual,4,0.01,0.01,0.0,0.02
catherine,4,0.01,0.01,0.0,0.02
songs,4,0.02,0.02,0.0,0.04
reads,4,0.01,0.01,0.0,0.02
slow,4,0.01,0.01,0.0,0.02
carol,4,0.01,0.01,0.0,0.02
ice,4,0.01,0.01,0.0,0.02
barely,4,0.01,0.01,0.0,0.02
beautiful,4,0.01,0.01,0.0,0.02
write,4,0.01,0.01,0.0,0.02
50,4,0.01,0.0,0.0,0.01
linda,4,0.01,0.0,0.0,0.01
ms,4,0.03,0.02,0.0,0.09
cut,4,0.0,0.0,0.0,0.01
heather,4,0.0,0.0,0.0,0.01
joan,4,0.01,0.01,0.0,0.02
paula,4,0.0,0.0,0.0,0.0
jo,4,0.0,0.0,0.0,0.0
hearts,4,0.0,0.0,0.0,0.0
embrace,4,0.0,0.0,0.0,0.0
patricia,4,0.01,0.0,0.0,0.01
crowded,4,0.0,0.0,0.0,0.0
helen,4,0.01,0.01,0.0,0.04
76,4,0.0,0.0,0.0,0.01
paper,4,0.0,0.0,0.0,0.0
excellent,4,0.0,0.0,0.0,0.0
dresses,3,0.05,0.05,0.01,0.14
screen,3,0.1,0.1,0.01,0.16
piano,3,0.05,0.05,0.01,0.13
song,3,0.17,0.17,0.0,0.4
eyed,3,0.04,0.03,0.0,0.1
sexy,3,0.04,0.04,0.01,0.08
shoes,3,0.03,0.03,0.0,0.07
actress,3,0.03,0.02,0.0,0.07
nanny,3,0.02,0.02,0.0,0.06
keeps,3,0.02,0.02,0.0,0.06
orchestra,3,0.03,0.03,0.0,0.06
movie,3,0.03,0.02,0.01,0.06
haunted,3,0.02,0.02,0.0,0.05
viewers,3,0.02,0.02,0.0,0.05
she,3,0.04,0.02,0.01,0.05
jessica,3,0.02,0.02,0.0,0.05
charity,3,0.03,0.03,0.0,0.05
introduction,3,0.02,0.02,0.0,0.05
the,3,0.05,0.01,0.05,0.06
forget,3,0.02,0.02,0.0,0.05
dangerous,3,0.02,0.02,0.01,0.05
images,3,0.02,0.02,0.0,0.05
michelle,3,0.02,0.02,0.0,0.05
step,3,0.02,0.01,0.0,0.04
sex,3,0.02,0.02,0.0,0.04
teen,3,0.02,0.01,0.0,0.04
inspired,3,0.02,0.02,0.01,0.04
french,3,0.02,0.02,0.01,0.04
voice,3,0.02,0.02,0.01,0.04
would,3,0.02,0.01,0.01,0.04
liquid,3,0.01,0.01,0.0,0.03
is,3,0.03,0.01,0.02,0.03
subway,3,0.01,0.01,0.0,0.03
bells,3,0.01,0.01,0.01,0.03
spears,3,0.01,0.01,0.01,0.03
weird,3,0.01,0.01,0.0,0.03
dorothy,3,0.07,0.07,0.0,0.17
sensation,3,0.01,0.01,0.0,0.03
powered,3,0.01,0.01,0.0,0.03
angrily,3,0.01,0.01,0.0,0.03
gap,3,0.01,0.01,0.0,0.03
happily,3,0.01,0.01,0.0,0.03
logo,3,0.01,0.01,0.0,0.03
emma,3,0.01,0.01,0.0,0.03
hoffman,3,0.01,0.01,0.0,0.03
technique,3,0.01,0.01,0.0,0.03
hbo,3,0.02,0.02,0.0,0.03
cinema,3,0.01,0.01,0.0,0.03
silly,3,0.01,0.01,0.0,0.03
lets,3,0.01,0.01,0.0,0.03
sailor,3,0.01,0.01,0.0,0.03
laying,3,0.01,0.01,0.0,0.03
loaded,3,0.01,0.01,0.0,0.03
characterized,3,0.01,0.01,0.0,0.03
mo,3,0.02,0.01,0.0,0.03
vulnerable,3,0.01,0.01,0.0,0.03
recipe,3,0.01,0.01,0.0,0.03
accent,3,0.01,0.01,0.0,0.03
touring,3,0.01,0.01,0.0,0.03
keys,3,0.01,0.01,0.0,0.02
forest,3,0.02,0.02,0.01,0.02
section,3,0.01,0.01,0.0,0.02
farewell,3,0.01,0.01,0.0,0.02
laughing,3,0.01,0.01,0.0,0.02
sing,3,0.02,0.02,0.01,0.02
poured,3,0.01,0.01,0.0,0.02
brutal,3,0.01,0.01,0.0,0.02
silence,3,0.03,0.02,0.0,0.05
harder,3,0.01,0.01,0.0,0.02
dress,3,0.02,0.01,0.01,0.02
cole,3,0.01,0.01,0.0,0.02
mix,3,0.01,0.01,0.0,0.02
basic,3,0.01,0.01,0.0,0.02
nasty,3,0.01,0.01,0.0,0.02
lonely,3,0.01,0.01,0.0,0.02
effect,3,0.01,0.01,0.0,0.02
sounding,3,0.04,0.03,0.0,0.08
sets,3,0.01,0.01,0.0,0.02
discover,3,0.01,0.01,0.0,0.02
amid,3,0.01,0.01,0.0,0.02
perform,3,0.01,0.01,0.0,0.02
concert,3,0.01,0.01,0.0,0.02
clad,3,0.01,0.01,0.01,0.02
urged,3,0.01,0.01,0.0,0.02
dating,3,0.01,0.01,0.0,0.02
