context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
blue,1,0.3,0.3,0.3,0.3
lit,1,0.24,0.23,0.24,0.24
cloudless,1,0.22,0.22,0.22,0.22
tg24,1,0.2,0.2,0.2,0.2
broadcasting,1,0.18,0.18,0.18,0.18
harbor,1,0.17,0.17,0.17,0.17
pie,1,0.17,0.17,0.17,0.17
smoke,1,0.17,0.17,0.17,0.17
marshals,1,0.16,0.16,0.16,0.16
news,1,0.15,0.15,0.15,0.15
clouds,1,0.15,0.15,0.15,0.15
overcast,1,0.14,0.14,0.14,0.14
italia,1,0.14,0.14,0.14,0.14
sports,1,0.13,0.13,0.13,0.13
vanilla,1,0.13,0.13,0.13,0.13
television,1,0.13,0.12,0.13,0.13
diving,1,0.11,0.11,0.11,0.11
falling,1,0.11,0.11,0.11,0.11
high,1,0.11,0.11,0.11,0.11
tv,1,0.11,0.11,0.11,0.11
fireworks,1,0.11,0.11,0.11,0.11
cloudy,1,0.11,0.11,0.11,0.11
limit,1,0.11,0.1,0.11,0.11
the,1,0.1,0.07,0.1,0.1
night,1,0.09,0.09,0.09,0.09
starry,1,0.09,0.09,0.09,0.09
told,1,0.09,0.09,0.09,0.09
darkening,1,0.09,0.09,0.09,0.09
billowing,1,0.08,0.08,0.08,0.08
big,1,0.08,0.07,0.08,0.08
cents,1,0.08,0.07,0.08,0.08
rocketing,1,0.08,0.08,0.08,0.08
gray,1,0.07,0.07,0.07,0.07
murdoch,1,0.07,0.07,0.07,0.07
billowed,1,0.07,0.07,0.07,0.07
into,1,0.07,0.06,0.07,0.07
flames,1,0.07,0.07,0.07,0.07
streaked,1,0.07,0.07,0.07,0.07
operator,1,0.07,0.06,0.07,0.07
sunny,1,0.06,0.06,0.06,0.06
cloud,1,0.06,0.06,0.06,0.06
bright,1,0.06,0.06,0.06,0.06
dark,1,0.06,0.06,0.06,0.06
nz,1,0.06,0.06,0.06,0.06
matadors,1,0.06,0.06,0.06,0.06
plc,1,0.06,0.06,0.06,0.06
sky,1,0.06,0.06,0.06,0.06
