context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
green,53,0.03,0.03,0.01,0.18
leaves,46,0.04,0.03,0.0,0.16
plant,45,0.01,0.01,0.0,0.05
small,44,0.01,0.01,0.0,0.05
mint,43,0.03,0.03,0.0,0.24
large,42,0.01,0.01,0.0,0.06
bright,42,0.01,0.01,0.0,0.05
leaf,42,0.02,0.02,0.0,0.27
inch,41,0.01,0.01,0.0,0.05
plants,41,0.01,0.01,0.0,0.05
water,40,0.02,0.01,0.01,0.13
cut,40,0.01,0.01,0.0,0.04
orange,40,0.02,0.02,0.0,0.15
cool,40,0.01,0.01,0.0,0.09
flowers,40,0.01,0.01,0.0,0.09
garden,40,0.02,0.02,0.0,0.17
contains,40,0.01,0.0,0.0,0.02
wrap,40,0.01,0.01,0.0,0.17
branches,40,0.02,0.02,0.0,0.19
herbs,40,0.01,0.01,0.0,0.05
variety,40,0.01,0.01,0.0,0.07
thick,39,0.01,0.01,0.0,0.05
preserved,39,0.0,0.0,0.0,0.01
gently,39,0.01,0.0,0.0,0.04
mixes,39,0.0,0.0,0.0,0.02
thin,38,0.01,0.01,0.0,0.06
cup,38,0.03,0.02,0.01,0.44
fruit,38,0.05,0.05,0.01,0.53
rows,38,0.0,0.0,0.0,0.01
perfect,38,0.01,0.0,0.0,0.02
squeezed,38,0.01,0.0,0.0,0.05
alongside,38,0.0,0.0,0.0,0.01
pine,38,0.03,0.03,0.0,0.36
citrus,38,0.02,0.02,0.0,0.13
scented,38,0.01,0.01,0.0,0.09
or,37,0.02,0.01,0.01,0.05
colorful,37,0.01,0.0,0.0,0.03
edge,37,0.0,0.0,0.0,0.04
ingredients,37,0.01,0.01,0.0,0.04
sprinkled,37,0.01,0.0,0.0,0.03
miniature,37,0.0,0.0,0.0,0.01
splash,37,0.0,0.0,0.0,0.01
infused,37,0.0,0.0,0.0,0.02
ones,37,0.0,0.0,0.0,0.02
generous,37,0.0,0.0,0.0,0.01
