context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
trees,9,0.23,0.22,0.01,0.75
branches,9,0.04,0.04,0.0,0.09
ash,9,0.03,0.03,0.0,0.08
pine,8,0.11,0.11,0.01,0.36
tree,8,0.15,0.14,0.01,0.25
forests,8,0.07,0.07,0.0,0.23
grove,8,0.05,0.05,0.0,0.17
leaves,8,0.03,0.03,0.01,0.14
lined,8,0.02,0.01,0.0,0.05
dotted,8,0.01,0.01,0.0,0.03
nestled,8,0.01,0.01,0.0,0.02
leaf,8,0.01,0.01,0.01,0.02
planted,7,0.04,0.03,0.0,0.11
forest,7,0.04,0.03,0.0,0.12
shade,7,0.02,0.01,0.0,0.04
tall,7,0.02,0.01,0.0,0.03
acre,7,0.01,0.01,0.0,0.02
beneath,7,0.01,0.01,0.0,0.02
surrounded,7,0.01,0.01,0.0,0.02
lush,7,0.01,0.01,0.0,0.03
rows,7,0.0,0.0,0.0,0.01
gardens,7,0.01,0.0,0.0,0.01
stained,7,0.01,0.01,0.0,0.02
breeze,7,0.0,0.0,0.0,0.01
avenue,7,0.01,0.01,0.0,0.02
lawn,7,0.02,0.02,0.0,0.06
scented,6,0.03,0.02,0.0,0.09
oak,6,0.1,0.1,0.05,0.19
towering,6,0.03,0.03,0.01,0.07
planting,6,0.02,0.01,0.0,0.05
mint,6,0.02,0.02,0.0,0.05
wood,6,0.02,0.01,0.0,0.04
stands,6,0.01,0.01,0.0,0.03
bark,6,0.04,0.04,0.02,0.08
stately,6,0.01,0.01,0.0,0.03
sage,6,0.01,0.01,0.0,0.02
hills,6,0.02,0.01,0.0,0.03
area,6,0.01,0.0,0.0,0.01
citrus,6,0.01,0.01,0.0,0.02
flowers,6,0.01,0.01,0.0,0.03
large,6,0.01,0.01,0.0,0.02
infused,6,0.01,0.0,0.0,0.01
hint,6,0.0,0.0,0.0,0.01
covered,6,0.01,0.01,0.0,0.03
100,6,0.01,0.0,0.0,0.01
amid,6,0.0,0.0,0.0,0.01
branch,6,0.06,0.06,0.0,0.29
nearby,6,0.01,0.0,0.0,0.01
feet,6,0.01,0.0,0.0,0.01
seedlings,6,0.01,0.01,0.0,0.02
mature,6,0.01,0.01,0.0,0.02
valley,6,0.01,0.01,0.0,0.03
through,6,0.01,0.0,0.0,0.01
walnut,6,0.02,0.02,0.01,0.07
canyon,6,0.06,0.06,0.0,0.28
perched,6,0.0,0.0,0.0,0.01
magnificent,6,0.0,0.0,0.0,0.01
landscape,6,0.0,0.0,0.0,0.01
paint,6,0.0,0.0,0.0,0.01
hung,6,0.0,0.0,0.0,0.01
spray,6,0.01,0.0,0.0,0.01
beside,6,0.0,0.0,0.0,0.01
ancient,6,0.01,0.01,0.0,0.02
drive,6,0.0,0.0,0.0,0.01
grow,6,0.0,0.0,0.0,0.01
course,6,0.0,0.0,0.0,0.01
near,6,0.01,0.01,0.0,0.01
occupied,6,0.0,0.0,0.0,0.01
backdrop,6,0.0,0.0,0.0,0.01
winding,6,0.0,0.0,0.0,0.0
storm,6,0.0,0.0,0.0,0.01
grounds,6,0.0,0.0,0.0,0.01
tent,6,0.0,0.0,0.0,0.01
draped,6,0.01,0.0,0.0,0.02
pile,6,0.0,0.0,0.0,0.01
located,6,0.01,0.0,0.0,0.01
tucked,6,0.01,0.0,0.0,0.01
central,6,0.01,0.0,0.0,0.01
drops,6,0.0,0.0,0.0,0.01
250,6,0.0,0.0,0.0,0.01
left,6,0.01,0.0,0.0,0.01
grade,6,0.0,0.0,0.0,0.01
wiped,6,0.01,0.0,0.0,0.02
sunny,6,0.01,0.0,0.0,0.02
drought,6,0.0,0.0,0.0,0.01
spreading,6,0.01,0.01,0.0,0.02
visitor,6,0.0,0.0,0.0,0.01
48,6,0.01,0.0,0.0,0.02
000,5,0.04,0.02,0.02,0.06
fragrant,5,0.02,0.02,0.01,0.06
oils,5,0.03,0.03,0.0,0.11
bamboo,5,0.01,0.01,0.0,0.04
acres,5,0.02,0.02,0.0,0.05
bath,5,0.01,0.01,0.0,0.03
