context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
while,6,0.02,0.01,0.01,0.03
20,6,0.01,0.0,0.01,0.01
burning,5,0.07,0.07,0.01,0.13
forest,5,0.04,0.03,0.0,0.1
burned,5,0.02,0.02,0.01,0.03
from,5,0.02,0.01,0.02,0.03
near,5,0.01,0.01,0.01,0.02
smoke,5,0.04,0.04,0.0,0.1
by,5,0.03,0.02,0.01,0.06
blaze,5,0.06,0.06,0.0,0.25
site,5,0.01,0.0,0.0,0.01
fires,5,0.02,0.02,0.01,0.06
10,5,0.01,0.01,0.01,0.02
province,5,0.01,0.01,0.0,0.02
dying,5,0.01,0.0,0.0,0.01
miles,5,0.0,0.0,0.0,0.01
sunday,5,0.01,0.01,0.0,0.02
21,5,0.01,0.0,0.0,0.01
eight,5,0.01,0.01,0.01,0.02
ground,5,0.01,0.0,0.0,0.01
ever,5,0.01,0.01,0.0,0.02
ravaged,5,0.0,0.0,0.0,0.01
sichuan,5,0.01,0.01,0.0,0.03
ignited,5,0.03,0.03,0.0,0.07
ashes,5,0.01,0.01,0.0,0.05
investigation,5,0.0,0.0,0.0,0.01
region,5,0.01,0.0,0.0,0.01
rapidly,5,0.0,0.0,0.0,0.01
authorities,5,0.0,0.0,0.0,0.01
modern,5,0.0,0.0,0.0,0.01
friday,5,0.01,0.0,0.0,0.01
13,5,0.01,0.01,0.0,0.01
14,5,0.01,0.0,0.0,0.01
17,5,0.01,0.0,0.0,0.01
fire,5,0.02,0.02,0.01,0.07
launch,5,0.01,0.0,0.0,0.01
north,5,0.01,0.01,0.0,0.03
dawn,5,0.0,0.0,0.0,0.01
responsible,5,0.01,0.01,0.0,0.03
40,5,0.01,0.01,0.01,0.02
forests,4,0.06,0.06,0.0,0.22
coal,4,0.07,0.07,0.0,0.16
villagers,4,0.03,0.03,0.0,0.08
burn,4,0.04,0.04,0.02,0.06
wood,4,0.03,0.03,0.0,0.06
for,4,0.03,0.01,0.02,0.05
heat,4,0.02,0.01,0.01,0.03
jungle,4,0.01,0.01,0.0,0.03
village,4,0.01,0.01,0.0,0.03
oak,4,0.03,0.03,0.0,0.09
dry,4,0.02,0.01,0.01,0.02
remote,4,0.01,0.01,0.0,0.02
villages,4,0.01,0.01,0.0,0.02
desperate,4,0.01,0.01,0.0,0.02
cattle,4,0.01,0.01,0.0,0.02
which,4,0.01,0.0,0.01,0.02
meters,4,0.01,0.01,0.0,0.02
such,4,0.01,0.01,0.01,0.02
earn,4,0.01,0.01,0.0,0.02
produce,4,0.01,0.01,0.0,0.01
pine,4,0.01,0.01,0.0,0.03
mountains,4,0.01,0.01,0.0,0.01
caused,4,0.02,0.02,0.01,0.05
consumed,4,0.01,0.0,0.0,0.01
afternoon,4,0.01,0.01,0.0,0.01
nearby,4,0.01,0.01,0.0,0.01
but,4,0.02,0.01,0.01,0.04
town,4,0.01,0.0,0.0,0.01
six,4,0.01,0.0,0.0,0.01
stoke,4,0.01,0.01,0.0,0.01
hay,4,0.01,0.0,0.0,0.01
cooked,4,0.03,0.03,0.01,0.08
rural,4,0.01,0.01,0.0,0.01
fueled,4,0.01,0.01,0.01,0.02
yunnan,4,0.0,0.0,0.0,0.01
cabin,4,0.01,0.01,0.0,0.03
woods,4,0.01,0.01,0.0,0.03
mountainous,4,0.01,0.01,0.0,0.01
set,4,0.01,0.01,0.01,0.03
gasoline,4,0.01,0.0,0.0,0.01
burns,4,0.01,0.01,0.0,0.04
fell,4,0.01,0.0,0.0,0.01
fields,4,0.01,0.0,0.0,0.01
corn,4,0.03,0.03,0.01,0.09
turning,4,0.01,0.0,0.0,0.01
looked,4,0.01,0.01,0.0,0.02
started,4,0.03,0.03,0.0,0.09
away,4,0.01,0.0,0.01,0.01
equivalent,4,0.01,0.01,0.01,0.02
communities,4,0.01,0.01,0.0,0.03
huge,4,0.01,0.0,0.0,0.01
traditional,4,0.01,0.01,0.0,0.02
wildlife,4,0.01,0.01,0.0,0.02
hand,4,0.01,0.0,0.01,0.01
popular,4,0.01,0.01,0.01,0.02
vanished,4,0.0,0.0,0.0,0.01
designated,4,0.01,0.01,0.0,0.04
demonstration,4,0.0,0.0,0.0,0.01
hungry,4,0.01,0.0,0.0,0.01
phase,4,0.0,0.0,0.0,0.01
warning,4,0.0,0.0,0.0,0.01
prompting,4,0.0,0.0,0.0,0.01
golf,4,0.01,0.01,0.0,0.01
frequent,4,0.01,0.0,0.0,0.01
compete,4,0.0,0.0,0.0,0.01
resulting,4,0.0,0.0,0.0,0.01
vehicle,4,0.0,0.0,0.0,0.01
continued,4,0.0,0.0,0.0,0.01
63,4,0.0,0.0,0.0,0.01
tradition,4,0.01,0.0,0.0,0.01
constant,4,0.0,0.0,0.0,0.01
build,4,0.01,0.01,0.01,0.03
preparation,4,0.01,0.0,0.0,0.01
shed,4,0.01,0.0,0.0,0.01
continue,4,0.01,0.0,0.0,0.01
national,4,0.01,0.0,0.0,0.02
natural,4,0.02,0.01,0.0,0.04
produces,4,0.01,0.01,0.0,0.01
group,4,0.01,0.0,0.0,0.01
world,4,0.01,0.0,0.01,0.01
across,4,0.01,0.0,0.01,0.01
side,4,0.01,0.01,0.01,0.02
rice,4,0.02,0.01,0.01,0.04
comes,4,0.01,0.0,0.0,0.02
eruption,4,0.0,0.0,0.0,0.01
tribes,4,0.0,0.0,0.0,0.01
neighbouring,4,0.0,0.0,0.0,0.0
contracted,4,0.0,0.0,0.0,0.01
economically,4,0.0,0.0,0.0,0.01
persons,4,0.0,0.0,0.0,0.0
tribe,4,0.01,0.01,0.0,0.03
downed,4,0.01,0.01,0.0,0.02
kilometers,4,0.0,0.0,0.0,0.0
southeastern,4,0.0,0.0,0.0,0.01
explosions,4,0.01,0.0,0.0,0.01
horizon,4,0.01,0.01,0.0,0.01
