context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
shrimp,6,0.15,0.14,0.01,0.25
lobster,6,0.08,0.08,0.01,0.21
each,6,0.01,0.01,0.0,0.04
abundance,6,0.01,0.01,0.0,0.03
grilled,6,0.05,0.05,0.02,0.15
smoked,6,0.02,0.01,0.01,0.02
plump,6,0.01,0.01,0.0,0.02
hook,6,0.01,0.01,0.0,0.03
missing,6,0.0,0.0,0.0,0.01
runs,6,0.01,0.01,0.0,0.03
la,6,0.01,0.0,0.0,0.01
200,6,0.01,0.0,0.0,0.01
chunks,6,0.02,0.01,0.0,0.04
features,6,0.01,0.0,0.0,0.01
eaten,6,0.01,0.01,0.01,0.02
there,6,0.01,0.0,0.0,0.01
fishing,5,0.09,0.09,0.01,0.17
crab,5,0.1,0.1,0.0,0.24
oyster,5,0.03,0.03,0.0,0.1
salmon,5,0.05,0.04,0.01,0.1
dish,5,0.04,0.03,0.01,0.09
dishes,5,0.04,0.04,0.01,0.09
clam,5,0.03,0.03,0.0,0.09
sea,5,0.02,0.02,0.01,0.08
chowder,5,0.03,0.02,0.0,0.05
populations,5,0.02,0.02,0.0,0.05
seafood,5,0.04,0.04,0.01,0.09
appetizer,5,0.02,0.02,0.0,0.04
the,5,0.04,0.01,0.03,0.05
sauteed,5,0.02,0.01,0.0,0.03
clams,5,0.03,0.03,0.0,0.08
tables,5,0.01,0.01,0.0,0.03
burgers,5,0.01,0.01,0.0,0.03
pieces,5,0.02,0.02,0.01,0.05
industry,5,0.01,0.01,0.01,0.02
bass,5,0.01,0.01,0.0,0.02
tuna,5,0.04,0.03,0.02,0.09
wrapped,5,0.01,0.01,0.0,0.02
cleaning,5,0.01,0.01,0.0,0.02
sole,5,0.01,0.01,0.0,0.02
chicken,5,0.04,0.02,0.02,0.09
halves,5,0.01,0.01,0.0,0.03
catch,5,0.02,0.02,0.0,0.03
like,5,0.03,0.02,0.01,0.08
plates,5,0.01,0.01,0.0,0.02
alongside,5,0.01,0.0,0.0,0.02
fry,5,0.01,0.01,0.01,0.02
perfect,5,0.01,0.01,0.0,0.02
