context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
off,22,0.01,0.01,0.01,0.05
times,22,0.01,0.0,0.0,0.01
goes,22,0.01,0.0,0.0,0.02
and,21,0.04,0.02,0.03,0.1
when,21,0.02,0.01,0.01,0.13
time,21,0.01,0.01,0.0,0.05
backup,21,0.0,0.0,0.0,0.01
danger,21,0.0,0.0,0.0,0.01
newspaper,21,0.0,0.0,0.0,0.02
handed,21,0.0,0.0,0.0,0.02
while,20,0.01,0.01,0.01,0.04
suddenly,20,0.01,0.0,0.0,0.02
brought,20,0.01,0.01,0.0,0.04
known,20,0.01,0.0,0.0,0.02
signal,20,0.01,0.0,0.0,0.02
particularly,20,0.0,0.0,0.0,0.01
driven,20,0.0,0.0,0.0,0.01
reporter,20,0.01,0.01,0.0,0.09
himself,19,0.01,0.01,0.0,0.03
that,19,0.03,0.02,0.01,0.1
had,19,0.02,0.01,0.01,0.04
like,19,0.02,0.01,0.01,0.07
let,19,0.01,0.0,0.0,0.02
have,19,0.02,0.01,0.01,0.04
much,19,0.01,0.01,0.0,0.02
just,19,0.01,0.01,0.01,0.04
right,19,0.01,0.01,0.01,0.04
point,19,0.02,0.01,0.0,0.14
ve,19,0.01,0.0,0.0,0.02
combined,19,0.0,0.0,0.0,0.01
returned,19,0.01,0.0,0.0,0.05
designs,19,0.0,0.0,0.0,0.01
appears,19,0.0,0.0,0.0,0.01
showed,19,0.0,0.0,0.0,0.02
vehicles,19,0.01,0.01,0.0,0.07
bullet,19,0.01,0.01,0.0,0.05
increasingly,19,0.0,0.0,0.0,0.02
slow,19,0.01,0.0,0.0,0.02
cameras,19,0.0,0.0,0.0,0.03
ever,19,0.01,0.0,0.0,0.04
sending,19,0.0,0.0,0.0,0.01
bomb,19,0.01,0.01,0.0,0.05
carries,19,0.01,0.0,0.0,0.03
hand,18,0.02,0.01,0.01,0.07
he,18,0.03,0.02,0.01,0.17
then,18,0.02,0.01,0.01,0.05
one,18,0.02,0.01,0.01,0.04
get,18,0.01,0.01,0.01,0.04
you,18,0.02,0.02,0.01,0.1
got,18,0.01,0.01,0.0,0.03
your,18,0.02,0.01,0.01,0.05
take,18,0.01,0.0,0.0,0.02
can,18,0.01,0.01,0.01,0.04
cable,18,0.01,0.01,0.0,0.08
running,18,0.01,0.01,0.0,0.02
did,18,0.01,0.01,0.0,0.03
guy,18,0.01,0.01,0.0,0.03
laid,18,0.01,0.0,0.0,0.04
all,18,0.01,0.01,0.01,0.04
display,18,0.01,0.0,0.0,0.02
takes,18,0.01,0.01,0.0,0.04
turned,18,0.01,0.01,0.0,0.06
came,18,0.01,0.0,0.0,0.03
clip,18,0.01,0.0,0.0,0.02
acknowledged,18,0.0,0.0,0.0,0.01
twin,18,0.01,0.0,0.0,0.03
makes,18,0.01,0.0,0.0,0.02
went,18,0.01,0.01,0.0,0.03
ordered,18,0.0,0.0,0.0,0.01
learned,18,0.01,0.0,0.0,0.02
ready,18,0.01,0.01,0.0,0.05
name,18,0.01,0.0,0.0,0.02
mother,18,0.01,0.0,0.0,0.02
own,18,0.01,0.01,0.0,0.04
daily,18,0.0,0.0,0.0,0.01
regular,18,0.0,0.0,0.0,0.02
itself,18,0.01,0.0,0.0,0.02
why,18,0.0,0.0,0.0,0.01
drinking,18,0.0,0.0,0.0,0.01
either,18,0.01,0.0,0.0,0.02
safely,18,0.0,0.0,0.0,0.01
numerous,18,0.0,0.0,0.0,0.01
pump,18,0.01,0.01,0.0,0.02
starting,18,0.01,0.0,0.0,0.03
presented,18,0.0,0.0,0.0,0.02
manufacturer,18,0.01,0.0,0.0,0.02
self,18,0.0,0.0,0.0,0.01
normal,18,0.0,0.0,0.0,0.02
happen,18,0.0,0.0,0.0,0.01
records,18,0.0,0.0,0.0,0.01
tank,18,0.01,0.01,0.0,0.04
practically,18,0.0,0.0,0.0,0.01
comments,18,0.0,0.0,0.0,0.01
reasons,18,0.0,0.0,0.0,0.01
prove,18,0.0,0.0,0.0,0.01
capable,18,0.0,0.0,0.0,0.02
employee,18,0.0,0.0,0.0,0.02
who,18,0.02,0.01,0.01,0.08
yet,18,0.01,0.01,0.0,0.09
including,18,0.01,0.0,0.0,0.01
power,18,0.01,0.01,0.0,0.03
safe,18,0.0,0.0,0.0,0.02
suggests,18,0.0,0.0,0.0,0.01
keeping,18,0.0,0.0,0.0,0.01
with,17,0.04,0.02,0.02,0.21
his,17,0.03,0.02,0.02,0.07
in,17,0.04,0.02,0.02,0.1
it,17,0.03,0.02,0.01,0.08
