context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
together,38,0.01,0.0,0.0,0.02
plain,37,0.02,0.02,0.0,0.3
amount,35,0.0,0.0,0.0,0.03
eggs,34,0.03,0.03,0.0,0.15
low,34,0.01,0.0,0.0,0.04
or,34,0.02,0.01,0.01,0.05
and,34,0.04,0.01,0.03,0.07
mixture,33,0.05,0.03,0.02,0.19
cream,33,0.07,0.05,0.01,0.33
bowl,33,0.02,0.01,0.01,0.1
egg,32,0.03,0.02,0.0,0.19
butter,32,0.09,0.08,0.01,0.97
large,32,0.01,0.0,0.0,0.02
fat,32,0.02,0.02,0.0,0.2
are,32,0.01,0.01,0.01,0.02
using,32,0.01,0.0,0.0,0.02
adding,32,0.0,0.0,0.0,0.01
mashed,32,0.02,0.02,0.0,0.15
creamy,32,0.02,0.01,0.0,0.07
fold,31,0.01,0.01,0.0,0.05
substitute,31,0.01,0.0,0.0,0.03
medium,31,0.01,0.01,0.01,0.04
whole,31,0.01,0.01,0.0,0.07
cup,31,0.02,0.01,0.01,0.1
80,31,0.0,0.0,0.0,0.01
instance,31,0.0,0.0,0.0,0.01
sit,31,0.01,0.0,0.0,0.02
staples,31,0.0,0.0,0.0,0.02
enhanced,31,0.0,0.0,0.0,0.01
include,31,0.01,0.0,0.0,0.03
cheese,30,0.08,0.07,0.01,0.55
stir,30,0.03,0.03,0.01,0.08
bread,30,0.03,0.03,0.01,0.2
raw,30,0.01,0.01,0.0,0.08
mix,30,0.02,0.01,0.01,0.04
then,30,0.01,0.0,0.01,0.03
frozen,30,0.06,0.06,0.0,0.74
extract,30,0.02,0.02,0.0,0.45
contains,30,0.01,0.0,0.0,0.02
half,30,0.01,0.0,0.0,0.02
topped,30,0.01,0.01,0.0,0.04
simply,30,0.0,0.0,0.0,0.01
helps,30,0.0,0.0,0.0,0.01
you,30,0.02,0.01,0.01,0.06
found,30,0.01,0.01,0.0,0.07
ending,30,0.0,0.0,0.0,0.01
packages,30,0.0,0.0,0.0,0.02
beans,30,0.03,0.02,0.01,0.15
works,30,0.01,0.0,0.0,0.03
all,30,0.01,0.0,0.0,0.04
wo,30,0.0,0.0,0.0,0.02
suggests,30,0.0,0.0,0.0,0.02
milk,29,0.08,0.07,0.01,0.59
whip,29,0.01,0.01,0.0,0.03
water,29,0.01,0.01,0.01,0.08
products,29,0.02,0.01,0.0,0.09
thoroughly,29,0.0,0.0,0.0,0.01
top,29,0.01,0.0,0.0,0.04
oatmeal,29,0.02,0.02,0.0,0.4
contain,29,0.01,0.0,0.0,0.02
processed,29,0.01,0.01,0.0,0.11
bagel,29,0.01,0.01,0.0,0.04
grams,29,0.01,0.01,0.0,0.03
everything,29,0.0,0.0,0.0,0.01
becomes,29,0.01,0.0,0.0,0.03
tells,29,0.0,0.0,0.0,0.01
experts,29,0.01,0.01,0.0,0.07
no,29,0.01,0.01,0.0,0.04
50,29,0.01,0.01,0.0,0.03
ranging,29,0.0,0.0,0.0,0.03
ones,29,0.0,0.0,0.0,0.02
eat,29,0.02,0.02,0.01,0.09
chips,29,0.03,0.03,0.0,0.53
lots,29,0.01,0.01,0.0,0.07
such,29,0.01,0.0,0.01,0.02
famous,29,0.01,0.0,0.0,0.03
combination,29,0.01,0.0,0.0,0.02
flour,28,0.04,0.03,0.01,0.31
add,28,0.04,0.03,0.01,0.1
bacon,28,0.01,0.01,0.0,0.05
remaining,28,0.01,0.01,0.0,0.02
toast,28,0.01,0.01,0.0,0.05
eating,28,0.02,0.02,0.01,0.07
which,28,0.01,0.01,0.01,0.02
drop,28,0.01,0.0,0.0,0.02
extra,28,0.0,0.0,0.0,0.01
free,28,0.01,0.0,0.0,0.02
replace,28,0.0,0.0,0.0,0.01
process,28,0.0,0.0,0.0,0.01
couple,28,0.0,0.0,0.0,0.02
say,28,0.01,0.0,0.0,0.03
why,28,0.0,0.0,0.0,0.01
prefer,28,0.0,0.0,0.0,0.01
gone,28,0.0,0.0,0.0,0.01
nothing,28,0.01,0.0,0.0,0.05
meanwhile,28,0.0,0.0,0.0,0.01
pack,28,0.0,0.0,0.0,0.02
estimated,28,0.0,0.0,0.0,0.02
habit,28,0.0,0.0,0.0,0.04
dump,28,0.0,0.0,0.0,0.01
than,28,0.01,0.0,0.0,0.02
recent,28,0.0,0.0,0.0,0.02
figured,28,0.0,0.0,0.0,0.02
flavor,28,0.03,0.02,0.01,0.11
ounce,28,0.02,0.02,0.0,0.08
taste,28,0.02,0.01,0.01,0.07
snack,28,0.01,0.01,0.0,0.08
brownies,28,0.01,0.01,0.0,0.04
company,28,0.01,0.01,0.0,0.03
laced,28,0.01,0.0,0.0,0.02
garnished,28,0.01,0.01,0.0,0.03
stuff,28,0.0,0.0,0.0,0.02
basic,28,0.0,0.0,0.0,0.01
value,28,0.0,0.0,0.0,0.01
includes,28,0.0,0.0,0.0,0.01
with,28,0.03,0.01,0.02,0.04
handful,28,0.0,0.0,0.0,0.01
maybe,28,0.0,0.0,0.0,0.02
blend,27,0.01,0.01,0.0,0.03
smell,27,0.01,0.01,0.0,0.02
mixed,27,0.01,0.0,0.0,0.03
ounces,27,0.02,0.02,0.01,0.09
gradually,27,0.0,0.0,0.0,0.01
calories,27,0.01,0.01,0.0,0.02
million,27,0.01,0.0,0.0,0.02
almonds,27,0.01,0.01,0.0,0.03
folded,27,0.0,0.0,0.0,0.01
does,27,0.01,0.0,0.0,0.03
easy,27,0.0,0.0,0.0,0.01
usually,27,0.01,0.0,0.0,0.02
regular,27,0.0,0.0,0.0,0.01
150,27,0.0,0.0,0.0,0.01
repeat,27,0.0,0.0,0.0,0.05
remains,27,0.01,0.0,0.0,0.05
smaller,27,0.0,0.0,0.0,0.02
packaged,27,0.01,0.0,0.0,0.06
banned,27,0.0,0.0,0.0,0.01
useful,27,0.0,0.0,0.0,0.01
comfort,27,0.0,0.0,0.0,0.01
recommended,27,0.0,0.0,0.0,0.02
satisfying,27,0.0,0.0,0.0,0.03
mash,27,0.01,0.01,0.0,0.11
favor,27,0.0,0.0,0.0,0.02
we,27,0.01,0.01,0.0,0.04
500,27,0.01,0.0,0.0,0.03
some,27,0.01,0.01,0.01,0.06
good,27,0.01,0.0,0.0,0.02
used,27,0.01,0.01,0.0,0.03
way,27,0.01,0.0,0.0,0.02
likely,27,0.0,0.0,0.0,0.02
put,27,0.01,0.0,0.0,0.02
75,27,0.01,0.01,0.0,0.06
100,27,0.01,0.0,0.0,0.01
difference,27,0.0,0.0,0.0,0.01
watching,27,0.01,0.0,0.0,0.02
twice,27,0.0,0.0,0.0,0.01
twist,27,0.0,0.0,0.0,0.02
expecting,27,0.0,0.0,0.0,0.02
ate,27,0.02,0.01,0.0,0.08
tastes,27,0.01,0.01,0.0,0.03
organic,27,0.01,0.01,0.0,0.05
peas,27,0.01,0.01,0.0,0.08
instead,27,0.01,0.0,0.0,0.02
featuring,27,0.0,0.0,0.0,0.01
favorites,27,0.0,0.0,0.0,0.01
ll,27,0.01,0.0,0.0,0.01
forget,27,0.0,0.0,0.0,0.01
whatever,27,0.0,0.0,0.0,0.02
preferred,27,0.0,0.0,0.0,0.01
delight,27,0.0,0.0,0.0,0.01
ton,27,0.01,0.01,0.0,0.02
special,27,0.0,0.0,0.0,0.01
beaten,26,0.01,0.01,0.0,0.08
combine,26,0.03,0.02,0.01,0.07
sprinkle,26,0.02,0.02,0.01,0.1
each,26,0.01,0.01,0.0,0.07
incorporated,26,0.0,0.0,0.0,0.01
producer,26,0.01,0.0,0.0,0.02
them,26,0.01,0.01,0.0,0.03
once,26,0.01,0.0,0.0,0.02
healthy,26,0.01,0.0,0.0,0.06
sample,26,0.0,0.0,0.0,0.01
tossing,26,0.0,0.0,0.0,0.01
either,26,0.0,0.0,0.0,0.01
worth,26,0.0,0.0,0.0,0.02
typically,26,0.0,0.0,0.0,0.01
adapted,26,0.0,0.0,0.0,0.02
quarter,26,0.0,0.0,0.0,0.01
additional,26,0.0,0.0,0.0,0.01
dates,26,0.0,0.0,0.0,0.03
endless,26,0.0,0.0,0.0,0.01
portions,26,0.0,0.0,0.0,0.01
equal,26,0.0,0.0,0.0,0.01
suggesting,26,0.0,0.0,0.0,0.01
detected,26,0.0,0.0,0.0,0.01
mask,26,0.0,0.0,0.0,0.03
surprised,26,0.0,0.0,0.0,0.03
consume,26,0.0,0.0,0.0,0.01
to,26,0.03,0.02,0.02,0.09
12,26,0.01,0.0,0.0,0.02
13,26,0.01,0.01,0.0,0.03
for,26,0.02,0.01,0.01,0.08
it,26,0.02,0.01,0.01,0.09
so,26,0.01,0.01,0.0,0.03
along,26,0.01,0.0,0.0,0.01
worked,26,0.01,0.0,0.0,0.02
group,26,0.0,0.0,0.0,0.01
us,26,0.01,0.0,0.0,0.02
might,26,0.01,0.01,0.0,0.06
finished,26,0.0,0.0,0.0,0.01
comes,26,0.01,0.0,0.0,0.02
without,26,0.01,0.01,0.0,0.07
save,26,0.0,0.0,0.0,0.01
