context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
wine,26,0.03,0.03,0.01,0.27
plenty,26,0.0,0.0,0.0,0.01
sweetness,25,0.01,0.01,0.0,0.02
plums,23,0.01,0.0,0.0,0.03
concentrated,23,0.01,0.01,0.0,0.03
depending,23,0.0,0.0,0.0,0.01
cherry,23,0.06,0.05,0.01,0.35
plum,23,0.03,0.03,0.0,0.21
vibrant,23,0.0,0.0,0.0,0.01
flavor,22,0.03,0.02,0.01,0.07
cocktail,22,0.01,0.01,0.0,0.03
intense,22,0.0,0.0,0.0,0.02
popular,21,0.01,0.0,0.0,0.02
cider,21,0.01,0.01,0.0,0.12
apple,21,0.03,0.02,0.01,0.08
spicy,20,0.03,0.02,0.0,0.1
recipe,20,0.03,0.02,0.01,0.1
delicious,20,0.01,0.01,0.0,0.02
relish,20,0.01,0.01,0.0,0.06
tasty,20,0.0,0.0,0.0,0.01
simple,20,0.01,0.01,0.0,0.07
juicy,20,0.01,0.01,0.0,0.04
slightly,20,0.0,0.0,0.0,0.01
adds,20,0.0,0.0,0.0,0.01
mentioned,20,0.0,0.0,0.0,0.01
blueberry,20,0.02,0.02,0.0,0.11
lemonade,20,0.01,0.01,0.0,0.04
berry,20,0.01,0.01,0.0,0.05
lovely,20,0.01,0.0,0.0,0.03
red,19,0.05,0.04,0.01,0.17
sweet,19,0.02,0.01,0.01,0.04
stewed,19,0.01,0.01,0.0,0.06
crisp,19,0.02,0.01,0.0,0.12
citrus,19,0.02,0.01,0.01,0.04
serving,19,0.01,0.0,0.0,0.02
ideal,19,0.0,0.0,0.0,0.01
color,19,0.01,0.01,0.0,0.02
favorite,19,0.01,0.0,0.0,0.01
aside,19,0.0,0.0,0.0,0.02
elegant,19,0.0,0.0,0.0,0.02
plump,19,0.0,0.0,0.0,0.01
easy,19,0.0,0.0,0.0,0.01
gives,19,0.0,0.0,0.0,0.01
fairly,19,0.0,0.0,0.0,0.01
peach,19,0.06,0.05,0.01,0.47
fruity,19,0.01,0.01,0.0,0.03
taste,19,0.02,0.01,0.01,0.04
bring,19,0.0,0.0,0.0,0.01
generous,19,0.0,0.0,0.0,0.01
wish,19,0.0,0.0,0.0,0.01
touch,19,0.01,0.0,0.0,0.02
features,19,0.0,0.0,0.0,0.01
tasted,19,0.01,0.0,0.0,0.02
wonderful,19,0.01,0.0,0.0,0.02
recipes,19,0.02,0.01,0.01,0.04
choose,19,0.0,0.0,0.0,0.01
cookbook,19,0.0,0.0,0.0,0.02
dish,18,0.03,0.02,0.01,0.07
tomato,18,0.06,0.05,0.01,0.32
varieties,18,0.03,0.03,0.0,0.27
beet,18,0.01,0.01,0.0,0.07
