context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
such,18,0.01,0.0,0.0,0.02
instead,18,0.01,0.0,0.0,0.03
sound,17,0.0,0.0,0.0,0.02
dark,17,0.01,0.0,0.0,0.04
try,17,0.01,0.01,0.0,0.04
is,16,0.02,0.01,0.01,0.05
like,16,0.02,0.01,0.01,0.06
style,16,0.01,0.01,0.0,0.04
popular,16,0.0,0.0,0.0,0.01
middle,16,0.01,0.0,0.0,0.03
leading,16,0.01,0.0,0.0,0.03
slap,16,0.01,0.01,0.0,0.16
with,16,0.03,0.01,0.02,0.05
designed,16,0.01,0.01,0.0,0.02
frame,16,0.02,0.02,0.0,0.08
tucked,16,0.01,0.01,0.0,0.03
materials,16,0.01,0.01,0.0,0.02
foot,16,0.03,0.02,0.01,0.08
still,15,0.01,0.0,0.0,0.03
touches,15,0.01,0.0,0.0,0.04
expects,15,0.0,0.0,0.0,0.01
promises,15,0.0,0.0,0.0,0.01
unlike,15,0.0,0.0,0.0,0.01
local,15,0.0,0.0,0.0,0.01
beginning,15,0.0,0.0,0.0,0.01
appears,15,0.0,0.0,0.0,0.0
several,15,0.01,0.0,0.0,0.01
real,15,0.0,0.0,0.0,0.01
the,15,0.06,0.02,0.04,0.11
over,15,0.01,0.01,0.01,0.03
point,15,0.01,0.0,0.0,0.01
pounding,15,0.01,0.01,0.0,0.02
used,15,0.01,0.01,0.01,0.02
has,15,0.01,0.01,0.01,0.03
have,15,0.01,0.01,0.01,0.03
if,15,0.01,0.0,0.01,0.02
replacing,15,0.01,0.01,0.0,0.03
broad,15,0.0,0.0,0.0,0.01
designer,15,0.01,0.01,0.0,0.07
spread,15,0.0,0.0,0.0,0.01
rises,15,0.01,0.01,0.0,0.03
word,15,0.01,0.0,0.0,0.03
choose,15,0.0,0.0,0.0,0.01
up,15,0.02,0.01,0.01,0.05
beneath,15,0.01,0.01,0.0,0.11
so,14,0.01,0.0,0.01,0.02
it,14,0.02,0.0,0.01,0.03
easy,14,0.01,0.0,0.0,0.02
be,14,0.01,0.01,0.01,0.04
stories,14,0.01,0.0,0.0,0.03
classic,14,0.01,0.0,0.0,0.01
rock,14,0.01,0.01,0.0,0.13
seems,14,0.0,0.0,0.0,0.01
usually,14,0.0,0.0,0.0,0.01
works,14,0.01,0.0,0.0,0.01
work,14,0.01,0.0,0.0,0.01
1980s,14,0.0,0.0,0.0,0.01
hits,14,0.01,0.0,0.0,0.01
fake,14,0.01,0.01,0.0,0.02
earth,14,0.01,0.01,0.0,0.04
gray,14,0.03,0.02,0.0,0.25
variety,14,0.0,0.0,0.0,0.01
