context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
annual,58,0.0,0.0,0.0,0.02
also,56,0.01,0.0,0.0,0.04
between,56,0.0,0.0,0.0,0.01
growing,54,0.01,0.0,0.0,0.03
first,53,0.01,0.01,0.0,0.06
will,53,0.01,0.0,0.0,0.03
however,52,0.0,0.0,0.0,0.05
circle,52,0.01,0.01,0.0,0.06
not,51,0.01,0.01,0.0,0.16
jerry,51,0.0,0.0,0.0,0.02
15,51,0.01,0.0,0.0,0.04
about,51,0.01,0.0,0.0,0.03
past,51,0.01,0.0,0.0,0.05
program,51,0.0,0.0,0.0,0.03
passion,51,0.01,0.0,0.0,0.08
although,50,0.0,0.0,0.0,0.02
should,50,0.01,0.0,0.0,0.02
simply,50,0.0,0.0,0.0,0.04
types,50,0.0,0.0,0.0,0.01
ring,50,0.0,0.0,0.0,0.05
ones,49,0.0,0.0,0.0,0.01
likely,49,0.0,0.0,0.0,0.01
mountain,49,0.0,0.0,0.0,0.01
town,49,0.0,0.0,0.0,0.02
boss,49,0.0,0.0,0.0,0.06
rounds,49,0.0,0.0,0.0,0.03
palm,49,0.01,0.01,0.0,0.09
avoid,49,0.0,0.0,0.0,0.03
humble,49,0.01,0.01,0.0,0.14
choose,49,0.0,0.0,0.0,0.03
19,48,0.01,0.0,0.0,0.06
through,48,0.01,0.0,0.0,0.04
year,48,0.01,0.0,0.0,0.03
difference,48,0.0,0.0,0.0,0.03
release,48,0.0,0.0,0.0,0.01
yet,48,0.0,0.0,0.0,0.01
typically,48,0.0,0.0,0.0,0.02
becomes,48,0.0,0.0,0.0,0.02
north,48,0.0,0.0,0.0,0.02
gives,48,0.0,0.0,0.0,0.01
just,47,0.01,0.01,0.0,0.04
under,47,0.01,0.0,0.0,0.03
holes,47,0.0,0.0,0.0,0.05
easy,47,0.0,0.0,0.0,0.03
third,47,0.0,0.0,0.0,0.04
ve,47,0.01,0.0,0.0,0.04
consider,47,0.0,0.0,0.0,0.01
nothing,47,0.0,0.0,0.0,0.03
near,47,0.0,0.0,0.0,0.01
55,47,0.0,0.0,0.0,0.07
double,47,0.0,0.0,0.0,0.02
party,47,0.0,0.0,0.0,0.01
28,47,0.0,0.0,0.0,0.05
may,47,0.01,0.0,0.0,0.02
bright,47,0.01,0.01,0.0,0.13
desert,47,0.0,0.0,0.0,0.03
arrived,47,0.0,0.0,0.0,0.01
largely,47,0.0,0.0,0.0,0.01
ideas,47,0.0,0.0,0.0,0.01
amazing,47,0.0,0.0,0.0,0.01
23,47,0.0,0.0,0.0,0.04
produce,47,0.01,0.0,0.0,0.04
result,47,0.0,0.0,0.0,0.02
carved,47,0.01,0.01,0.0,0.12
equal,47,0.0,0.0,0.0,0.03
push,47,0.01,0.01,0.0,0.15
1960s,47,0.0,0.0,0.0,0.0
places,47,0.0,0.0,0.0,0.02
list,46,0.01,0.0,0.0,0.12
estimated,46,0.0,0.0,0.0,0.01
as,46,0.02,0.01,0.01,0.09
72,46,0.0,0.0,0.0,0.03
followed,46,0.0,0.0,0.0,0.02
this,46,0.01,0.01,0.0,0.05
proved,46,0.0,0.0,0.0,0.01
better,46,0.01,0.0,0.0,0.03
feature,46,0.0,0.0,0.0,0.01
18,46,0.01,0.0,0.0,0.05
competition,46,0.0,0.0,0.0,0.02
challenge,46,0.0,0.0,0.0,0.01
approximately,46,0.0,0.0,0.0,0.01
weather,46,0.0,0.0,0.0,0.01
column,46,0.0,0.0,0.0,0.02
early,46,0.0,0.0,0.0,0.01
continue,46,0.0,0.0,0.0,0.03
provides,46,0.0,0.0,0.0,0.03
lovers,46,0.01,0.0,0.0,0.03
festival,46,0.01,0.01,0.0,0.04
and,45,0.04,0.01,0.03,0.07
rain,45,0.0,0.0,0.0,0.02
memory,45,0.0,0.0,0.0,0.05
47,45,0.0,0.0,0.0,0.04
now,45,0.01,0.0,0.0,0.05
fairly,45,0.0,0.0,0.0,0.01
zone,45,0.0,0.0,0.0,0.03
follow,45,0.0,0.0,0.0,0.01
land,45,0.0,0.0,0.0,0.02
pressed,45,0.0,0.0,0.0,0.05
roughly,45,0.0,0.0,0.0,0.01
appear,45,0.0,0.0,0.0,0.02
begins,45,0.0,0.0,0.0,0.02
stop,45,0.0,0.0,0.0,0.03
association,45,0.02,0.01,0.0,0.46
affected,45,0.0,0.0,0.0,0.01
crush,45,0.0,0.0,0.0,0.02
ultimately,45,0.0,0.0,0.0,0.01
combines,45,0.0,0.0,0.0,0.03
oct,45,0.0,0.0,0.0,0.0
elsewhere,45,0.0,0.0,0.0,0.01
greatest,45,0.0,0.0,0.0,0.03
bull,45,0.0,0.0,0.0,0.02
over,44,0.01,0.01,0.01,0.05
brought,44,0.01,0.0,0.0,0.02
form,44,0.01,0.0,0.0,0.04
having,44,0.01,0.0,0.0,0.02
its,44,0.01,0.01,0.0,0.05
dig,44,0.0,0.0,0.0,0.01
mean,44,0.0,0.0,0.0,0.03
41,44,0.0,0.0,0.0,0.02
choice,44,0.0,0.0,0.0,0.03
easier,44,0.0,0.0,0.0,0.04
look,44,0.01,0.0,0.0,0.04
attractive,44,0.0,0.0,0.0,0.01
beginning,44,0.0,0.0,0.0,0.01
ga,44,0.0,0.0,0.0,0.01
shoot,44,0.0,0.0,0.0,0.05
concerned,44,0.0,0.0,0.0,0.01
st,44,0.0,0.0,0.0,0.01
contest,44,0.0,0.0,0.0,0.03
essential,44,0.0,0.0,0.0,0.02
itself,44,0.0,0.0,0.0,0.02
season,44,0.01,0.01,0.0,0.05
begin,44,0.0,0.0,0.0,0.02
trade,44,0.01,0.01,0.0,0.15
surrounding,44,0.0,0.0,0.0,0.02
symbol,44,0.0,0.0,0.0,0.03
somewhat,44,0.0,0.0,0.0,0.01
neither,44,0.0,0.0,0.0,0.01
history,44,0.01,0.01,0.0,0.07
edge,44,0.01,0.01,0.0,0.11
produces,44,0.0,0.0,0.0,0.02
performing,44,0.0,0.0,0.0,0.02
theme,44,0.0,0.0,0.0,0.02
circles,44,0.0,0.0,0.0,0.02
host,44,0.0,0.0,0.0,0.03
ancient,44,0.0,0.0,0.0,0.04
taught,44,0.0,0.0,0.0,0.01
draws,44,0.0,0.0,0.0,0.01
matter,44,0.0,0.0,0.0,0.02
name,44,0.01,0.01,0.0,0.04
but,43,0.01,0.01,0.0,0.06
10,43,0.01,0.01,0.0,0.03
used,43,0.01,0.0,0.0,0.05
has,43,0.01,0.01,0.01,0.04
lane,43,0.0,0.0,0.0,0.07
end,43,0.01,0.0,0.0,0.02
high,43,0.01,0.0,0.0,0.03
things,43,0.01,0.01,0.0,0.05
amounts,43,0.0,0.0,0.0,0.05
transformed,43,0.0,0.0,0.0,0.01
read,43,0.0,0.0,0.0,0.03
including,43,0.01,0.0,0.0,0.01
loved,43,0.0,0.0,0.0,0.01
drive,43,0.02,0.02,0.0,0.48
