context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
palace,4,0.02,0.02,0.0,0.07
lobby,4,0.02,0.02,0.0,0.07
italian,4,0.02,0.01,0.0,0.04
000,4,0.04,0.01,0.04,0.05
tables,4,0.01,0.01,0.0,0.03
shrine,4,0.01,0.01,0.0,0.03
rooms,4,0.01,0.01,0.0,0.03
greek,4,0.01,0.01,0.0,0.02
vermont,4,0.01,0.01,0.0,0.02
church,4,0.01,0.0,0.0,0.02
elaborate,4,0.0,0.0,0.0,0.01
by,4,0.02,0.01,0.01,0.03
500,4,0.01,0.0,0.01,0.01
old,4,0.01,0.0,0.0,0.01
hotel,4,0.06,0.06,0.0,0.24
fine,4,0.0,0.0,0.0,0.01
rome,4,0.0,0.0,0.0,0.01
buried,4,0.0,0.0,0.0,0.01
here,4,0.01,0.0,0.0,0.01
olympics,4,0.0,0.0,0.0,0.01
names,4,0.0,0.0,0.0,0.01
st,4,0.0,0.0,0.0,0.01
residence,4,0.0,0.0,0.0,0.01
along,4,0.0,0.0,0.0,0.01
view,4,0.01,0.0,0.0,0.01
five,4,0.01,0.0,0.0,0.01
also,4,0.01,0.0,0.01,0.01
colorado,4,0.0,0.0,0.0,0.01
stark,4,0.0,0.0,0.0,0.01
ivory,4,0.0,0.0,0.0,0.01
vegas,4,0.0,0.0,0.0,0.01
those,4,0.0,0.0,0.0,0.0
100,4,0.01,0.0,0.0,0.01
texas,4,0.0,0.0,0.0,0.0
400,4,0.0,0.0,0.0,0.0
included,4,0.0,0.0,0.0,0.01
site,4,0.01,0.0,0.0,0.01
main,4,0.01,0.0,0.0,0.01
local,4,0.03,0.02,0.0,0.1
200,4,0.01,0.0,0.0,0.01
bridge,4,0.0,0.0,0.0,0.0
900,4,0.0,0.0,0.0,0.0
guest,4,0.01,0.01,0.0,0.03
familiar,4,0.0,0.0,0.0,0.0
featured,4,0.0,0.0,0.0,0.0
workers,4,0.0,0.0,0.0,0.0
remains,4,0.0,0.0,0.0,0.0
working,4,0.0,0.0,0.0,0.0
husband,4,0.0,0.0,0.0,0.01
700,4,0.0,0.0,0.0,0.0
terminal,4,0.0,0.0,0.0,0.0
david,4,0.0,0.0,0.0,0.0
paid,4,0.0,0.0,0.0,0.01
christie,4,0.0,0.0,0.0,0.0
flights,4,0.0,0.0,0.0,0.0
housing,4,0.0,0.0,0.0,0.0
uncovered,4,0.0,0.0,0.0,0.0
photograph,4,0.01,0.0,0.0,0.01
800,4,0.0,0.0,0.0,0.0
dealers,4,0.0,0.0,0.0,0.0
counsel,4,0.0,0.0,0.0,0.0
conference,4,0.01,0.01,0.0,0.04
dates,4,0.0,0.0,0.0,0.0
sheets,4,0.0,0.0,0.0,0.0
polish,4,0.0,0.0,0.0,0.01
federal,4,0.0,0.0,0.0,0.0
rise,4,0.0,0.0,0.0,0.01
monday,4,0.01,0.01,0.0,0.04
plans,4,0.0,0.0,0.0,0.0
why,4,0.0,0.0,0.0,0.0
seven,4,0.0,0.0,0.0,0.0
portuguese,4,0.0,0.0,0.0,0.01
south,4,0.0,0.0,0.0,0.01
child,4,0.0,0.0,0.0,0.01
ten,4,0.0,0.0,0.0,0.0
strip,4,0.0,0.0,0.0,0.0
visiting,4,0.0,0.0,0.0,0.01
exhibition,4,0.0,0.0,0.0,0.01
scores,4,0.0,0.0,0.0,0.0
injured,4,0.0,0.0,0.0,0.0
olympic,4,0.0,0.0,0.0,0.0
cost,4,0.0,0.0,0.0,0.01
permanent,4,0.0,0.0,0.0,0.0
address,4,0.0,0.0,0.0,0.01
decided,4,0.0,0.0,0.0,0.0
auction,4,0.0,0.0,0.0,0.0
father,4,0.0,0.0,0.0,0.01
estate,4,0.0,0.0,0.0,0.0
belonged,4,0.0,0.0,0.0,0.0
dec,4,0.0,0.0,0.0,0.0
age,4,0.0,0.0,0.0,0.01
government,4,0.01,0.01,0.0,0.02
capital,4,0.0,0.0,0.0,0.01
suggests,4,0.0,0.0,0.0,0.0
goods,4,0.0,0.0,0.0,0.0
celebration,4,0.0,0.0,0.0,0.0
arguing,4,0.0,0.0,0.0,0.0
tourist,4,0.0,0.0,0.0,0.0
become,4,0.0,0.0,0.0,0.0
east,4,0.01,0.0,0.0,0.01
convention,4,0.0,0.0,0.0,0.0
saturday,4,0.01,0.01,0.0,0.04
institute,4,0.0,0.0,0.0,0.0
crown,4,0.0,0.0,0.0,0.0
daniel,4,0.0,0.0,0.0,0.0
group,4,0.01,0.0,0.0,0.01
congressional,4,0.0,0.0,0.0,0.0
baltimore,4,0.0,0.0,0.0,0.01
service,4,0.0,0.0,0.0,0.01
university,4,0.0,0.0,0.0,0.0
project,4,0.0,0.0,0.0,0.0
victims,4,0.0,0.0,0.0,0.0
nine,4,0.0,0.0,0.0,0.0
image,4,0.0,0.0,0.0,0.0
brooklyn,4,0.0,0.0,0.0,0.0
queen,4,0.0,0.0,0.0,0.0
port,4,0.0,0.0,0.0,0.0
fully,4,0.0,0.0,0.0,0.0
emerge,4,0.0,0.0,0.0,0.0
drawing,4,0.01,0.01,0.0,0.01
types,4,0.0,0.0,0.0,0.0
wrong,4,0.0,0.0,0.0,0.0
receive,4,0.0,0.0,0.0,0.01
months,4,0.0,0.0,0.0,0.01
starting,4,0.0,0.0,0.0,0.0
va,4,0.0,0.0,0.0,0.0
consider,4,0.0,0.0,0.0,0.0
john,4,0.0,0.0,0.0,0.0
describes,4,0.0,0.0,0.0,0.0
ballot,4,0.0,0.0,0.0,0.01
veterans,4,0.0,0.0,0.0,0.0
swedish,4,0.0,0.0,0.0,0.01
served,4,0.0,0.0,0.0,0.01
celebrations,4,0.0,0.0,0.0,0.0
admission,4,0.0,0.0,0.0,0.0
governor,4,0.0,0.0,0.0,0.0
lawmakers,4,0.0,0.0,0.0,0.0
senate,4,0.0,0.0,0.0,0.0
honored,4,0.0,0.0,0.0,0.0
proven,4,0.0,0.0,0.0,0.0
ho,4,0.0,0.0,0.0,0.0
listed,4,0.0,0.0,0.0,0.0
scrap,4,0.0,0.0,0.0,0.0
md,4,0.0,0.0,0.0,0.0
choose,4,0.0,0.0,0.0,0.0
reserve,4,0.0,0.0,0.0,0.0
agents,4,0.0,0.0,0.0,0.0
operates,4,0.0,0.0,0.0,0.0
temporary,4,0.0,0.0,0.0,0.0
spokeswoman,4,0.0,0.0,0.0,0.0
addressed,4,0.0,0.0,0.0,0.0
unusual,4,0.0,0.0,0.0,0.0
francisco,4,0.0,0.0,0.0,0.0
spent,4,0.0,0.0,0.0,0.01
wave,4,0.0,0.0,0.0,0.0
virginia,4,0.0,0.0,0.0,0.0
nationalist,4,0.0,0.0,0.0,0.01
treasury,4,0.0,0.0,0.0,0.0
george,4,0.0,0.0,0.0,0.0
republican,4,0.0,0.0,0.0,0.0
nor,4,0.0,0.0,0.0,0.0
worker,4,0.0,0.0,0.0,0.0
trip,4,0.0,0.0,0.0,0.0
study,4,0.0,0.0,0.0,0.0
resident,4,0.0,0.0,0.0,0.01
general,4,0.0,0.0,0.0,0.01
selected,4,0.0,0.0,0.0,0.0
parents,4,0.0,0.0,0.0,0.01
fax,4,0.0,0.0,0.0,0.0
arguments,4,0.0,0.0,0.0,0.0
preferred,4,0.0,0.0,0.0,0.0
cases,4,0.0,0.0,0.0,0.0
lee,4,0.0,0.0,0.0,0.0
shortage,4,0.0,0.0,0.0,0.0
iraqis,4,0.0,0.0,0.0,0.0
referring,4,0.0,0.0,0.0,0.01
debated,4,0.0,0.0,0.0,0.0
depth,4,0.0,0.0,0.0,0.0
respect,4,0.0,0.0,0.0,0.0
contend,4,0.0,0.0,0.0,0.0
philadelphia,4,0.0,0.0,0.0,0.0
lawmaker,4,0.0,0.0,0.0,0.0
thieves,4,0.0,0.0,0.0,0.0
passengers,4,0.0,0.0,0.0,0.01
agree,4,0.0,0.0,0.0,0.0
ignored,4,0.0,0.0,0.0,0.0
jose,4,0.0,0.0,0.0,0.0
plot,4,0.0,0.0,0.0,0.0
metro,4,0.0,0.0,0.0,0.01
20th,4,0.0,0.0,0.0,0.0
meantime,4,0.0,0.0,0.0,0.0
peter,4,0.0,0.0,0.0,0.0
banned,4,0.0,0.0,0.0,0.01
sisters,4,0.0,0.0,0.0,0.0
pennsylvania,4,0.0,0.0,0.0,0.0
karen,4,0.0,0.0,0.0,0.0
joseph,4,0.0,0.0,0.0,0.0
lifetime,4,0.0,0.0,0.0,0.0
benjamin,4,0.0,0.0,0.0,0.0
brazil,4,0.0,0.0,0.0,0.0
aug,4,0.0,0.0,0.0,0.0
units,4,0.0,0.0,0.0,0.0
forum,4,0.0,0.0,0.0,0.0
permit,4,0.0,0.0,0.0,0.0
student,4,0.01,0.01,0.0,0.02
dean,4,0.0,0.0,0.0,0.0
germany,4,0.0,0.0,0.0,0.0
1970,4,0.0,0.0,0.0,0.0
policeman,4,0.0,0.0,0.0,0.0
320,4,0.0,0.0,0.0,0.0
inevitable,4,0.0,0.0,0.0,0.0
drug,4,0.0,0.0,0.0,0.0
indian,4,0.0,0.0,0.0,0.01
tore,4,0.0,0.0,0.0,0.0
impression,4,0.0,0.0,0.0,0.0
false,4,0.0,0.0,0.0,0.0
youth,4,0.01,0.0,0.0,0.02
personally,4,0.0,0.0,0.0,0.0
ought,4,0.0,0.0,0.0,0.0
orleans,4,0.0,0.0,0.0,0.0
persuaded,4,0.0,0.0,0.0,0.0
voted,4,0.0,0.0,0.0,0.0
returning,4,0.0,0.0,0.0,0.0
trips,4,0.0,0.0,0.0,0.0
sister,4,0.0,0.0,0.0,0.0
capture,4,0.0,0.0,0.0,0.0
dealer,4,0.0,0.0,0.0,0.01
credit,4,0.16,0.16,0.0,0.64
clients,4,0.0,0.0,0.0,0.0
indicating,4,0.0,0.0,0.0,0.0
established,4,0.0,0.0,0.0,0.0
aged,4,0.0,0.0,0.0,0.0
accepted,4,0.0,0.0,0.0,0.0
worse,4,0.0,0.0,0.0,0.0
mentioned,4,0.0,0.0,0.0,0.0
uncle,4,0.0,0.0,0.0,0.0
fighting,4,0.0,0.0,0.0,0.0
secretary,4,0.0,0.0,0.0,0.0
reflect,4,0.0,0.0,0.0,0.0
details,4,0.0,0.0,0.0,0.01
mayor,4,0.0,0.0,0.0,0.0
necessary,4,0.0,0.0,0.0,0.0
tests,4,0.0,0.0,0.0,0.0
buffalo,4,0.0,0.0,0.0,0.0
proud,4,0.0,0.0,0.0,0.0
aside,4,0.0,0.0,0.0,0.01
rumsfeld,4,0.0,0.0,0.0,0.0
reed,4,0.0,0.0,0.0,0.0
137,4,0.0,0.0,0.0,0.0
procedures,4,0.0,0.0,0.0,0.0
verify,4,0.0,0.0,0.0,0.0
airlines,4,0.0,0.0,0.0,0.0
unity,4,0.0,0.0,0.0,0.0
raul,4,0.0,0.0,0.0,0.0
liverpool,4,0.0,0.0,0.0,0.0
recovering,4,0.0,0.0,0.0,0.0
czech,4,0.0,0.0,0.0,0.0
montreal,4,0.0,0.0,0.0,0.0
signatures,4,0.0,0.0,0.0,0.0
lobbyists,4,0.0,0.0,0.0,0.0
robbed,4,0.0,0.0,0.0,0.0
stakes,4,0.0,0.0,0.0,0.01
euros,4,0.0,0.0,0.0,0.0
reid,4,0.0,0.0,0.0,0.0
daughters,4,0.0,0.0,0.0,0.0
shareholders,4,0.0,0.0,0.0,0.0
connor,4,0.0,0.0,0.0,0.0
sen,4,0.0,0.0,0.0,0.0
perceived,4,0.0,0.0,0.0,0.0
victoria,4,0.0,0.0,0.0,0.0
bankers,4,0.0,0.0,0.0,0.0
upbeat,4,0.0,0.0,0.0,0.0
jane,4,0.0,0.0,0.0,0.0
unnecessary,4,0.0,0.0,0.0,0.0
franchise,4,0.0,0.0,0.0,0.0
declaring,4,0.0,0.0,0.0,0.0
sydney,4,0.0,0.0,0.0,0.01
ratio,4,0.0,0.0,0.0,0.0
violent,4,0.0,0.0,0.0,0.0
romance,4,0.0,0.0,0.0,0.0
evans,4,0.0,0.0,0.0,0.0
ben,4,0.0,0.0,0.0,0.0
speaks,4,0.0,0.0,0.0,0.0
charlotte,4,0.0,0.0,0.0,0.0
madison,4,0.0,0.0,0.0,0.0
mounting,4,0.0,0.0,0.0,0.0
chelsea,4,0.0,0.0,0.0,0.0
stress,4,0.0,0.0,0.0,0.0
dated,4,0.0,0.0,0.0,0.0
governing,4,0.0,0.0,0.0,0.0
differences,4,0.0,0.0,0.0,0.0
reasonable,4,0.0,0.0,0.0,0.0
commitment,4,0.0,0.0,0.0,0.0
married,4,0.0,0.0,0.0,0.0
rescued,4,0.0,0.0,0.0,0.0
tomorrow,4,0.0,0.0,0.0,0.0
abandon,4,0.0,0.0,0.0,0.0
investigating,4,0.0,0.0,0.0,0.0
instructed,4,0.0,0.0,0.0,0.0
odds,4,0.0,0.0,0.0,0.0
appealing,4,0.0,0.0,0.0,0.0
mainland,4,0.0,0.0,0.0,0.0
smoothly,4,0.0,0.0,0.0,0.0
engage,4,0.0,0.0,0.0,0.0
delighted,4,0.0,0.0,0.0,0.0
favored,4,0.0,0.0,0.0,0.0
robust,4,0.0,0.0,0.0,0.0
similarly,4,0.0,0.0,0.0,0.0
associate,4,0.0,0.0,0.0,0.0
spur,4,0.0,0.0,0.0,0.0
acceptable,4,0.0,0.0,0.0,0.0
ap,4,0.0,0.0,0.0,0.0
occasion,4,0.0,0.0,0.0,0.0
complicated,4,0.0,0.0,0.0,0.0
stated,4,0.0,0.0,0.0,0.0
advances,4,0.0,0.0,0.0,0.0
statue,3,0.08,0.08,0.0,0.24
columns,3,0.06,0.06,0.0,0.15
white,3,0.04,0.04,0.01,0.11
arch,3,0.03,0.02,0.0,0.07
stadium,3,0.02,0.01,0.0,0.04
roman,3,0.01,0.01,0.0,0.03
capitol,3,0.02,0.02,0.01,0.03
century,3,0.01,0.01,0.0,0.03
17th,3,0.01,0.01,0.0,0.03
table,3,0.02,0.02,0.01,0.03
imposing,3,0.01,0.01,0.0,0.03
mosque,3,0.01,0.01,0.0,0.02
with,3,0.02,0.0,0.02,0.03
structure,3,0.01,0.01,0.0,0.02
temple,3,0.01,0.01,0.0,0.02
block,3,0.01,0.01,0.0,0.02
stained,3,0.01,0.01,0.0,0.02
covered,3,0.01,0.01,0.0,0.02
grand,3,0.01,0.01,0.0,0.02
are,3,0.01,0.0,0.01,0.02
mountains,3,0.01,0.0,0.0,0.01
depicting,3,0.01,0.01,0.0,0.01
paintings,3,0.01,0.01,0.0,0.01
works,3,0.01,0.01,0.0,0.01
soaring,3,0.01,0.0,0.0,0.01
headquarters,3,0.01,0.01,0.0,0.01
dining,3,0.13,0.12,0.0,0.36
museum,3,0.01,0.01,0.0,0.01
dating,3,0.0,0.0,0.0,0.01
supreme,3,0.01,0.0,0.0,0.01
story,3,0.01,0.01,0.01,0.02
features,3,0.01,0.0,0.0,0.01
hosted,3,0.0,0.0,0.0,0.01
complex,3,0.01,0.0,0.0,0.01
hill,3,0.01,0.01,0.0,0.01
library,3,0.01,0.01,0.01,0.02
sweeping,3,0.0,0.0,0.0,0.01
installed,3,0.01,0.01,0.0,0.01
interior,3,0.01,0.0,0.0,0.01
ceremony,3,0.01,0.0,0.0,0.01
reception,3,0.01,0.01,0.0,0.02
19th,3,0.0,0.0,0.0,0.01
flowers,3,0.01,0.0,0.0,0.01
tennessee,3,0.0,0.0,0.0,0.01
relief,3,0.0,0.0,0.0,0.01
chamber,3,0.01,0.0,0.0,0.01
