context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
banana,38,0.04,0.04,0.0,0.5
syrup,36,0.03,0.03,0.0,0.22
sweet,35,0.02,0.02,0.01,0.08
orange,34,0.04,0.03,0.01,0.28
jam,33,0.04,0.04,0.0,0.4
growers,32,0.05,0.04,0.01,0.3
flavors,32,0.06,0.05,0.01,0.25
blueberry,32,0.02,0.02,0.0,0.12
fruit,32,0.07,0.06,0.01,0.51
coconut,31,0.04,0.03,0.01,0.18
cherry,31,0.05,0.05,0.0,0.34
peach,31,0.08,0.08,0.0,0.79
grower,31,0.01,0.01,0.0,0.11
flavor,31,0.03,0.02,0.01,0.06
dessert,31,0.02,0.02,0.0,0.06
pear,31,0.03,0.03,0.0,0.15
plum,31,0.04,0.04,0.0,0.24
grape,31,0.02,0.02,0.0,0.09
apple,31,0.03,0.03,0.01,0.25
strawberry,31,0.07,0.06,0.0,0.57
planted,31,0.01,0.01,0.0,0.05
flower,31,0.01,0.01,0.0,0.07
berry,31,0.02,0.02,0.0,0.08
sweetness,31,0.01,0.01,0.0,0.02
flavored,30,0.03,0.02,0.01,0.1
caramel,30,0.01,0.01,0.0,0.08
hint,30,0.01,0.01,0.0,0.06
and,30,0.03,0.01,0.03,0.05
fruits,30,0.03,0.03,0.0,0.47
apricot,29,0.04,0.04,0.0,0.22
tart,29,0.03,0.03,0.01,0.16
cinnamon,29,0.03,0.03,0.01,0.55
whipped,29,0.01,0.0,0.0,0.02
passion,29,0.01,0.01,0.0,0.06
chocolate,28,0.07,0.06,0.01,0.67
honey,28,0.03,0.02,0.01,0.09
sugar,28,0.06,0.05,0.01,0.73
pure,28,0.01,0.01,0.0,0.03
mango,28,0.06,0.05,0.01,0.29
shade,28,0.01,0.01,0.0,0.08
pie,28,0.08,0.08,0.01,0.77
sorbet,28,0.03,0.03,0.0,0.15
color,28,0.01,0.01,0.0,0.04
aroma,28,0.01,0.01,0.0,0.05
rows,28,0.01,0.0,0.0,0.02
grapes,28,0.01,0.01,0.0,0.05
pineapple,28,0.05,0.04,0.0,0.23
chutney,28,0.03,0.03,0.0,0.3
liqueur,27,0.04,0.03,0.0,0.25
acres,27,0.01,0.01,0.0,0.04
desserts,27,0.01,0.01,0.0,0.04
cheesecake,27,0.01,0.01,0.0,0.06
pomegranate,27,0.02,0.02,0.0,0.09
berries,27,0.02,0.02,0.0,0.22
marmalade,27,0.01,0.01,0.0,0.08
cake,26,0.06,0.05,0.01,0.23
trees,26,0.09,0.09,0.01,0.32
blossom,26,0.03,0.03,0.0,0.35
raspberry,26,0.05,0.04,0.01,0.15
raisin,26,0.01,0.01,0.0,0.03
candy,26,0.01,0.01,0.0,0.05
tarts,26,0.01,0.01,0.0,0.04
or,26,0.02,0.01,0.01,0.04
skin,26,0.01,0.01,0.0,0.04
scented,26,0.01,0.01,0.0,0.03
ginger,26,0.03,0.02,0.01,0.13
blend,26,0.01,0.01,0.0,0.03
touch,26,0.01,0.0,0.0,0.02
notes,26,0.01,0.01,0.0,0.06
base,26,0.0,0.0,0.0,0.01
hints,26,0.01,0.01,0.0,0.04
she,26,0.01,0.0,0.0,0.05
blueberries,26,0.01,0.01,0.0,0.07
cocktail,26,0.01,0.0,0.0,0.02
blackberry,26,0.04,0.04,0.0,0.22
field,26,0.0,0.0,0.0,0.01
varieties,26,0.03,0.02,0.01,0.22
so,26,0.01,0.0,0.0,0.02
many,26,0.01,0.0,0.0,0.04
combination,26,0.01,0.0,0.0,0.03
extract,25,0.04,0.04,0.0,0.6
eyes,25,0.01,0.01,0.0,0.11
colored,25,0.04,0.04,0.01,0.28
ice,25,0.02,0.01,0.0,0.05
cherries,25,0.01,0.01,0.0,0.06
cranberry,25,0.03,0.02,0.0,0.09
with,25,0.02,0.01,0.02,0.03
citrus,25,0.03,0.02,0.01,0.09
pink,25,0.03,0.03,0.0,0.18
glaze,25,0.02,0.02,0.0,0.15
but,25,0.01,0.01,0.0,0.09
juices,25,0.02,0.02,0.0,0.08
oatmeal,25,0.01,0.01,0.0,0.04
variety,25,0.01,0.01,0.0,0.07
tiny,25,0.01,0.0,0.0,0.02
pulp,25,0.03,0.02,0.0,0.38
drinks,25,0.01,0.01,0.0,0.07
where,25,0.01,0.0,0.0,0.02
blends,25,0.01,0.0,0.0,0.05
lush,25,0.01,0.01,0.0,0.04
kiwi,25,0.01,0.01,0.0,0.05
compote,25,0.02,0.02,0.0,0.21
farm,25,0.01,0.01,0.0,0.04
halves,25,0.03,0.02,0.0,0.1
bushes,25,0.03,0.03,0.0,0.36
were,25,0.01,0.0,0.0,0.02
of,25,0.02,0.01,0.01,0.04
this,25,0.01,0.0,0.0,0.02
vodka,25,0.02,0.02,0.0,0.07
also,25,0.01,0.0,0.0,0.02
orchards,24,0.05,0.04,0.0,0.17
cookie,24,0.01,0.01,0.0,0.07
lemon,24,0.06,0.04,0.02,0.21
tree,24,0.06,0.05,0.01,0.27
hair,24,0.01,0.0,0.0,0.02
pudding,24,0.02,0.02,0.0,0.14
jasmine,24,0.01,0.01,0.0,0.03
beneath,24,0.01,0.0,0.0,0.03
rum,24,0.02,0.01,0.0,0.08
scent,24,0.0,0.0,0.0,0.02
spice,24,0.01,0.01,0.0,0.08
lavender,24,0.01,0.01,0.0,0.04
aromas,24,0.02,0.02,0.0,0.09
custard,24,0.01,0.01,0.0,0.05
quince,24,0.01,0.01,0.0,0.04
scrub,24,0.01,0.0,0.0,0.03
fragrant,24,0.01,0.0,0.0,0.02
tropical,24,0.03,0.03,0.0,0.31
acre,24,0.0,0.0,0.0,0.02
nose,24,0.01,0.01,0.0,0.02
upside,24,0.01,0.01,0.0,0.13
tangerine,24,0.02,0.02,0.0,0.11
muffins,24,0.03,0.02,0.0,0.39
fashioned,24,0.0,0.0,0.0,0.02
classic,24,0.01,0.0,0.0,0.02
