context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
box,12,0.01,0.0,0.0,0.02
candy,11,0.02,0.02,0.0,0.1
syrup,11,0.05,0.04,0.0,0.22
caramel,11,0.01,0.01,0.0,0.08
bought,11,0.0,0.0,0.0,0.01
buy,11,0.01,0.0,0.0,0.01
25,11,0.01,0.01,0.0,0.07
flowing,11,0.0,0.0,0.0,0.01
rival,11,0.0,0.0,0.0,0.0
distributed,11,0.0,0.0,0.0,0.0
handed,11,0.0,0.0,0.0,0.0
750,11,0.0,0.0,0.0,0.0
45,11,0.0,0.0,0.0,0.01
grapes,11,0.02,0.02,0.0,0.15
glass,10,0.04,0.03,0.0,0.17
drinks,10,0.03,0.03,0.0,0.09
cola,10,0.01,0.01,0.0,0.05
sparkling,10,0.04,0.04,0.0,0.21
unsweetened,10,0.02,0.02,0.0,0.11
out,10,0.01,0.01,0.0,0.03
sweetened,10,0.01,0.01,0.0,0.03
beverage,10,0.01,0.01,0.0,0.02
bottle,10,0.04,0.04,0.0,0.29
malt,10,0.01,0.01,0.0,0.02
grape,10,0.03,0.03,0.0,0.11
cider,10,0.02,0.02,0.0,0.16
rum,10,0.01,0.01,0.0,0.02
given,10,0.0,0.0,0.0,0.01
sodas,10,0.0,0.0,0.0,0.01
blended,10,0.01,0.0,0.0,0.01
from,10,0.01,0.01,0.01,0.02
need,10,0.0,0.0,0.0,0.01
turned,10,0.0,0.0,0.0,0.01
allowed,10,0.0,0.0,0.0,0.01
wines,10,0.02,0.01,0.0,0.11
unit,10,0.0,0.0,0.0,0.01
sweeter,10,0.0,0.0,0.0,0.01
bubble,10,0.0,0.0,0.0,0.02
hidden,10,0.0,0.0,0.0,0.01
44,10,0.0,0.0,0.0,0.01
real,10,0.0,0.0,0.0,0.01
thinking,10,0.0,0.0,0.0,0.0
rather,10,0.0,0.0,0.0,0.01
distilled,10,0.01,0.01,0.0,0.02
liters,10,0.0,0.0,0.0,0.03
tripled,10,0.0,0.0,0.0,0.0
accounting,10,0.0,0.0,0.0,0.0
visitor,10,0.0,0.0,0.0,0.01
ad,10,0.0,0.0,0.0,0.0
maker,10,0.01,0.01,0.0,0.05
drunk,10,0.01,0.0,0.0,0.03
1997,10,0.0,0.0,0.0,0.01
competition,10,0.0,0.0,0.0,0.01
reached,10,0.0,0.0,0.0,0.01
hills,10,0.02,0.02,0.0,0.13
building,10,0.0,0.0,0.0,0.0
makers,10,0.01,0.01,0.0,0.04
800,10,0.0,0.0,0.0,0.0
content,10,0.01,0.0,0.0,0.03
artificial,10,0.0,0.0,0.0,0.01
air,10,0.0,0.0,0.0,0.0
53,10,0.0,0.0,0.0,0.0
learned,10,0.0,0.0,0.0,0.0
excellent,10,0.0,0.0,0.0,0.01
dates,10,0.0,0.0,0.0,0.0
pure,10,0.0,0.0,0.0,0.01
took,10,0.0,0.0,0.0,0.01
expand,10,0.0,0.0,0.0,0.0
yeast,10,0.0,0.0,0.0,0.03
72,10,0.0,0.0,0.0,0.0
shoppers,10,0.0,0.0,0.0,0.0
europe,10,0.0,0.0,0.0,0.01
gradually,10,0.0,0.0,0.0,0.02
surge,10,0.0,0.0,0.0,0.0
whites,10,0.01,0.01,0.0,0.03
leave,10,0.0,0.0,0.0,0.0
further,10,0.0,0.0,0.0,0.0
purpose,10,0.0,0.0,0.0,0.0
draws,10,0.0,0.0,0.0,0.0
beauty,10,0.0,0.0,0.0,0.02
sixth,10,0.0,0.0,0.0,0.0
solid,10,0.0,0.0,0.0,0.01
1974,10,0.0,0.0,0.0,0.0
specifically,10,0.0,0.0,0.0,0.0
240,10,0.0,0.0,0.0,0.0
requests,10,0.0,0.0,0.0,0.0
deals,10,0.0,0.0,0.0,0.0
queen,10,0.0,0.0,0.0,0.01
value,10,0.0,0.0,0.0,0.01
standing,10,0.0,0.0,0.0,0.0
stayed,10,0.0,0.0,0.0,0.0
complex,10,0.0,0.0,0.0,0.01
stand,9,0.03,0.03,0.0,0.26
lemonade,9,0.02,0.02,0.0,0.16
stands,9,0.01,0.01,0.0,0.11
drink,9,0.04,0.03,0.01,0.09
cookies,9,0.05,0.05,0.0,0.23
vodka,9,0.02,0.01,0.0,0.06
selling,9,0.01,0.01,0.0,0.06
alcoholic,9,0.02,0.02,0.0,0.08
drinking,9,0.03,0.03,0.0,0.11
punch,9,0.01,0.01,0.0,0.04
glasses,9,0.03,0.03,0.0,0.15
fruit,9,0.04,0.03,0.01,0.11
soda,9,0.02,0.02,0.01,0.04
sugar,9,0.04,0.03,0.02,0.12
coffee,9,0.05,0.05,0.01,0.24
porch,9,0.01,0.01,0.0,0.03
berry,9,0.01,0.01,0.0,0.03
bottles,9,0.03,0.03,0.0,0.22
beverages,9,0.01,0.01,0.0,0.03
drank,9,0.02,0.02,0.0,0.06
gallons,9,0.01,0.01,0.0,0.03
chocolate,9,0.05,0.04,0.01,0.23
sells,9,0.01,0.01,0.0,0.02
cherry,9,0.03,0.02,0.0,0.11
children,9,0.0,0.0,0.0,0.02
sold,9,0.01,0.01,0.0,0.02
vendors,9,0.0,0.0,0.0,0.02
poured,9,0.01,0.01,0.0,0.02
sweet,9,0.03,0.02,0.01,0.05
