context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
salmon,25,0.09,0.09,0.0,0.86
fish,24,0.08,0.08,0.01,0.36
fishing,24,0.06,0.06,0.0,0.24
catch,23,0.04,0.03,0.01,0.11
fishermen,22,0.03,0.03,0.0,0.11
waters,21,0.02,0.02,0.0,0.06
caught,21,0.02,0.02,0.01,0.07
tuna,21,0.14,0.14,0.0,0.99
catches,21,0.03,0.03,0.0,0.22
trout,20,0.05,0.05,0.0,0.23
catfish,20,0.06,0.06,0.0,0.48
fillets,20,0.06,0.06,0.0,0.28
fishery,20,0.04,0.04,0.0,0.19
pacific,20,0.02,0.01,0.0,0.12
crab,20,0.04,0.04,0.0,0.23
shrimp,19,0.09,0.09,0.0,0.31
catching,19,0.02,0.02,0.0,0.1
atlantic,19,0.03,0.03,0.0,0.23
seafood,19,0.02,0.02,0.0,0.1
sea,18,0.03,0.02,0.0,0.13
boat,18,0.02,0.01,0.0,0.06
pound,18,0.02,0.02,0.0,0.06
plentiful,18,0.02,0.01,0.0,0.07
smoked,18,0.04,0.04,0.0,0.2
baked,18,0.01,0.01,0.0,0.04
pounds,18,0.01,0.01,0.0,0.04
lobster,18,0.04,0.04,0.0,0.18
sole,18,0.05,0.05,0.0,0.65
stocks,18,0.02,0.02,0.0,0.07
bass,17,0.14,0.13,0.01,0.61
cod,17,0.2,0.2,0.01,0.88
summer,17,0.01,0.01,0.0,0.02
hook,17,0.01,0.01,0.0,0.02
menu,17,0.01,0.01,0.0,0.03
ounces,17,0.02,0.02,0.0,0.11
fillet,16,0.02,0.02,0.0,0.08
dish,16,0.01,0.01,0.0,0.04
fisheries,16,0.02,0.02,0.01,0.07
filet,16,0.01,0.01,0.0,0.04
poached,16,0.01,0.01,0.0,0.04
sauce,16,0.04,0.03,0.01,0.15
potato,16,0.01,0.01,0.0,0.05
nets,16,0.01,0.01,0.0,0.04
maine,16,0.01,0.01,0.0,0.05
staple,16,0.0,0.0,0.0,0.02
perch,15,0.05,0.05,0.0,0.22
ocean,15,0.02,0.02,0.0,0.15
species,15,0.05,0.03,0.02,0.18
shore,15,0.01,0.01,0.0,0.02
prefer,15,0.0,0.0,0.0,0.01
far,15,0.0,0.0,0.0,0.01
populations,15,0.02,0.02,0.01,0.09
served,15,0.01,0.01,0.0,0.02
grill,15,0.02,0.01,0.0,0.06
threatened,15,0.01,0.01,0.0,0.02
water,15,0.01,0.01,0.0,0.05
