context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
fish,10,0.01,0.01,0.0,0.03
95,10,0.01,0.01,0.0,0.02
one,9,0.01,0.0,0.01,0.01
bowl,9,0.02,0.02,0.0,0.07
pot,9,0.01,0.01,0.0,0.02
place,9,0.01,0.0,0.0,0.01
turning,9,0.01,0.0,0.0,0.02
add,9,0.01,0.01,0.0,0.02
stand,9,0.0,0.0,0.0,0.01
kitchen,8,0.06,0.05,0.01,0.27
or,8,0.02,0.01,0.01,0.04
school,8,0.0,0.0,0.0,0.01
cook,8,0.01,0.01,0.0,0.04
top,8,0.01,0.01,0.0,0.02
can,8,0.01,0.0,0.0,0.01
running,8,0.0,0.0,0.0,0.01
fishing,8,0.01,0.0,0.0,0.02
over,8,0.02,0.01,0.01,0.06
catch,8,0.01,0.0,0.0,0.01
about,8,0.01,0.0,0.0,0.02
good,8,0.01,0.0,0.0,0.01
set,8,0.01,0.01,0.0,0.03
serving,8,0.01,0.01,0.0,0.03
toward,8,0.0,0.0,0.0,0.01
cool,8,0.01,0.01,0.0,0.02
half,8,0.01,0.01,0.0,0.03
served,8,0.0,0.0,0.0,0.01
whose,8,0.0,0.0,0.0,0.01
99,8,0.01,0.01,0.0,0.05
great,8,0.0,0.0,0.0,0.01
prepared,8,0.01,0.0,0.0,0.01
cover,8,0.01,0.0,0.0,0.01
choice,8,0.0,0.0,0.0,0.0
introduced,8,0.0,0.0,0.0,0.01
combined,8,0.0,0.0,0.0,0.01
cause,8,0.0,0.0,0.0,0.0
particularly,8,0.0,0.0,0.0,0.01
smile,8,0.0,0.0,0.0,0.0
barely,8,0.0,0.0,0.0,0.01
significant,8,0.0,0.0,0.0,0.01
knight,8,0.0,0.0,0.0,0.02
egg,8,0.04,0.04,0.0,0.18
fork,7,0.06,0.06,0.01,0.2
carving,7,0.02,0.02,0.0,0.09
knife,7,0.15,0.11,0.07,0.33
slice,7,0.03,0.03,0.0,0.09
tip,7,0.02,0.01,0.0,0.06
with,7,0.03,0.02,0.02,0.06
spoon,7,0.12,0.12,0.0,0.26
thin,7,0.02,0.02,0.0,0.04
fight,7,0.01,0.01,0.0,0.02
remove,7,0.01,0.01,0.01,0.04
fruit,7,0.01,0.01,0.0,0.02
flesh,7,0.04,0.03,0.0,0.19
june,7,0.02,0.02,0.0,0.09
easily,7,0.01,0.01,0.0,0.05
12,7,0.01,0.01,0.01,0.02
from,7,0.01,0.01,0.01,0.02
went,7,0.01,0.0,0.0,0.01
plate,7,0.02,0.02,0.0,0.05
until,7,0.02,0.02,0.0,0.07
heavy,7,0.01,0.0,0.0,0.01
dinner,7,0.02,0.02,0.0,0.06
cheese,7,0.04,0.04,0.0,0.15
who,7,0.01,0.0,0.01,0.01
make,7,0.01,0.0,0.01,0.01
pie,7,0.01,0.01,0.0,0.03
mixture,7,0.04,0.03,0.0,0.11
bottom,7,0.01,0.01,0.0,0.02
there,7,0.01,0.0,0.0,0.01
finger,7,0.01,0.0,0.0,0.01
serve,7,0.01,0.01,0.0,0.04
potato,7,0.02,0.02,0.0,0.06
following,7,0.0,0.0,0.0,0.01
just,7,0.01,0.0,0.0,0.01
four,7,0.01,0.0,0.0,0.02
has,7,0.01,0.0,0.01,0.02
five,7,0.01,0.0,0.0,0.02
right,7,0.01,0.0,0.0,0.01
eat,7,0.01,0.01,0.0,0.05
restaurant,7,0.01,0.01,0.0,0.03
warm,7,0.01,0.01,0.0,0.03
