context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
wheel,50,0.04,0.03,0.0,0.18
drove,48,0.02,0.02,0.0,0.08
parked,47,0.04,0.03,0.0,0.17
driving,46,0.03,0.02,0.0,0.1
drives,45,0.02,0.02,0.0,0.21
drivers,44,0.08,0.08,0.0,0.67
road,44,0.02,0.02,0.0,0.08
bicycle,44,0.03,0.03,0.0,0.2
drive,42,0.03,0.03,0.01,0.53
driven,42,0.02,0.01,0.0,0.07
rolled,41,0.01,0.01,0.0,0.05
roads,41,0.01,0.01,0.0,0.03
streets,41,0.01,0.01,0.0,0.03
mini,40,0.01,0.01,0.0,0.08
past,40,0.01,0.01,0.0,0.05
bike,39,0.02,0.02,0.0,0.19
wheels,39,0.02,0.02,0.0,0.15
model,39,0.02,0.02,0.0,0.06
vehicle,38,0.03,0.02,0.01,0.11
back,38,0.02,0.01,0.01,0.05
chassis,38,0.01,0.01,0.0,0.11
son,38,0.01,0.0,0.0,0.03
tracks,38,0.02,0.02,0.0,0.17
automobile,38,0.01,0.01,0.0,0.08
wheeled,38,0.03,0.03,0.0,0.18
driver,37,0.13,0.12,0.01,0.55
traveling,37,0.02,0.02,0.0,0.11
car,37,0.05,0.03,0.02,0.21
hit,37,0.02,0.01,0.01,0.05
parking,37,0.01,0.01,0.0,0.05
garage,37,0.01,0.01,0.0,0.06
rolling,37,0.01,0.01,0.0,0.1
climbed,37,0.01,0.01,0.0,0.08
shop,37,0.01,0.01,0.0,0.08
segment,37,0.01,0.01,0.0,0.11
spin,37,0.01,0.01,0.0,0.06
speeding,36,0.02,0.01,0.0,0.06
riding,36,0.1,0.1,0.01,0.63
10,36,0.02,0.01,0.01,0.04
tire,36,0.02,0.02,0.0,0.28
device,36,0.01,0.01,0.0,0.03
business,36,0.01,0.01,0.0,0.05
rolls,36,0.01,0.01,0.0,0.06
benz,36,0.02,0.02,0.0,0.11
flat,36,0.01,0.0,0.0,0.04
ford,36,0.03,0.03,0.0,0.18
assembled,36,0.01,0.0,0.0,0.04
capital,35,0.01,0.01,0.0,0.09
with,35,0.02,0.01,0.02,0.05
lane,35,0.01,0.01,0.0,0.06
suburban,35,0.01,0.01,0.0,0.1
hopped,35,0.01,0.01,0.0,0.09
several,35,0.01,0.0,0.0,0.01
manufacturer,35,0.03,0.02,0.0,0.15
just,35,0.01,0.01,0.01,0.05
seen,35,0.01,0.01,0.0,0.03
available,35,0.01,0.0,0.0,0.02
strapped,35,0.01,0.01,0.0,0.15
auto,35,0.02,0.02,0.0,0.31
brand,35,0.01,0.01,0.0,0.06
exploded,34,0.03,0.03,0.0,0.15
bomb,34,0.04,0.03,0.0,0.31
in,34,0.04,0.01,0.02,0.08
front,34,0.02,0.01,0.01,0.1
up,34,0.01,0.01,0.01,0.02
his,34,0.03,0.02,0.01,0.07
outskirts,34,0.01,0.01,0.0,0.07
street,34,0.02,0.01,0.0,0.06
afternoon,34,0.01,0.0,0.0,0.02
tunnel,34,0.01,0.01,0.0,0.06
motorcycle,34,0.05,0.05,0.0,0.93
trucks,34,0.02,0.02,0.01,0.21
beside,34,0.01,0.01,0.0,0.06
climbing,34,0.01,0.0,0.0,0.03
wagon,34,0.03,0.03,0.0,0.13
similar,34,0.0,0.0,0.0,0.01
buy,34,0.01,0.01,0.0,0.03
lots,34,0.0,0.0,0.0,0.02
longer,34,0.01,0.01,0.0,0.21
models,34,0.02,0.02,0.0,0.06
springs,34,0.0,0.0,0.0,0.04
planted,33,0.02,0.02,0.0,0.23
about,33,0.01,0.01,0.01,0.04
dragged,33,0.01,0.01,0.0,0.03
behind,33,0.01,0.01,0.0,0.11
hurt,33,0.01,0.0,0.0,0.05
red,33,0.01,0.01,0.0,0.02
gets,33,0.01,0.01,0.0,0.04
stolen,33,0.01,0.01,0.0,0.06
75,33,0.01,0.0,0.0,0.02
parts,33,0.03,0.03,0.0,0.31
goes,33,0.01,0.0,0.0,0.05
limited,33,0.0,0.0,0.0,0.02
offered,33,0.01,0.0,0.0,0.03
stalled,33,0.01,0.01,0.0,0.09
pointed,33,0.0,0.0,0.0,0.04
expensive,33,0.01,0.0,0.0,0.04
logo,33,0.0,0.0,0.0,0.05
borrowed,33,0.01,0.0,0.0,0.03
vintage,33,0.02,0.02,0.0,0.12
police,32,0.02,0.02,0.01,0.06
central,32,0.01,0.01,0.0,0.03
as,32,0.02,0.01,0.01,0.06
tires,32,0.02,0.02,0.0,0.19
head,32,0.01,0.01,0.0,0.18
also,32,0.01,0.0,0.01,0.02
many,32,0.01,0.0,0.0,0.02
all,32,0.01,0.01,0.01,0.04
brake,32,0.01,0.01,0.0,0.08
boy,32,0.01,0.01,0.0,0.03
put,32,0.01,0.01,0.0,0.05
hidden,32,0.02,0.02,0.0,0.26
mercedes,32,0.03,0.03,0.0,0.17
factory,32,0.01,0.01,0.0,0.05
rent,32,0.01,0.01,0.0,0.06
knocked,32,0.01,0.0,0.0,0.03
instance,32,0.0,0.0,0.0,0.02
offering,32,0.0,0.0,0.0,0.01
rather,32,0.01,0.0,0.0,0.05
1996,32,0.01,0.01,0.0,0.03
market,32,0.02,0.01,0.0,0.08
buying,32,0.01,0.0,0.0,0.02
putting,32,0.01,0.0,0.0,0.04
unveiled,32,0.01,0.01,0.0,0.02
chairman,32,0.0,0.0,0.0,0.01
transmission,32,0.01,0.01,0.0,0.05
2006,32,0.0,0.0,0.0,0.01
bomber,31,0.04,0.03,0.0,0.24
when,31,0.02,0.01,0.01,0.05
detonated,31,0.03,0.03,0.0,0.13
by,31,0.03,0.01,0.01,0.07
lanes,31,0.01,0.01,0.0,0.17
through,31,0.02,0.01,0.01,0.04
busy,31,0.01,0.01,0.0,0.03
while,31,0.01,0.01,0.01,0.02
burned,31,0.01,0.01,0.0,0.06
vehicles,31,0.03,0.02,0.01,0.1
four,31,0.01,0.01,0.01,0.1
jeep,31,0.02,0.02,0.0,0.1
sat,31,0.01,0.0,0.0,0.03
22,31,0.01,0.0,0.0,0.04
minivan,31,0.03,0.02,0.0,0.16
49,31,0.0,0.0,0.0,0.01
rental,31,0.02,0.02,0.0,0.26
pickup,31,0.06,0.05,0.0,0.7
ridden,31,0.01,0.01,0.0,0.04
phoenix,31,0.0,0.0,0.0,0.01
striking,31,0.01,0.0,0.0,0.05
ltd,31,0.01,0.01,0.0,0.07
less,31,0.01,0.0,0.0,0.03
65,31,0.0,0.0,0.0,0.03
often,31,0.0,0.0,0.0,0.01
motorcycles,31,0.01,0.01,0.0,0.1
example,31,0.01,0.0,0.0,0.04
starts,31,0.01,0.0,0.0,0.02
plus,31,0.01,0.0,0.0,0.02
husband,31,0.01,0.0,0.0,0.02
includes,31,0.01,0.0,0.0,0.02
wheelchair,31,0.01,0.01,0.0,0.08
