context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
drove,43,0.02,0.02,0.0,0.08
driving,42,0.03,0.02,0.0,0.1
wheel,42,0.03,0.03,0.0,0.18
parked,41,0.04,0.04,0.0,0.17
drivers,40,0.08,0.08,0.0,0.67
road,38,0.02,0.02,0.0,0.08
drive,38,0.04,0.03,0.01,0.53
drives,38,0.02,0.02,0.0,0.21
bicycle,38,0.03,0.03,0.0,0.2
driven,37,0.02,0.01,0.0,0.07
streets,37,0.01,0.01,0.0,0.03
past,37,0.01,0.01,0.0,0.05
mini,36,0.01,0.01,0.0,0.08
rolled,36,0.01,0.01,0.0,0.05
roads,35,0.01,0.01,0.0,0.03
son,35,0.01,0.0,0.0,0.03
traveling,34,0.02,0.02,0.0,0.11
wheeled,34,0.03,0.03,0.0,0.18
speeding,33,0.02,0.01,0.0,0.06
vehicle,33,0.03,0.02,0.01,0.09
10,33,0.02,0.01,0.01,0.04
bike,33,0.02,0.02,0.0,0.19
climbed,33,0.01,0.01,0.0,0.08
spin,33,0.01,0.01,0.0,0.06
driver,32,0.15,0.14,0.01,0.55
riding,32,0.11,0.1,0.01,0.63
car,32,0.05,0.03,0.02,0.21
hit,32,0.02,0.01,0.01,0.05
back,32,0.02,0.01,0.01,0.05
parking,32,0.02,0.01,0.0,0.05
tracks,32,0.02,0.02,0.0,0.17
shop,32,0.01,0.01,0.0,0.08
automobile,32,0.01,0.01,0.0,0.08
brand,32,0.01,0.01,0.0,0.06
segment,32,0.01,0.01,0.0,0.1
ford,32,0.03,0.03,0.0,0.18
model,32,0.02,0.01,0.0,0.04
capital,31,0.01,0.01,0.0,0.09
his,31,0.03,0.02,0.01,0.07
outskirts,31,0.01,0.01,0.0,0.07
street,31,0.01,0.01,0.0,0.06
several,31,0.01,0.0,0.0,0.01
manufacturer,31,0.03,0.03,0.0,0.15
wheels,31,0.02,0.02,0.0,0.09
just,31,0.01,0.01,0.01,0.05
garage,31,0.01,0.01,0.0,0.06
seen,31,0.01,0.01,0.0,0.03
business,31,0.01,0.01,0.0,0.05
rolls,31,0.01,0.01,0.0,0.06
auto,31,0.02,0.02,0.0,0.31
assembled,31,0.01,0.0,0.0,0.04
central,30,0.01,0.0,0.0,0.03
up,30,0.01,0.01,0.01,0.02
lane,30,0.01,0.01,0.0,0.06
tire,30,0.01,0.01,0.0,0.05
suburban,30,0.01,0.01,0.0,0.1
hopped,30,0.01,0.01,0.0,0.09
head,30,0.01,0.01,0.0,0.18
device,30,0.01,0.01,0.0,0.03
motorcycle,30,0.02,0.02,0.0,0.11
chassis,30,0.01,0.01,0.0,0.03
beside,30,0.01,0.01,0.0,0.05
rolling,30,0.01,0.01,0.0,0.1
strapped,30,0.01,0.01,0.0,0.15
models,30,0.02,0.02,0.0,0.06
in,29,0.04,0.01,0.03,0.08
police,29,0.02,0.02,0.01,0.06
with,29,0.02,0.01,0.02,0.04
hurt,29,0.01,0.0,0.0,0.02
afternoon,29,0.01,0.0,0.0,0.02
tunnel,29,0.01,0.01,0.0,0.04
red,29,0.01,0.01,0.0,0.02
gets,29,0.01,0.01,0.0,0.04
stolen,29,0.01,0.01,0.0,0.06
75,29,0.01,0.0,0.0,0.02
often,29,0.0,0.0,0.0,0.01
available,29,0.01,0.0,0.0,0.02
motorcycles,29,0.01,0.01,0.0,0.08
buy,29,0.01,0.01,0.0,0.03
lots,29,0.0,0.0,0.0,0.02
longer,29,0.0,0.0,0.0,0.01
stalled,29,0.01,0.01,0.0,0.09
1996,29,0.01,0.01,0.0,0.03
pointed,29,0.0,0.0,0.0,0.04
market,29,0.02,0.01,0.0,0.08
benz,29,0.02,0.02,0.0,0.11
seller,29,0.01,0.0,0.0,0.03
flat,29,0.01,0.0,0.0,0.04
brown,29,0.0,0.0,0.0,0.04
logo,29,0.0,0.0,0.0,0.05
vintage,29,0.02,0.02,0.0,0.12
bomber,28,0.04,0.04,0.0,0.24
exploded,28,0.04,0.03,0.0,0.15
bomb,28,0.04,0.04,0.0,0.31
detonated,28,0.03,0.03,0.0,0.13
front,28,0.02,0.01,0.01,0.1
accidents,28,0.02,0.01,0.0,0.06
as,28,0.02,0.01,0.01,0.06
planted,28,0.03,0.03,0.0,0.23
about,28,0.01,0.01,0.01,0.04
many,28,0.01,0.0,0.0,0.02
pedestrian,28,0.01,0.01,0.0,0.08
all,28,0.01,0.01,0.01,0.04
rental,28,0.02,0.02,0.0,0.26
brake,28,0.01,0.01,0.0,0.04
boy,28,0.01,0.01,0.0,0.03
ridden,28,0.01,0.01,0.0,0.03
climbing,28,0.01,0.0,0.0,0.03
jail,28,0.0,0.0,0.0,0.02
