context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
bird,36,0.04,0.04,0.0,0.45
birds,35,0.04,0.04,0.0,0.31
wings,34,0.02,0.02,0.0,0.33
flies,30,0.03,0.03,0.0,0.34
population,29,0.01,0.01,0.0,0.03
wildlife,27,0.01,0.01,0.0,0.06
species,27,0.07,0.06,0.01,0.25
fly,26,0.04,0.03,0.0,0.32
nest,25,0.06,0.05,0.0,0.32
flew,25,0.01,0.01,0.0,0.09
habitat,25,0.04,0.04,0.0,0.33
spread,25,0.01,0.01,0.0,0.04
eggs,24,0.05,0.04,0.0,0.23
are,24,0.01,0.01,0.0,0.03
common,23,0.01,0.01,0.0,0.03
box,23,0.01,0.01,0.0,0.05
confirmed,23,0.01,0.01,0.0,0.05
detected,23,0.01,0.01,0.0,0.11
survive,23,0.0,0.0,0.0,0.02
case,22,0.0,0.0,0.0,0.02
breeding,22,0.03,0.03,0.0,0.22
managing,22,0.01,0.01,0.0,0.09
highly,22,0.0,0.0,0.0,0.02
described,22,0.01,0.01,0.0,0.05
refuge,22,0.0,0.0,0.0,0.02
shoot,22,0.01,0.01,0.0,0.05
referred,22,0.0,0.0,0.0,0.02
island,22,0.01,0.01,0.0,0.06
like,22,0.03,0.02,0.01,0.11
wood,21,0.02,0.01,0.0,0.15
both,21,0.01,0.0,0.0,0.01
turkey,21,0.01,0.01,0.0,0.04
nor,21,0.01,0.0,0.0,0.06
something,21,0.01,0.01,0.0,0.07
director,21,0.01,0.01,0.0,0.09
appeared,21,0.01,0.01,0.0,0.05
dr,21,0.01,0.01,0.0,0.08
acknowledged,21,0.0,0.0,0.0,0.02
eye,21,0.02,0.02,0.0,0.1
africa,21,0.01,0.01,0.0,0.05
organization,21,0.01,0.0,0.0,0.04
wild,21,0.02,0.01,0.0,0.15
populations,21,0.03,0.02,0.0,0.07
wiped,21,0.0,0.0,0.0,0.02
tiny,21,0.01,0.01,0.0,0.05
eat,21,0.01,0.01,0.0,0.04
threat,21,0.01,0.01,0.0,0.05
tough,21,0.0,0.0,0.0,0.02
executive,20,0.01,0.01,0.0,0.06
brown,20,0.02,0.02,0.0,0.22
tailed,20,0.02,0.01,0.0,0.13
but,20,0.02,0.01,0.01,0.08
doubt,20,0.0,0.0,0.0,0.01
wing,20,0.02,0.02,0.0,0.17
rare,20,0.02,0.01,0.0,0.07
turn,20,0.01,0.01,0.0,0.07
kill,20,0.01,0.01,0.0,0.04
feeding,20,0.01,0.01,0.0,0.03
giant,20,0.01,0.01,0.0,0.04
since,20,0.01,0.0,0.0,0.01
may,20,0.01,0.0,0.0,0.03
kills,20,0.01,0.01,0.0,0.06
eating,20,0.01,0.01,0.0,0.13
measures,20,0.0,0.0,0.0,0.01
cape,20,0.01,0.01,0.0,0.07
islands,20,0.05,0.05,0.0,0.84
originated,20,0.0,0.0,0.0,0.02
manager,19,0.02,0.01,0.0,0.15
agent,19,0.01,0.01,0.0,0.03
it,19,0.02,0.01,0.01,0.08
years,19,0.02,0.01,0.0,0.06
appears,19,0.01,0.01,0.0,0.04
candidates,19,0.0,0.0,0.0,0.01
endangered,19,0.06,0.06,0.0,0.39
affect,19,0.0,0.0,0.0,0.01
capped,19,0.01,0.01,0.0,0.15
players,19,0.01,0.01,0.0,0.03
possibility,19,0.0,0.0,0.0,0.01
harris,19,0.01,0.01,0.0,0.04
attention,19,0.01,0.01,0.0,0.11
authorities,19,0.01,0.0,0.0,0.02
worst,19,0.0,0.0,0.0,0.01
lake,19,0.01,0.01,0.0,0.07
similar,19,0.01,0.0,0.0,0.02
sent,19,0.01,0.01,0.0,0.05
again,19,0.01,0.0,0.0,0.03
watching,19,0.01,0.0,0.0,0.02
spotted,19,0.06,0.06,0.0,0.81
founder,19,0.01,0.01,0.0,0.04
that,19,0.02,0.01,0.01,0.06
david,19,0.01,0.01,0.0,0.05
very,19,0.01,0.01,0.0,0.02
hawk,19,0.02,0.02,0.0,0.13
rice,19,0.01,0.0,0.0,0.03
feed,19,0.01,0.01,0.0,0.03
high,19,0.01,0.0,0.0,0.01
have,19,0.01,0.01,0.01,0.02
fox,19,0.01,0.01,0.0,0.11
over,19,0.01,0.01,0.0,0.03
listed,19,0.01,0.0,0.0,0.02
made,19,0.01,0.01,0.01,0.03
attitude,19,0.0,0.0,0.0,0.02
count,19,0.0,0.0,0.0,0.01
eyes,19,0.01,0.0,0.0,0.04
within,19,0.01,0.01,0.0,0.02
dying,19,0.01,0.0,0.0,0.01
infected,19,0.03,0.02,0.0,0.23
studied,19,0.01,0.01,0.0,0.03
commonly,19,0.0,0.0,0.0,0.02
research,19,0.01,0.01,0.0,0.03
amazing,19,0.01,0.0,0.0,0.02
cry,19,0.0,0.0,0.0,0.02
bad,19,0.01,0.01,0.0,0.04
virus,19,0.02,0.02,0.0,0.13
drama,19,0.01,0.0,0.0,0.05
fish,19,0.02,0.02,0.0,0.16
james,18,0.01,0.01,0.0,0.09
tail,18,0.03,0.02,0.0,0.11
news,18,0.01,0.0,0.0,0.02
questions,18,0.0,0.0,0.0,0.01
speaking,18,0.0,0.0,0.0,0.02
comic,18,0.01,0.0,0.0,0.02
lab,18,0.01,0.01,0.0,0.08
believes,18,0.0,0.0,0.0,0.02
character,18,0.01,0.01,0.0,0.02
concerned,18,0.0,0.0,0.0,0.01
distinctive,18,0.01,0.01,0.0,0.03
campaign,18,0.01,0.01,0.0,0.03
directed,18,0.0,0.0,0.0,0.02
voice,18,0.01,0.0,0.0,0.02
coast,18,0.01,0.01,0.0,0.03
major,18,0.01,0.0,0.0,0.01
officials,18,0.01,0.01,0.0,0.02
probably,18,0.01,0.0,0.0,0.02
discovered,18,0.01,0.0,0.0,0.03
for,18,0.02,0.01,0.01,0.06
acquired,18,0.01,0.0,0.0,0.03
produced,18,0.01,0.01,0.0,0.07
gave,18,0.01,0.0,0.0,0.01
north,18,0.01,0.0,0.0,0.03
behavior,18,0.01,0.0,0.0,0.02
greater,18,0.01,0.0,0.0,0.03
continuing,18,0.0,0.0,0.0,0.01
hong,18,0.01,0.01,0.0,0.09
duck,18,0.04,0.03,0.01,0.18
kong,18,0.01,0.01,0.0,0.07
eagle,18,0.03,0.03,0.0,0.22
admitted,18,0.0,0.0,0.0,0.01
somehow,18,0.0,0.0,0.0,0.02
african,18,0.0,0.0,0.0,0.01
animal,18,0.01,0.01,0.0,0.04
resident,18,0.01,0.01,0.0,0.07
allow,18,0.01,0.0,0.0,0.02
announced,18,0.01,0.01,0.0,0.02
ground,18,0.01,0.01,0.0,0.07
male,18,0.01,0.01,0.0,0.04
more,18,0.01,0.01,0.01,0.05
specialist,18,0.0,0.0,0.0,0.02
experts,18,0.0,0.0,0.0,0.02
numbers,18,0.0,0.0,0.0,0.01
united,18,0.01,0.0,0.0,0.01
stuffed,18,0.01,0.01,0.0,0.05
order,18,0.0,0.0,0.0,0.01
number,18,0.01,0.0,0.0,0.02
water,18,0.01,0.01,0.0,0.05
asian,18,0.01,0.01,0.0,0.03
1977,18,0.0,0.0,0.0,0.01
spreading,18,0.0,0.0,0.0,0.02
far,18,0.01,0.0,0.0,0.02
pattern,18,0.01,0.01,0.0,0.07
efforts,18,0.0,0.0,0.0,0.02
discovery,18,0.01,0.01,0.0,0.05
drill,18,0.0,0.0,0.0,0.02
thin,18,0.01,0.0,0.0,0.02
alert,18,0.01,0.01,0.0,0.05
delicate,18,0.01,0.01,0.0,0.07
span,18,0.03,0.03,0.0,0.49
against,18,0.01,0.01,0.0,0.04
threats,18,0.01,0.01,0.0,0.06
raised,18,0.01,0.01,0.0,0.07
flying,18,0.03,0.02,0.01,0.11
tests,18,0.0,0.0,0.0,0.01
neither,18,0.01,0.01,0.0,0.04
louisiana,18,0.0,0.0,0.0,0.02
constant,18,0.0,0.0,0.0,0.04
scott,17,0.02,0.02,0.0,0.17
chose,17,0.01,0.01,0.0,0.06
difficult,17,0.0,0.0,0.0,0.01
meant,17,0.01,0.0,0.0,0.03
must,17,0.01,0.0,0.0,0.02
sweet,17,0.01,0.01,0.0,0.04
cotton,17,0.01,0.01,0.0,0.05
researcher,17,0.01,0.0,0.0,0.02
actual,17,0.0,0.0,0.0,0.01
concerns,17,0.0,0.0,0.0,0.02
cast,17,0.0,0.0,0.0,0.02
currently,17,0.0,0.0,0.0,0.02
although,17,0.0,0.0,0.0,0.01
whole,17,0.0,0.0,0.0,0.02
usually,17,0.01,0.0,0.0,0.02
lawyer,17,0.01,0.01,0.0,0.05
1964,17,0.01,0.0,0.0,0.02
sorry,17,0.0,0.0,0.0,0.01
professor,17,0.01,0.01,0.0,0.02
pieces,17,0.01,0.01,0.0,0.04
weeks,17,0.0,0.0,0.0,0.01
secretary,17,0.01,0.01,0.0,0.07
roles,17,0.01,0.01,0.0,0.09
belly,17,0.0,0.0,0.0,0.01
tends,17,0.01,0.01,0.0,0.03
effects,17,0.0,0.0,0.0,0.02
oscar,17,0.0,0.0,0.0,0.02
argued,17,0.0,0.0,0.0,0.02
cage,17,0.01,0.01,0.0,0.02
associated,17,0.01,0.0,0.0,0.03
seemed,17,0.01,0.01,0.0,0.04
1980s,17,0.0,0.0,0.0,0.01
landed,17,0.02,0.02,0.0,0.16
actually,17,0.01,0.01,0.0,0.02
huge,17,0.01,0.01,0.0,0.04
most,17,0.01,0.0,0.0,0.02
jan,17,0.01,0.0,0.0,0.03
protected,17,0.01,0.01,0.0,0.03
pigeon,17,0.01,0.01,0.0,0.09
has,17,0.02,0.01,0.01,0.07
legs,17,0.01,0.01,0.0,0.02
little,17,0.02,0.01,0.01,0.06
known,17,0.02,0.02,0.0,0.11
spring,17,0.01,0.01,0.0,0.03
21,17,0.01,0.0,0.0,0.01
including,17,0.01,0.01,0.0,0.02
damages,17,0.01,0.01,0.0,0.07
harm,17,0.0,0.0,0.0,0.02
seasons,17,0.0,0.0,0.0,0.02
impressive,17,0.01,0.01,0.0,0.09
studying,17,0.01,0.01,0.0,0.09
further,17,0.0,0.0,0.0,0.01
monitor,17,0.0,0.0,0.0,0.02
applied,17,0.01,0.01,0.0,0.04
mouth,17,0.0,0.0,0.0,0.01
surface,17,0.01,0.01,0.0,0.04
ill,17,0.0,0.0,0.0,0.02
easily,17,0.01,0.0,0.0,0.03
equivalent,17,0.01,0.0,0.0,0.03
plays,17,0.01,0.0,0.0,0.02
la,17,0.0,0.0,0.0,0.01
looked,17,0.01,0.01,0.0,0.03
early,17,0.01,0.0,0.0,0.02
caused,17,0.01,0.0,0.0,0.01
lands,17,0.01,0.01,0.0,0.05
deer,17,0.01,0.01,0.0,0.06
affected,17,0.0,0.0,0.0,0.03
profile,17,0.0,0.0,0.0,0.03
speculated,17,0.0,0.0,0.0,0.01
otherwise,17,0.0,0.0,0.0,0.02
considered,17,0.01,0.0,0.0,0.02
or,17,0.02,0.01,0.01,0.03
so,17,0.01,0.01,0.01,0.03
played,17,0.01,0.01,0.0,0.04
results,17,0.0,0.0,0.0,0.01
starring,17,0.01,0.01,0.0,0.02
caribbean,17,0.02,0.02,0.0,0.18
dramatically,17,0.0,0.0,0.0,0.01
circling,17,0.01,0.01,0.0,0.03
positive,17,0.0,0.0,0.0,0.03
mechanical,17,0.01,0.01,0.0,0.04
found,17,0.01,0.01,0.01,0.04
runway,17,0.02,0.02,0.0,0.09
hunt,17,0.01,0.01,0.0,0.06
an,17,0.05,0.03,0.01,0.17
jay,16,0.01,0.01,0.0,0.11
after,16,0.02,0.01,0.01,0.03
heard,16,0.01,0.01,0.0,0.01
coastal,16,0.01,0.0,0.0,0.02
lasted,16,0.0,0.0,0.0,0.01
last,16,0.01,0.0,0.01,0.02
campbell,16,0.0,0.0,0.0,0.01
decision,16,0.0,0.0,0.0,0.01
done,16,0.0,0.0,0.0,0.01
less,16,0.01,0.0,0.0,0.02
close,16,0.0,0.0,0.0,0.01
specific,16,0.0,0.0,0.0,0.01
announcement,16,0.0,0.0,0.0,0.01
expressed,16,0.0,0.0,0.0,0.02
expecting,16,0.0,0.0,0.0,0.02
controversy,16,0.0,0.0,0.0,0.02
sticking,16,0.0,0.0,0.0,0.02
novel,16,0.01,0.01,0.0,0.05
revealed,16,0.0,0.0,0.0,0.02
fields,16,0.01,0.01,0.0,0.17
approach,16,0.01,0.01,0.0,0.08
evidence,16,0.0,0.0,0.0,0.03
eyed,16,0.02,0.02,0.0,0.13
whatever,16,0.0,0.0,0.0,0.01
unit,16,0.01,0.0,0.0,0.01
words,16,0.0,0.0,0.0,0.01
62,16,0.01,0.0,0.0,0.02
sounds,16,0.01,0.0,0.0,0.01
jack,16,0.04,0.04,0.0,0.54
