context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
blueberries,9,0.01,0.01,0.0,0.02
peach,8,0.14,0.14,0.01,0.79
apricot,8,0.07,0.07,0.0,0.23
flavors,8,0.05,0.04,0.02,0.13
tart,8,0.03,0.03,0.01,0.09
apple,8,0.04,0.04,0.01,0.11
spice,8,0.01,0.0,0.0,0.02
slices,8,0.08,0.07,0.01,0.21
sweet,8,0.02,0.01,0.01,0.04
peaches,8,0.02,0.02,0.0,0.05
luscious,8,0.01,0.0,0.0,0.02
quarters,8,0.0,0.0,0.0,0.01
slice,8,0.02,0.02,0.0,0.06
melon,8,0.03,0.02,0.0,0.06
apples,8,0.01,0.01,0.0,0.03
cubes,8,0.01,0.01,0.0,0.02
tasted,8,0.0,0.0,0.0,0.01
somewhat,8,0.0,0.0,0.0,0.01
sweetness,8,0.01,0.01,0.0,0.02
cherry,7,0.04,0.04,0.01,0.15
blackberry,7,0.03,0.03,0.0,0.12
peeled,7,0.03,0.03,0.01,0.08
diced,7,0.02,0.02,0.01,0.07
pear,7,0.05,0.04,0.02,0.16
blueberry,7,0.03,0.03,0.01,0.07
compote,7,0.01,0.01,0.0,0.03
varieties,7,0.02,0.01,0.01,0.03
juicy,7,0.02,0.02,0.0,0.04
fresh,7,0.03,0.02,0.02,0.08
grape,7,0.02,0.01,0.01,0.05
or,7,0.02,0.01,0.01,0.03
halves,7,0.04,0.03,0.01,0.12
sipping,7,0.0,0.0,0.0,0.01
pork,7,0.01,0.0,0.0,0.02
preferably,7,0.0,0.0,0.0,0.01
grilled,7,0.03,0.02,0.01,0.07
dessert,7,0.02,0.01,0.01,0.04
notes,7,0.01,0.0,0.0,0.01
hint,7,0.01,0.0,0.0,0.02
tarts,7,0.01,0.0,0.0,0.01
wedges,7,0.02,0.02,0.0,0.08
favored,7,0.0,0.0,0.0,0.01
rum,7,0.02,0.02,0.01,0.08
pits,7,0.01,0.01,0.0,0.03
taiwan,7,0.01,0.01,0.0,0.02
delicious,7,0.01,0.01,0.0,0.01
juices,7,0.02,0.02,0.0,0.06
grapes,7,0.01,0.01,0.0,0.03
cobbler,7,0.07,0.07,0.0,0.39
lose,7,0.0,0.0,0.0,0.01
caramelized,7,0.01,0.01,0.0,0.03
cocktail,7,0.01,0.0,0.0,0.01
sorbet,7,0.02,0.02,0.0,0.05
citrus,7,0.03,0.02,0.0,0.08
grow,7,0.01,0.0,0.0,0.02
molasses,7,0.0,0.0,0.0,0.0
custard,7,0.01,0.01,0.0,0.02
spiked,7,0.0,0.0,0.0,0.0
bubble,7,0.0,0.0,0.0,0.0
quarter,7,0.0,0.0,0.0,0.02
widely,7,0.0,0.0,0.0,0.0
rows,7,0.01,0.0,0.0,0.02
slightly,7,0.0,0.0,0.0,0.01
peels,7,0.03,0.02,0.0,0.15
raspberries,7,0.01,0.0,0.0,0.01
betty,7,0.0,0.0,0.0,0.0
goods,7,0.0,0.0,0.0,0.0
pops,7,0.0,0.0,0.0,0.01
significantly,7,0.0,0.0,0.0,0.0
stack,7,0.0,0.0,0.0,0.0
cents,7,0.01,0.01,0.0,0.05
intended,7,0.0,0.0,0.0,0.0
usual,7,0.0,0.0,0.0,0.0
etc,7,0.0,0.0,0.0,0.0
orange,7,0.06,0.05,0.01,0.16
honey,7,0.02,0.01,0.01,0.04
syrup,7,0.05,0.05,0.01,0.2
blend,7,0.01,0.01,0.01,0.02
half,7,0.01,0.0,0.0,0.02
recipes,7,0.01,0.0,0.0,0.02
cut,7,0.01,0.0,0.0,0.02
muffins,7,0.01,0.01,0.0,0.04
fold,7,0.01,0.0,0.0,0.01
