context,p,r,f1,n_pos,total_pos,n_neg,total_neg
european,0.9,0.9,0.89375,9,14,1,46
scale,0.9,0.9,0.89375,9,14,1,46
bright,0.9,0.9,0.89375,9,14,1,46
blue,0.8793444650587507,0.8833333333333333,0.8781754385964914,9,14,2,46
yellow,0.8838779956427014,0.8833333333333333,0.8736590467652773,8,14,1,46
colorful,0.8838779956427014,0.8833333333333333,0.8736590467652773,8,14,1,46
colored,0.8838779956427014,0.8833333333333333,0.8736590467652773,8,14,1,46
liquor,0.8987421383647799,0.8833333333333333,0.868013468013468,7,14,0,46
trout,0.8987421383647799,0.8833333333333333,0.868013468013468,7,14,0,46
fish,0.8613333333333333,0.8666666666666667,0.8583333333333333,8,14,2,46
birds,0.8613333333333333,0.8666666666666667,0.8583333333333333,8,14,2,46
smaller,0.8676282051282052,0.8666666666666667,0.8525664811379097,7,14,1,46
carriers,0.8864197530864197,0.8666666666666667,0.8453333333333333,6,14,0,46
mill,0.8864197530864197,0.8666666666666667,0.8453333333333333,6,14,0,46
amazon,0.8864197530864197,0.8666666666666667,0.8453333333333333,6,14,0,46
relatives,0.8864197530864197,0.8666666666666667,0.8453333333333333,6,14,0,46
clear,0.8424860853432282,0.85,0.8433684210526315,8,14,3,46
flies,0.8424860853432282,0.85,0.8433684210526315,8,14,3,46
meal,0.8429193899782135,0.85,0.8375616315553563,7,14,2,46
saved,0.8429193899782135,0.85,0.8375616315553563,7,14,2,46
shop,0.8429193899782135,0.85,0.8375616315553563,7,14,2,46
painful,0.8429193899782135,0.85,0.8375616315553563,7,14,2,46
butterfly,0.8429193899782135,0.85,0.8375616315553563,7,14,2,46
feather,0.8429193899782135,0.85,0.8375616315553563,7,14,2,46
kinds,0.8429193899782135,0.85,0.8375616315553563,7,14,2,46
excited,0.8429193899782135,0.85,0.8375616315553563,7,14,2,46
uncomfortable,0.8509433962264151,0.85,0.8303030303030303,6,14,1,46
rainbow,0.8509433962264151,0.85,0.8303030303030303,6,14,1,46
entirely,0.8509433962264151,0.85,0.8303030303030303,6,14,1,46
teamed,0.8509433962264151,0.85,0.8303030303030303,6,14,1,46
spencer,0.8509433962264151,0.85,0.8303030303030303,6,14,1,46
various,0.8263888888888888,0.8333333333333334,0.8286961265684669,8,14,4,46
millions,0.8226666666666667,0.8333333333333334,0.8229166666666666,7,14,3,46
types,0.8226666666666667,0.8333333333333334,0.8229166666666666,7,14,3,46
beer,0.8226666666666667,0.8333333333333334,0.8229166666666666,7,14,3,46
spot,0.8226666666666667,0.8333333333333334,0.8229166666666666,7,14,3,46
highly,0.8226666666666667,0.8333333333333334,0.8229166666666666,7,14,3,46
conventional,0.8226666666666667,0.8333333333333334,0.8229166666666666,7,14,3,46
specimens,0.8226666666666667,0.8333333333333334,0.8229166666666666,7,14,3,46
bird,0.8226666666666667,0.8333333333333334,0.8229166666666666,7,14,3,46
exported,0.8745454545454545,0.85,0.8211568525273579,5,14,0,46
parrot,0.8745454545454545,0.85,0.8211568525273579,5,14,0,46
extinct,0.8237179487179487,0.8333333333333334,0.8157081014223871,6,14,2,46
bass,0.8237179487179487,0.8333333333333334,0.8157081014223871,6,14,2,46
octopus,0.8237179487179487,0.8333333333333334,0.8157081014223871,6,14,2,46
centre,0.8237179487179487,0.8333333333333334,0.8157081014223871,6,14,2,46
disaster,0.8237179487179487,0.8333333333333334,0.8157081014223871,6,14,2,46
atlantic,0.8237179487179487,0.8333333333333334,0.8157081014223871,6,14,2,46
expected,0.8237179487179487,0.8333333333333334,0.8157081014223871,6,14,2,46
malaysia,0.8237179487179487,0.8333333333333334,0.8157081014223871,6,14,2,46
toxic,0.8237179487179487,0.8333333333333334,0.8157081014223871,6,14,2,46
letting,0.8237179487179487,0.8333333333333334,0.8157081014223871,6,14,2,46
flock,0.8237179487179487,0.8333333333333334,0.8157081014223871,6,14,2,46
pigeon,0.8237179487179487,0.8333333333333334,0.8157081014223871,6,14,2,46
main,0.8123840698308783,0.8166666666666667,0.814257268020709,8,14,5,46
created,0.8123840698308783,0.8166666666666667,0.814257268020709,8,14,5,46
cover,0.8056277056277055,0.8166666666666667,0.808561403508772,7,14,4,46
disturbing,0.8056277056277055,0.8166666666666667,0.808561403508772,7,14,4,46
which,0.8056277056277055,0.8166666666666667,0.808561403508772,7,14,4,46
inches,0.8056277056277055,0.8166666666666667,0.808561403508772,7,14,4,46
landing,0.8056277056277055,0.8166666666666667,0.808561403508772,7,14,4,46
fewer,0.8056277056277055,0.8166666666666667,0.808561403508772,7,14,4,46
tested,0.8056277056277055,0.8166666666666667,0.808561403508772,7,14,4,46
prey,0.8056277056277055,0.8166666666666667,0.808561403508772,7,14,4,46
biggest,0.8056277056277055,0.8166666666666667,0.808561403508772,7,14,4,46
arrived,0.8333333333333334,0.8333333333333334,0.8066666666666666,5,14,1,46
attracts,0.8333333333333334,0.8333333333333334,0.8066666666666666,5,14,1,46
coral,0.8333333333333334,0.8333333333333334,0.8066666666666666,5,14,1,46
gary,0.8333333333333334,0.8333333333333334,0.8066666666666666,5,14,1,46
uk,0.8333333333333334,0.8333333333333334,0.8066666666666666,5,14,1,46
feathers,0.8333333333333334,0.8333333333333334,0.8066666666666666,5,14,1,46
species,0.8107954545454545,0.8,0.8044444444444444,9,14,7,46
breeders,0.8019607843137254,0.8166666666666667,0.8014642163454354,6,14,3,46
cooking,0.8019607843137254,0.8166666666666667,0.8014642163454354,6,14,3,46
green,0.8019607843137254,0.8166666666666667,0.8014642163454354,6,14,3,46
cod,0.8019607843137254,0.8166666666666667,0.8014642163454354,6,14,3,46
offshore,0.8019607843137254,0.8166666666666667,0.8014642163454354,6,14,3,46
generations,0.8019607843137254,0.8166666666666667,0.8014642163454354,6,14,3,46
subject,0.8019607843137254,0.8166666666666667,0.8014642163454354,6,14,3,46
damage,0.8019607843137254,0.8166666666666667,0.8014642163454354,6,14,3,46
written,0.8019607843137254,0.8166666666666667,0.8014642163454354,6,14,3,46
batch,0.8019607843137254,0.8166666666666667,0.8014642163454354,6,14,3,46
customs,0.8019607843137254,0.8166666666666667,0.8014642163454354,6,14,3,46
cage,0.8019607843137254,0.8166666666666667,0.8014642163454354,6,14,3,46
shark,0.8019607843137254,0.8166666666666667,0.8014642163454354,6,14,3,46
orders,0.8019607843137254,0.8166666666666667,0.8014642163454354,6,14,3,46
suspected,0.8019607843137254,0.8166666666666667,0.8014642163454354,6,14,3,46
perched,0.8019607843137254,0.8166666666666667,0.8014642163454354,6,14,3,46
keep,0.8,0.8,0.8,8,14,6,46
remains,0.8,0.8,0.8,8,14,6,46
andrew,0.863095238095238,0.8333333333333334,0.7952069716775599,4,14,0,46
vital,0.863095238095238,0.8333333333333334,0.7952069716775599,4,14,0,46
stunned,0.863095238095238,0.8333333333333334,0.7952069716775599,4,14,0,46
imported,0.863095238095238,0.8333333333333334,0.7952069716775599,4,14,0,46
leap,0.863095238095238,0.8333333333333334,0.7952069716775599,4,14,0,46
retail,0.863095238095238,0.8333333333333334,0.7952069716775599,4,14,0,46
jamie,0.863095238095238,0.8333333333333334,0.7952069716775599,4,14,0,46
aggressively,0.863095238095238,0.8333333333333334,0.7952069716775599,4,14,0,46
quarantine,0.863095238095238,0.8333333333333334,0.7952069716775599,4,14,0,46
harbor,0.7909722222222222,0.8,0.7944353518821604,7,14,5,46
inside,0.7909722222222222,0.8,0.7944353518821604,7,14,5,46
featuring,0.7909722222222222,0.8,0.7944353518821604,7,14,5,46
identify,0.7909722222222222,0.8,0.7944353518821604,7,14,5,46
cold,0.7909722222222222,0.8,0.7944353518821604,7,14,5,46
air,0.7909722222222222,0.8,0.7944353518821604,7,14,5,46
seafood,0.8031446540880504,0.8166666666666667,0.7925925925925926,5,14,2,46
outbreaks,0.8031446540880504,0.8166666666666667,0.7925925925925926,5,14,2,46
lands,0.8031446540880504,0.8166666666666667,0.7925925925925926,5,14,2,46
juvenile,0.8031446540880504,0.8166666666666667,0.7925925925925926,5,14,2,46
prevent,0.8031446540880504,0.8166666666666667,0.7925925925925926,5,14,2,46
easily,0.8031446540880504,0.8166666666666667,0.7925925925925926,5,14,2,46
ray,0.8031446540880504,0.8166666666666667,0.7925925925925926,5,14,2,46
slogan,0.8031446540880504,0.8166666666666667,0.7925925925925926,5,14,2,46
flew,0.8031446540880504,0.8166666666666667,0.7925925925925926,5,14,2,46
succumbed,0.8031446540880504,0.8166666666666667,0.7925925925925926,5,14,2,46
choosing,0.784,0.8,0.7874999999999999,6,14,4,46
declines,0.784,0.8,0.7874999999999999,6,14,4,46
channels,0.784,0.8,0.7874999999999999,6,14,4,46
cages,0.784,0.8,0.7874999999999999,6,14,4,46
happens,0.784,0.8,0.7874999999999999,6,14,4,46
letters,0.784,0.8,0.7874999999999999,6,14,4,46
flight,0.784,0.8,0.7874999999999999,6,14,4,46
jumping,0.784,0.8,0.7874999999999999,6,14,4,46
females,0.784,0.8,0.7874999999999999,6,14,4,46
themed,0.784,0.8,0.7874999999999999,6,14,4,46
penguin,0.784,0.8,0.7874999999999999,6,14,4,46
native,0.788888888888889,0.7833333333333333,0.7858784893267651,8,14,7,46
simple,0.788888888888889,0.7833333333333333,0.7858784893267651,8,14,7,46
lab,0.788888888888889,0.7833333333333333,0.7858784893267651,8,14,7,46
routine,0.788888888888889,0.7833333333333333,0.7858784893267651,8,14,7,46
squid,0.8139393939393941,0.8166666666666667,0.7814139308667708,4,14,1,46
earn,0.8139393939393941,0.8166666666666667,0.7814139308667708,4,14,1,46
involved,0.8139393939393941,0.8166666666666667,0.7814139308667708,4,14,1,46
sum,0.8139393939393941,0.8166666666666667,0.7814139308667708,4,14,1,46
halibut,0.8139393939393941,0.8166666666666667,0.7814139308667708,4,14,1,46
silence,0.8139393939393941,0.8166666666666667,0.7814139308667708,4,14,1,46
crowned,0.8139393939393941,0.8166666666666667,0.7814139308667708,4,14,1,46
longer,0.8139393939393941,0.8166666666666667,0.7814139308667708,4,14,1,46
recover,0.8139393939393941,0.8166666666666667,0.7814139308667708,4,14,1,46
monk,0.8139393939393941,0.8166666666666667,0.7814139308667708,4,14,1,46
resident,0.8139393939393941,0.8166666666666667,0.7814139308667708,4,14,1,46
puerto,0.8139393939393941,0.8166666666666667,0.7814139308667708,4,14,1,46
correctly,0.8139393939393941,0.8166666666666667,0.7814139308667708,4,14,1,46
slight,0.8139393939393941,0.8166666666666667,0.7814139308667708,4,14,1,46
megan,0.8139393939393941,0.8166666666666667,0.7814139308667708,4,14,1,46
midnight,0.8139393939393941,0.8166666666666667,0.7814139308667708,4,14,1,46
emblazoned,0.8139393939393941,0.8166666666666667,0.7814139308667708,4,14,1,46
sketch,0.8139393939393941,0.8166666666666667,0.7814139308667708,4,14,1,46
scott,0.8139393939393941,0.8166666666666667,0.7814139308667708,4,14,1,46
monitoring,0.7781232951445717,0.7833333333333333,0.7804858622062923,7,14,6,46
tend,0.7781232951445717,0.7833333333333333,0.7804858622062923,7,14,6,46
notes,0.7781232951445717,0.7833333333333333,0.7804858622062923,7,14,6,46
experts,0.7781232951445717,0.7833333333333333,0.7804858622062923,7,14,6,46
larger,0.7781232951445717,0.7833333333333333,0.7804858622062923,7,14,6,46
150,0.7781232951445717,0.7833333333333333,0.7804858622062923,7,14,6,46
extensive,0.7781232951445717,0.7833333333333333,0.7804858622062923,7,14,6,46
butterflies,0.7781232951445717,0.7833333333333333,0.7804858622062923,7,14,6,46
tests,0.7781232951445717,0.7833333333333333,0.7804858622062923,7,14,6,46
declined,0.7781232951445717,0.7833333333333333,0.7804858622062923,7,14,6,46
liquid,0.7798076923076922,0.8,0.7788497217068645,5,14,3,46
mediterranean,0.7798076923076922,0.8,0.7788497217068645,5,14,3,46
aquatic,0.7798076923076922,0.8,0.7788497217068645,5,14,3,46
singers,0.7798076923076922,0.8,0.7788497217068645,5,14,3,46
prince,0.7798076923076922,0.8,0.7788497217068645,5,14,3,46
detected,0.7798076923076922,0.8,0.7788497217068645,5,14,3,46
tomorrow,0.7798076923076922,0.8,0.7788497217068645,5,14,3,46
suspect,0.7798076923076922,0.8,0.7788497217068645,5,14,3,46
aussie,0.7798076923076922,0.8,0.7788497217068645,5,14,3,46
discovering,0.7798076923076922,0.8,0.7788497217068645,5,14,3,46
spielberg,0.7798076923076922,0.8,0.7788497217068645,5,14,3,46
investor,0.7798076923076922,0.8,0.7788497217068645,5,14,3,46
prevention,0.7798076923076922,0.8,0.7788497217068645,5,14,3,46
confirmed,0.7798076923076922,0.8,0.7788497217068645,5,14,3,46
feeding,0.7798076923076922,0.8,0.7788497217068645,5,14,3,46
climate,0.7798076923076922,0.8,0.7788497217068645,5,14,3,46
sensitive,0.7798076923076922,0.8,0.7788497217068645,5,14,3,46
tube,0.7798076923076922,0.8,0.7788497217068645,5,14,3,46
negative,0.7798076923076922,0.8,0.7788497217068645,5,14,3,46
beloved,0.7798076923076922,0.8,0.7788497217068645,5,14,3,46
balance,0.768769325912183,0.7833333333333333,0.7737543859649122,6,14,5,46
