context,p,r,f1,n_pos,total_pos,n_neg,total_neg
lake,0.9788182831661092,0.9782608695652174,0.9776773950686993,7,8,0,38
waves,0.9788182831661092,0.9782608695652174,0.9776773950686993,7,8,0,38
sweeping,0.9586956521739131,0.9565217391304348,0.9539735626692147,6,8,0,38
generations,0.9586956521739131,0.9565217391304348,0.9539735626692147,6,8,0,38
wildlife,0.9586956521739131,0.9565217391304348,0.9539735626692147,6,8,0,38
450,0.9586956521739131,0.9565217391304348,0.9539735626692147,6,8,0,38
specialist,0.932791845835324,0.9347826086956522,0.9330321852060983,6,8,1,38
poses,0.932791845835324,0.9347826086956522,0.9330321852060983,6,8,1,38
port,0.932791845835324,0.9347826086956522,0.9330321852060983,6,8,1,38
cultivated,0.9395546129374337,0.9347826086956522,0.9284958299817959,5,8,0,38
eastern,0.9395546129374337,0.9347826086956522,0.9284958299817959,5,8,0,38
protected,0.9395546129374337,0.9347826086956522,0.9284958299817959,5,8,0,38
counting,0.9395546129374337,0.9347826086956522,0.9284958299817959,5,8,0,38
cedar,0.9395546129374337,0.9347826086956522,0.9284958299817959,5,8,0,38
forests,0.9395546129374337,0.9347826086956522,0.9284958299817959,5,8,0,38
reaches,0.9395546129374337,0.9347826086956522,0.9284958299817959,5,8,0,38
waste,0.9395546129374337,0.9347826086956522,0.9284958299817959,5,8,0,38
feet,0.9395546129374337,0.9347826086956522,0.9284958299817959,5,8,0,38
sink,0.9395546129374337,0.9347826086956522,0.9284958299817959,5,8,0,38
below,0.9395546129374337,0.9347826086956522,0.9284958299817959,5,8,0,38
pollution,0.9395546129374337,0.9347826086956522,0.9284958299817959,5,8,0,38
agencies,0.9395546129374337,0.9347826086956522,0.9284958299817959,5,8,0,38
researcher,0.9395546129374337,0.9347826086956522,0.9284958299817959,5,8,0,38
visible,0.9395546129374337,0.9347826086956522,0.9284958299817959,5,8,0,38
views,0.9395546129374337,0.9347826086956522,0.9284958299817959,5,8,0,38
steaming,0.9248792270531401,0.9130434782608695,0.9166993080036557,7,8,3,38
ban,0.9248792270531401,0.9130434782608695,0.9166993080036557,7,8,3,38
various,0.9130434782608695,0.9130434782608695,0.9130434782608695,6,8,2,38
plagued,0.9130434782608695,0.9130434782608695,0.9130434782608695,6,8,2,38
survive,0.9090579710144927,0.9130434782608695,0.9079471253384298,5,8,1,38
boat,0.9090579710144927,0.9130434782608695,0.9079471253384298,5,8,1,38
struck,0.9090579710144927,0.9130434782608695,0.9079471253384298,5,8,1,38
maine,0.9090579710144927,0.9130434782608695,0.9079471253384298,5,8,1,38
declines,0.9090579710144927,0.9130434782608695,0.9079471253384298,5,8,1,38
suspended,0.9090579710144927,0.9130434782608695,0.9079471253384298,5,8,1,38
humans,0.9090579710144927,0.9130434782608695,0.9079471253384298,5,8,1,38
coastal,0.9090579710144927,0.9130434782608695,0.9079471253384298,5,8,1,38
samples,0.9090579710144927,0.9130434782608695,0.9079471253384298,5,8,1,38
malaysia,0.9090579710144927,0.9130434782608695,0.9079471253384298,5,8,1,38
ai,0.9090579710144927,0.9130434782608695,0.9079471253384298,5,8,1,38
potential,0.9090579710144927,0.9130434782608695,0.9079471253384298,5,8,1,38
medicines,0.9090579710144927,0.9130434782608695,0.9079471253384298,5,8,1,38
melting,0.9090579710144927,0.9130434782608695,0.9079471253384298,5,8,1,38
cluster,0.9090579710144927,0.9130434782608695,0.9079471253384298,5,8,1,38
species,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
lakes,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
beds,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
endangered,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
farming,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
saffron,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
intake,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
millions,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
strain,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
lands,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
pond,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
kills,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
resources,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
floating,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
atlantic,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
areas,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
arctic,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
wind,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
transport,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
berries,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
construction,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
earth,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
nights,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
pipe,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
presenting,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
tapioca,0.9213250517598344,0.9130434782608695,0.9007246376811595,4,8,0,38
either,0.8973756365060713,0.8913043478260869,0.893776641091219,6,8,3,38
laboratory,0.8973756365060713,0.8913043478260869,0.893776641091219,6,8,3,38
breeding,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
coast,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
findings,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
diversity,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
task,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
factor,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
properties,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
efforts,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
building,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
sampled,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
impact,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
detected,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
concentrated,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
hit,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
shore,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
threatened,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
sizes,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
tests,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
peninsula,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
iconic,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
orleans,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
andrew,0.886765408504539,0.8913043478260869,0.8883869753434971,5,8,2,38
populations,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
proteins,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
shellfish,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
fish,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
fisherman,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
native,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
clusters,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
mud,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
harbor,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
sticking,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
bigger,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
water,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
equipped,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
suspicious,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
monitoring,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
chemistry,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
habitat,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
protecting,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
waters,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
scale,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
survival,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
pool,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
protect,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
land,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
contained,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
shallow,0.8846235418875928,0.8913043478260869,0.8808263833029933,4,8,1,38
