context,p,r,f1,n_pos,total_pos,n_neg,total_neg
among,0.9757575757575758,0.975,0.9743589743589745,7,8,0,32
recommends,0.9529411764705882,0.95,0.9471861471861471,6,8,0,32
instance,0.922943722943723,0.925,0.9230769230769231,6,8,1,32
plants,0.922943722943723,0.925,0.9230769230769231,6,8,1,32
classic,0.922943722943723,0.925,0.9230769230769231,6,8,1,32
finishing,0.922943722943723,0.925,0.9230769230769231,6,8,1,32
born,0.9314285714285713,0.925,0.9180252583237658,5,8,0,32
garden,0.9314285714285713,0.925,0.9180252583237658,5,8,0,32
wild,0.9314285714285713,0.925,0.9180252583237658,5,8,0,32
buds,0.9314285714285713,0.925,0.9180252583237658,5,8,0,32
lacks,0.9314285714285713,0.925,0.9180252583237658,5,8,0,32
striking,0.9314285714285713,0.925,0.9180252583237658,5,8,0,32
de,0.9314285714285713,0.925,0.9180252583237658,5,8,0,32
cultivated,0.9314285714285713,0.925,0.9180252583237658,5,8,0,32
scented,0.9314285714285713,0.925,0.9180252583237658,5,8,0,32
shops,0.9314285714285713,0.925,0.9180252583237658,5,8,0,32
maine,0.9314285714285713,0.925,0.9180252583237658,5,8,0,32
methods,0.9314285714285713,0.925,0.9180252583237658,5,8,0,32
method,0.9314285714285713,0.925,0.9180252583237658,5,8,0,32
spotted,0.9314285714285713,0.925,0.9180252583237658,5,8,0,32
qualities,0.9314285714285713,0.925,0.9180252583237658,5,8,0,32
pots,0.9314285714285713,0.925,0.9180252583237658,5,8,0,32
angel,0.9314285714285713,0.925,0.9180252583237658,5,8,0,32
unusual,0.9314285714285713,0.925,0.9180252583237658,5,8,0,32
potted,0.9314285714285713,0.925,0.9180252583237658,5,8,0,32
off,0.9314285714285713,0.925,0.9180252583237658,5,8,0,32
they,0.9133333333333333,0.9,0.9039426523297489,7,8,3,32
native,0.9,0.9,0.9,6,8,2,32
john,0.9,0.9,0.9,6,8,2,32
showing,0.9,0.9,0.9,6,8,2,32
strong,0.9,0.9,0.9,6,8,2,32
fan,0.9,0.9,0.9,6,8,2,32
working,0.9,0.9,0.9,6,8,2,32
filled,0.9,0.9,0.9,6,8,2,32
cookie,0.9,0.9,0.9,6,8,2,32
seems,0.9,0.9,0.9,6,8,2,32
comes,0.9,0.9,0.9,6,8,2,32
offerings,0.9,0.9,0.9,6,8,2,32
los,0.8960784313725491,0.9,0.8943722943722945,5,8,1,32
geranium,0.8960784313725491,0.9,0.8943722943722945,5,8,1,32
ferns,0.8960784313725491,0.9,0.8943722943722945,5,8,1,32
forms,0.8960784313725491,0.9,0.8943722943722945,5,8,1,32
delivered,0.8960784313725491,0.9,0.8943722943722945,5,8,1,32
hour,0.8960784313725491,0.9,0.8943722943722945,5,8,1,32
loving,0.8960784313725491,0.9,0.8943722943722945,5,8,1,32
bouquet,0.8960784313725491,0.9,0.8943722943722945,5,8,1,32
sage,0.8960784313725491,0.9,0.8943722943722945,5,8,1,32
blue,0.8960784313725491,0.9,0.8943722943722945,5,8,1,32
wheel,0.8960784313725491,0.9,0.8943722943722945,5,8,1,32
lovers,0.8960784313725491,0.9,0.8943722943722945,5,8,1,32
various,0.8960784313725491,0.9,0.8943722943722945,5,8,1,32
england,0.8960784313725491,0.9,0.8943722943722945,5,8,1,32
showcase,0.8960784313725491,0.9,0.8943722943722945,5,8,1,32
