context,p,r,f1,n_pos,total_pos,n_neg,total_neg
tip,1.0,1.0,1.0,1,1,0,11
titanic,1.0,1.0,1.0,1,1,0,11
sank,1.0,1.0,1.0,1,1,0,11
1912,1.0,1.0,1.0,1,1,0,11
maiden,1.0,1.0,1.0,1,1,0,11
liner,1.0,1.0,1.0,1,1,0,11
just,1.0,1.0,1.0,1,1,0,11
an,1.0,1.0,1.0,1,1,0,11
antarctic,1.0,1.0,1.0,1,1,0,11
struck,1.0,1.0,1.0,1,1,0,11
ship,1.0,1.0,1.0,1,1,0,11
antarctica,1.0,1.0,1.0,1,1,0,11
atlantic,1.0,1.0,1.0,1,1,0,11
hitting,1.0,1.0,1.0,1,1,0,11
hit,1.0,1.0,1.0,1,1,0,11
only,1.0,1.0,1.0,1,1,0,11
voyage,1.0,1.0,1.0,1,1,0,11
striking,1.0,1.0,1.0,1,1,0,11
collision,1.0,1.0,1.0,1,1,0,11
newfoundland,1.0,1.0,1.0,1,1,0,11
slim,1.0,1.0,1.0,1,1,0,11
represent,1.0,1.0,1.0,1,1,0,11
sinking,1.0,1.0,1.0,1,1,0,11
merely,1.0,1.0,1.0,1,1,0,11
unsinkable,1.0,1.0,1.0,1,1,0,11
seeing,1.0,1.0,1.0,1,1,0,11
terms,1.0,1.0,1.0,1,1,0,11
melting,1.0,1.0,1.0,1,1,0,11
floating,1.0,1.0,1.0,1,1,0,11
glacier,1.0,1.0,1.0,1,1,0,11
explorer,1.0,1.0,1.0,1,1,0,11
sunk,1.0,1.0,1.0,1,1,0,11
visible,1.0,1.0,1.0,1,1,0,11
collided,1.0,1.0,1.0,1,1,0,11
cases,1.0,1.0,1.0,1,1,0,11
spotted,1.0,1.0,1.0,1,1,0,11
greenland,1.0,1.0,1.0,1,1,0,11
this,1.0,1.0,1.0,1,1,0,11
proverbial,1.0,1.0,1.0,1,1,0,11
we,1.0,1.0,1.0,1,1,0,11
sink,1.0,1.0,1.0,1,1,0,11
represented,1.0,1.0,1.0,1,1,0,11
ocean,1.0,1.0,1.0,1,1,0,11
hits,1.0,1.0,1.0,1,1,0,11
melt,1.0,1.0,1.0,1,1,0,11
touched,1.0,1.0,1.0,1,1,0,11
ross,1.0,1.0,1.0,1,1,0,11
khan,1.0,1.0,1.0,1,1,0,11
tips,1.0,1.0,1.0,1,1,0,11
hull,1.0,1.0,1.0,1,1,0,11
underneath,1.0,1.0,1.0,1,1,0,11
cruise,1.0,1.0,1.0,1,1,0,11
waters,1.0,1.0,1.0,1,1,0,11
sinks,1.0,1.0,1.0,1,1,0,11
wilderness,1.0,1.0,1.0,1,1,0,11
flagged,1.0,1.0,1.0,1,1,0,11
luxembourg,1.0,1.0,1.0,1,1,0,11
alley,1.0,1.0,1.0,1,1,0,11
vessel,1.0,1.0,1.0,1,1,0,11
calving,1.0,1.0,1.0,1,1,0,11
