context,p,r,f1,n_pos,total_pos,n_neg,total_neg
political,1.0,1.0,1.0,2,2,0,3
systems,1.0,1.0,1.0,2,2,0,3
attempts,1.0,1.0,1.0,2,2,0,3
can,1.0,1.0,1.0,2,2,0,3
networks,1.0,1.0,1.0,2,2,0,3
try,1.0,1.0,1.0,2,2,0,3
steal,1.0,1.0,1.0,2,2,0,3
proof,1.0,1.0,1.0,2,2,0,3
could,1.0,1.0,1.0,2,2,0,3
if,1.0,1.0,1.0,2,2,0,3
bunker,1.0,1.0,1.0,2,2,0,3
used,1.0,1.0,1.0,2,2,0,3
software,1.0,1.0,1.0,2,2,0,3
intelligence,1.0,1.0,1.0,2,2,0,3
upset,1.0,1.0,1.0,2,2,0,3
wedge,1.0,1.0,1.0,2,2,0,3
using,1.0,1.0,1.0,2,2,0,3
work,1.0,1.0,1.0,2,2,0,3
gonzalez,1.0,1.0,1.0,2,2,0,3
gary,1.0,1.0,1.0,2,2,0,3
files,1.0,1.0,1.0,2,2,0,3
party,1.0,1.0,1.0,2,2,0,3
cyber,1.0,1.0,1.0,2,2,0,3
writing,1.0,1.0,1.0,2,2,0,3
kill,1.0,1.0,1.0,2,2,0,3
dr,1.0,1.0,1.0,2,2,0,3
easy,1.0,1.0,1.0,2,2,0,3
sixth,1.0,1.0,1.0,2,2,0,3
sites,1.0,1.0,1.0,2,2,0,3
atomic,1.0,1.0,1.0,2,2,0,3
some,1.0,1.0,1.0,2,2,0,3
drew,1.0,1.0,1.0,2,2,0,3
pursuit,1.0,1.0,1.0,2,2,0,3
aging,1.0,1.0,1.0,2,2,0,3
attacks,1.0,1.0,1.0,2,2,0,3
mit,1.0,1.0,1.0,2,2,0,3
secretly,1.0,1.0,1.0,2,2,0,3
sophisticated,1.0,1.0,1.0,2,2,0,3
network,1.0,1.0,1.0,2,2,0,3
apparent,1.0,1.0,1.0,2,2,0,3
system,1.0,1.0,1.0,2,2,0,3
bank,1.0,1.0,1.0,2,2,0,3
attack,1.0,1.0,1.0,2,2,0,3
written,1.0,1.0,1.0,2,2,0,3
strategy,1.0,1.0,1.0,2,2,0,3
gop,1.0,1.0,1.0,2,2,0,3
easier,1.0,1.0,1.0,2,2,0,3
seventh,1.0,1.0,1.0,2,2,0,3
payment,1.0,1.0,1.0,2,2,0,3
biggest,1.0,1.0,1.0,2,2,0,3
warfare,1.0,1.0,1.0,2,2,0,3
site,1.0,1.0,1.0,2,2,0,3
house,1.0,1.0,1.0,2,2,0,3
should,1.0,1.0,1.0,2,2,0,3
long,1.0,1.0,1.0,2,2,0,3
companies,1.0,1.0,1.0,2,2,0,3
communications,1.0,1.0,1.0,2,2,0,3
wounds,1.0,1.0,1.0,2,2,0,3
suspend,1.0,1.0,1.0,2,2,0,3
suspects,1.0,1.0,1.0,2,2,0,3
anonymous,1.0,1.0,1.0,2,2,0,3
blunt,1.0,1.0,1.0,2,2,0,3
labeled,1.0,1.0,1.0,2,2,0,3
semi,1.0,1.0,1.0,2,2,0,3
needed,1.0,1.0,1.0,2,2,0,3
dismissed,1.0,1.0,1.0,2,2,0,3
short,1.0,1.0,1.0,2,2,0,3
discover,1.0,1.0,1.0,2,2,0,3
tactics,1.0,1.0,1.0,2,2,0,3
sort,1.0,1.0,1.0,2,2,0,3
sets,1.0,1.0,1.0,2,2,0,3
notion,1.0,1.0,1.0,2,2,0,3
hell,1.0,1.0,1.0,2,2,0,3
scientist,1.0,1.0,1.0,2,2,0,3
twice,1.0,1.0,1.0,2,2,0,3
proceeded,1.0,1.0,1.0,2,2,0,3
experts,1.0,1.0,1.0,2,2,0,3
manages,1.0,1.0,1.0,2,2,0,3
plays,1.0,1.0,1.0,2,2,0,3
scheme,1.0,1.0,1.0,2,2,0,3
charged,1.0,1.0,1.0,2,2,0,3
objects,1.0,1.0,1.0,2,2,0,3
thousands,1.0,1.0,1.0,2,2,0,3
threatening,1.0,1.0,1.0,2,2,0,3
prove,1.0,1.0,1.0,2,2,0,3
washington,1.0,1.0,1.0,2,2,0,3
employed,1.0,1.0,1.0,2,2,0,3
obviously,1.0,1.0,1.0,2,2,0,3
hard,1.0,1.0,1.0,2,2,0,3
means,1.0,1.0,1.0,2,2,0,3
alleged,1.0,1.0,1.0,2,2,0,3
defense,1.0,1.0,1.0,2,2,0,3
kind,1.0,1.0,1.0,2,2,0,3
director,1.0,1.0,1.0,2,2,0,3
charge,1.0,1.0,1.0,2,2,0,3
bump,1.0,1.0,1.0,2,2,0,3
suspended,1.0,1.0,1.0,2,2,0,3
routinely,1.0,1.0,1.0,2,2,0,3
practical,1.0,1.0,1.0,2,2,0,3
taught,1.0,1.0,1.0,2,2,0,3
access,1.0,1.0,1.0,2,2,0,3
drive,1.0,1.0,1.0,2,2,0,3
plants,1.0,1.0,1.0,2,2,0,3
programs,1.0,1.0,1.0,2,2,0,3
protective,1.0,1.0,1.0,2,2,0,3
launched,1.0,1.0,1.0,2,2,0,3
exposed,1.0,1.0,1.0,2,2,0,3
chance,1.0,1.0,1.0,2,2,0,3
camera,1.0,1.0,1.0,2,2,0,3
replaces,1.0,1.0,1.0,2,2,0,3
providing,1.0,1.0,1.0,2,2,0,3
wrote,1.0,1.0,1.0,2,2,0,3
lee,1.0,1.0,1.0,2,2,0,3
fingers,1.0,1.0,1.0,2,2,0,3
talking,1.0,1.0,1.0,2,2,0,3
live,1.0,1.0,1.0,2,2,0,3
arm,1.0,1.0,1.0,2,2,0,3
number,1.0,1.0,1.0,2,2,0,3
defensive,1.0,1.0,1.0,2,2,0,3
unsuccessfully,1.0,1.0,1.0,2,2,0,3
extremely,1.0,1.0,1.0,2,2,0,3
arms,1.0,1.0,1.0,2,2,0,3
illegally,1.0,1.0,1.0,2,2,0,3
roof,1.0,1.0,1.0,2,2,0,3
democrats,1.0,1.0,1.0,2,2,0,3
challenge,1.0,1.0,1.0,2,2,0,3
codes,1.0,1.0,1.0,2,2,0,3
scientists,1.0,1.0,1.0,2,2,0,3
bent,1.0,1.0,1.0,2,2,0,3
funding,1.0,1.0,1.0,2,2,0,3
operative,1.0,1.0,1.0,2,2,0,3
transparent,1.0,1.0,1.0,2,2,0,3
regard,1.0,1.0,1.0,2,2,0,3
titled,1.0,1.0,1.0,2,2,0,3
soldier,1.0,1.0,1.0,2,2,0,3
critics,1.0,1.0,1.0,2,2,0,3
secrets,1.0,1.0,1.0,2,2,0,3
tie,1.0,1.0,1.0,2,2,0,3
starring,1.0,1.0,1.0,2,2,0,3
elaborate,1.0,1.0,1.0,2,2,0,3
seeking,1.0,1.0,1.0,2,2,0,3
victory,1.0,1.0,1.0,2,2,0,3
pyongyang,1.0,1.0,1.0,2,2,0,3
grown,1.0,1.0,1.0,2,2,0,3
complicated,1.0,1.0,1.0,2,2,0,3
option,1.0,1.0,1.0,2,2,0,3
millions,1.0,1.0,1.0,2,2,0,3
spending,1.0,1.0,1.0,2,2,0,3
producing,1.0,1.0,1.0,2,2,0,3
cutting,1.0,1.0,1.0,2,2,0,3
controlling,1.0,1.0,1.0,2,2,0,3
trick,1.0,1.0,1.0,2,2,0,3
boy,1.0,1.0,1.0,2,2,0,3
cool,1.0,1.0,1.0,2,2,0,3
form,1.0,1.0,1.0,2,2,0,3
reverse,1.0,1.0,1.0,2,2,0,3
nike,1.0,1.0,1.0,2,2,0,3
looking,1.0,1.0,1.0,2,2,0,3
sam,1.0,1.0,1.0,2,2,0,3
fails,1.0,1.0,1.0,2,2,0,3
matter,1.0,1.0,1.0,2,2,0,3
department,1.0,1.0,1.0,2,2,0,3
rogue,1.0,1.0,1.0,2,2,0,3
wants,1.0,1.0,1.0,2,2,0,3
obama,1.0,1.0,1.0,2,2,0,3
hughes,1.0,1.0,1.0,2,2,0,3
devices,1.0,1.0,1.0,2,2,0,3
republican,1.0,1.0,1.0,2,2,0,3
pirates,1.0,1.0,1.0,2,2,0,3
these,1.0,1.0,1.0,2,2,0,3
hiring,1.0,1.0,1.0,2,2,0,3
multiple,1.0,1.0,1.0,2,2,0,3
color,1.0,1.0,1.0,2,2,0,3
wildly,1.0,1.0,1.0,2,2,0,3
lab,1.0,1.0,1.0,2,2,0,3
critic,1.0,1.0,1.0,2,2,0,3
solid,1.0,1.0,1.0,2,2,0,3
soil,1.0,1.0,1.0,2,2,0,3
places,1.0,1.0,1.0,2,2,0,3
cry,1.0,1.0,1.0,2,2,0,3
sensitive,1.0,1.0,1.0,2,2,0,3
needs,1.0,1.0,1.0,2,2,0,3
perfectly,1.0,1.0,1.0,2,2,0,3
common,1.0,1.0,1.0,2,2,0,3
commitment,1.0,1.0,1.0,2,2,0,3
senate,1.0,1.0,1.0,2,2,0,3
install,1.0,1.0,1.0,2,2,0,3
sparking,1.0,1.0,1.0,2,2,0,3
costner,1.0,1.0,1.0,2,2,0,3
institute,1.0,1.0,1.0,2,2,0,3
muscle,1.0,1.0,1.0,2,2,0,3
council,1.0,1.0,1.0,2,2,0,3
embrace,1.0,1.0,1.0,2,2,0,3
considering,1.0,1.0,1.0,2,2,0,3
begun,1.0,1.0,1.0,2,2,0,3
photographer,1.0,1.0,1.0,2,2,0,3
enemies,1.0,1.0,1.0,2,2,0,3
peter,1.0,1.0,1.0,2,2,0,3
ranking,1.0,1.0,1.0,2,2,0,3
states,1.0,1.0,1.0,2,2,0,3
staring,1.0,1.0,1.0,2,2,0,3
created,1.0,1.0,1.0,2,2,0,3
heart,1.0,1.0,1.0,2,2,0,3
effort,1.0,1.0,1.0,2,2,0,3
effectiveness,1.0,1.0,1.0,2,2,0,3
stands,1.0,1.0,1.0,2,2,0,3
knows,1.0,1.0,1.0,2,2,0,3
korean,1.0,1.0,1.0,2,2,0,3
thwart,1.0,1.0,1.0,2,2,0,3
eliminate,1.0,1.0,1.0,2,2,0,3
crack,1.0,1.0,1.0,2,2,0,3
throwing,1.0,1.0,1.0,2,2,0,3
throughout,1.0,1.0,1.0,2,2,0,3
possibility,1.0,1.0,1.0,2,2,0,3
campbell,1.0,1.0,1.0,2,2,0,3
pointing,1.0,1.0,1.0,2,2,0,3
depot,1.0,1.0,1.0,2,2,0,3
canadians,1.0,1.0,1.0,2,2,0,3
worked,1.0,1.0,1.0,2,2,0,3
tagged,1.0,1.0,1.0,2,2,0,3
discourage,1.0,1.0,1.0,2,2,0,3
disclosed,1.0,1.0,1.0,2,2,0,3
recommends,1.0,1.0,1.0,2,2,0,3
describing,1.0,1.0,1.0,2,2,0,3
national,1.0,1.0,1.0,2,2,0,3
denouncing,1.0,1.0,1.0,2,2,0,3
division,1.0,1.0,1.0,2,2,0,3
involves,1.0,1.0,1.0,2,2,0,3
demonstrate,1.0,1.0,1.0,2,2,0,3
iraq,1.0,1.0,1.0,2,2,0,3
really,1.0,1.0,1.0,2,2,0,3
shield,1.0,1.0,1.0,2,2,0,3
recommend,1.0,1.0,1.0,2,2,0,3
receiving,1.0,1.0,1.0,2,2,0,3
centered,1.0,1.0,1.0,2,2,0,3
politics,1.0,1.0,1.0,2,2,0,3
cast,1.0,1.0,1.0,2,2,0,3
liberal,1.0,1.0,1.0,2,2,0,3
supplied,1.0,1.0,1.0,2,2,0,3
simulated,1.0,1.0,1.0,2,2,0,3
recent,1.0,1.0,1.0,2,2,0,3
certainly,1.0,1.0,1.0,2,2,0,3
lie,1.0,1.0,1.0,2,2,0,3
slap,1.0,1.0,1.0,2,2,0,3
13th,1.0,1.0,1.0,2,2,0,3
severely,1.0,1.0,1.0,2,2,0,3
wise,1.0,1.0,1.0,2,2,0,3
broadcaster,1.0,1.0,1.0,2,2,0,3
technological,1.0,1.0,1.0,2,2,0,3
wire,1.0,1.0,1.0,2,2,0,3
jung,1.0,1.0,1.0,2,2,0,3
guerrillas,1.0,1.0,1.0,2,2,0,3
serve,1.0,1.0,1.0,2,2,0,3
club,1.0,1.0,1.0,2,2,0,3
predicted,1.0,1.0,1.0,2,2,0,3
plans,1.0,1.0,1.0,2,2,0,3
ranges,1.0,1.0,1.0,2,2,0,3
dlrs,1.0,1.0,1.0,2,2,0,3
budgets,1.0,1.0,1.0,2,2,0,3
patrick,1.0,1.0,1.0,2,2,0,3
defeat,1.0,1.0,1.0,2,2,0,3
harsh,1.0,1.0,1.0,2,2,0,3
bush,1.0,1.0,1.0,2,2,0,3
henry,1.0,1.0,1.0,2,2,0,3
declared,1.0,1.0,1.0,2,2,0,3
praised,1.0,1.0,1.0,2,2,0,3
2007,1.0,1.0,1.0,2,2,0,3
deaths,1.0,1.0,1.0,2,2,0,3
layers,1.0,1.0,1.0,2,2,0,3
introduction,1.0,1.0,1.0,2,2,0,3
bureau,1.0,1.0,1.0,2,2,0,3
meets,1.0,1.0,1.0,2,2,0,3
alter,1.0,1.0,1.0,2,2,0,3
meetings,1.0,1.0,1.0,2,2,0,3
general,1.0,1.0,1.0,2,2,0,3
vowed,1.0,1.0,1.0,2,2,0,3
excuse,1.0,1.0,1.0,2,2,0,3
flexibility,1.0,1.0,1.0,2,2,0,3
vulnerable,1.0,1.0,1.0,2,2,0,3
troops,1.0,1.0,1.0,2,2,0,3
existed,1.0,1.0,1.0,2,2,0,3
flattened,1.0,1.0,1.0,2,2,0,3
reporting,1.0,1.0,1.0,2,2,0,3
attributed,1.0,1.0,1.0,2,2,0,3
