context,p,r,f1,n_pos,total_pos,n_neg,total_neg
flew,0.8810036881050431,0.8731343283582089,0.8664119815430618,29,44,2,90
fly,0.8863318873612234,0.8731343283582089,0.8649796329207492,28,44,1,90
flying,0.8704455662862159,0.8656716417910447,0.859264532600157,29,44,3,90
flies,0.8438500566474557,0.8432835820895522,0.8366023286707822,28,44,5,90
wings,0.8444301404031058,0.835820895522388,0.8242799607405151,25,44,3,90
flight,0.8379752328699184,0.8283582089552238,0.8152154079107573,24,44,3,90
overhead,0.8526053633126962,0.8283582089552238,0.81042548451771,22,44,1,90
bird,0.8315154994259472,0.8208955223880597,0.8060089164566776,23,44,3,90
birds,0.8315154994259472,0.8208955223880597,0.8060089164566776,23,44,3,90
wing,0.8383084577114428,0.8208955223880597,0.803511852502195,22,44,2,90
flown,0.8417143108729425,0.8134328358208955,0.7909938748847652,20,44,1,90
dove,0.8185210312075984,0.8059701492537313,0.7871378402107111,21,44,3,90
hawk,0.826226012793177,0.8059701492537313,0.7841978227673514,20,44,2,90
bright,0.826226012793177,0.8059701492537313,0.7841978227673514,20,44,2,90
prison,0.8494595985589295,0.8059701492537313,0.7775310731030097,18,44,0,90
air,0.7902401737941023,0.7910447761194029,0.7763563136697467,22,44,6,90
billed,0.8308685405922333,0.7985074626865671,0.7708149149721775,18,44,1,90
hovering,0.8308685405922333,0.7985074626865671,0.7708149149721775,18,44,1,90
plane,0.7987336047037541,0.7910447761194029,0.7707638279192274,20,44,4,90
nest,0.8053038379530917,0.7910447761194029,0.7675976552879168,19,44,3,90
republican,0.8053038379530917,0.7910447761194029,0.7675976552879168,19,44,3,90
christopher,0.8450057405281287,0.7985074626865671,0.7670556696205361,17,44,0,90
light,0.7916235508707928,0.7835820895522388,0.7609712630875474,19,44,4,90
altitude,0.8254274603991536,0.7910447761194029,0.7604180787263184,17,44,1,90
highly,0.7721768515911012,0.7761194029850746,0.760381764646157,21,44,7,90
extraordinary,0.7985546351680283,0.7835820895522388,0.7575528948663278,18,44,3,90
refuge,0.7789461781999095,0.7761194029850746,0.7543898156277437,19,44,5,90
scott,0.8077461661942008,0.7835820895522388,0.7538382420071535,17,44,2,90
helicopter,0.8077461661942008,0.7835820895522388,0.7538382420071535,17,44,2,90
landed,0.8077461661942008,0.7835820895522388,0.7538382420071535,17,44,2,90
television,0.7843816631130064,0.7761194029850746,0.7509974878084823,18,44,4,90
lands,0.767147747501027,0.7686567164179104,0.747849131010884,19,44,6,90
jay,0.7916732128829537,0.7761194029850746,0.747311237928007,17,44,3,90
screens,0.7916732128829537,0.7761194029850746,0.747311237928007,17,44,3,90
pigeon,0.7916732128829537,0.7761194029850746,0.747311237928007,17,44,3,90
aerial,0.7712962800568252,0.7686567164179104,0.7444865226108265,18,44,5,90
indian,0.7541135293881,0.7611940298507462,0.7444072156225674,20,44,8,90
client,0.8013953222393777,0.7761194029850746,0.7433050843496267,16,44,2,90
lights,0.8013953222393777,0.7761194029850746,0.7433050843496267,16,44,2,90
fighter,0.8013953222393777,0.7761194029850746,0.7433050843496267,16,44,2,90
chad,0.8013953222393777,0.7761194029850746,0.7433050843496267,16,44,2,90
sophisticated,0.756123230003827,0.7611940298507462,0.741345221942237,19,44,7,90
sky,0.756123230003827,0.7611940298507462,0.741345221942237,19,44,7,90
47,0.8144131039716671,0.7761194029850746,0.7389494833524684,15,44,1,90
craft,0.7591587516960652,0.7611940298507462,0.7380158033362598,18,44,6,90
enemy,0.7591587516960652,0.7611940298507462,0.7380158033362598,18,44,6,90
force,0.744577604587898,0.753731343283582,0.737901640375572,20,44,9,90
propelled,0.7846237917961679,0.7686567164179104,0.7368615690421296,16,44,3,90
perched,0.7846237917961679,0.7686567164179104,0.7368615690421296,16,44,3,90
james,0.7457830267148163,0.753731343283582,0.7348742809154343,19,44,8,90
fields,0.7634594882729211,0.7611940298507462,0.7343973203290477,17,44,5,90
images,0.7634594882729211,0.7611940298507462,0.7343973203290477,17,44,5,90
manager,0.7948943067468089,0.7686567164179104,0.7325453984532079,15,44,2,90
circling,0.7948943067468089,0.7686567164179104,0.7325453984532079,15,44,2,90
downed,0.7948943067468089,0.7686567164179104,0.7325453984532079,15,44,2,90
