context,p,r,f1,n_pos,total_pos,n_neg,total_neg
the,1.0,1.0,1.0,4,4,0,5
tv,1.0,1.0,1.0,4,4,0,5
night,1.0,1.0,1.0,4,4,0,5
diving,1.0,1.0,1.0,4,4,0,5
into,1.0,1.0,1.0,4,4,0,5
cloud,1.0,1.0,1.0,4,4,0,5
sky,1.0,1.0,1.0,4,4,0,5
above,1.0,1.0,1.0,4,4,0,5
sun,1.0,1.0,1.0,4,4,0,5
in,1.0,1.0,1.0,4,4,0,5
visible,1.0,1.0,1.0,4,4,0,5
stars,1.0,1.0,1.0,4,4,0,5
filled,1.0,1.0,1.0,4,4,0,5
satellite,1.0,1.0,1.0,4,4,0,5
overhead,1.0,1.0,1.0,4,4,0,5
light,1.0,1.0,1.0,4,4,0,5
reported,1.0,1.0,1.0,4,4,0,5
is,1.0,1.0,1.0,4,4,0,5
that,1.0,1.0,1.0,4,4,0,5
from,1.0,1.0,1.0,4,4,0,5
black,1.0,1.0,1.0,4,4,0,5
out,1.0,1.0,1.0,4,4,0,5
air,1.0,1.0,1.0,4,4,0,5
flying,1.0,1.0,1.0,4,4,0,5
plane,1.0,1.0,1.0,4,4,0,5
with,1.0,1.0,1.0,4,4,0,5
was,1.0,1.0,1.0,4,4,0,5
boxes,1.0,1.0,1.0,4,4,0,5
looked,1.0,1.0,1.0,4,4,0,5
feet,1.0,1.0,1.0,4,4,0,5
look,1.0,1.0,1.0,4,4,0,5
ceiling,1.0,1.0,1.0,4,4,0,5
flash,1.0,1.0,1.0,4,4,0,5
colors,1.0,1.0,1.0,4,4,0,5
pointed,1.0,1.0,1.0,4,4,0,5
an,1.0,1.0,1.0,4,4,0,5
by,1.0,1.0,1.0,4,4,0,5
will,1.0,1.0,1.0,4,4,0,5
missile,1.0,1.0,1.0,4,4,0,5
fire,1.0,1.0,1.0,4,4,0,5
days,1.0,1.0,1.0,4,4,0,5
rocket,1.0,1.0,1.0,4,4,0,5
which,1.0,1.0,1.0,4,4,0,5
blasted,1.0,1.0,1.0,4,4,0,5
hovering,1.0,1.0,1.0,4,4,0,5
sending,1.0,1.0,1.0,4,4,0,5
after,1.0,1.0,1.0,4,4,0,5
through,1.0,1.0,1.0,4,4,0,5
they,1.0,1.0,1.0,4,4,0,5
then,1.0,1.0,1.0,4,4,0,5
objects,1.0,1.0,1.0,4,4,0,5
be,1.0,1.0,1.0,4,4,0,5
sunday,1.0,1.0,1.0,4,4,0,5
roof,1.0,1.0,1.0,4,4,0,5
team,1.0,1.0,1.0,4,4,0,5
view,1.0,1.0,1.0,4,4,0,5
his,1.0,1.0,1.0,4,4,0,5
before,1.0,1.0,1.0,4,4,0,5
entertainment,1.0,1.0,1.0,4,4,0,5
footage,1.0,1.0,1.0,4,4,0,5
empty,1.0,1.0,1.0,4,4,0,5
if,1.0,1.0,1.0,4,4,0,5
fuel,1.0,1.0,1.0,4,4,0,5
deep,1.0,1.0,1.0,4,4,0,5
seemed,1.0,1.0,1.0,4,4,0,5
burning,1.0,1.0,1.0,4,4,0,5
according,1.0,1.0,1.0,4,4,0,5
single,1.0,1.0,1.0,4,4,0,5
flight,1.0,1.0,1.0,4,4,0,5
their,1.0,1.0,1.0,4,4,0,5
would,1.0,1.0,1.0,4,4,0,5
can,1.0,1.0,1.0,4,4,0,5
were,1.0,1.0,1.0,4,4,0,5
reaching,1.0,1.0,1.0,4,4,0,5
images,1.0,1.0,1.0,4,4,0,5
landed,1.0,1.0,1.0,4,4,0,5
sport,1.0,1.0,1.0,4,4,0,5
still,1.0,1.0,1.0,4,4,0,5
could,1.0,1.0,1.0,4,4,0,5
shoot,1.0,1.0,1.0,4,4,0,5
window,1.0,1.0,1.0,4,4,0,5
around,1.0,1.0,1.0,4,4,0,5
began,1.0,1.0,1.0,4,4,0,5
