context,p,r,f1,n_pos,total_pos,n_neg,total_neg
000,1.0,1.0,1.0,1,1,0,1
grind,1.0,1.0,1.0,1,1,0,1
jobs,1.0,1.0,1.0,1,1,0,1
workforce,1.0,1.0,1.0,1,1,0,1
500,1.0,1.0,1.0,1,1,0,1
knife,1.0,1.0,1.0,1,1,0,1
an,1.0,1.0,1.0,1,1,0,1
the,1.0,1.0,1.0,1,1,0,1
unilever,1.0,1.0,1.0,1,1,0,1
plans,1.0,1.0,1.0,1,1,0,1
wield,1.0,1.0,1.0,1,1,0,1
deodorants,1.0,1.0,1.0,1,1,0,1
wielded,1.0,1.0,1.0,1,1,0,1
400,1.0,1.0,1.0,1,1,0,1
deodorant,1.0,1.0,1.0,1,1,0,1
handles,1.0,1.0,1.0,1,1,0,1
murderer,1.0,1.0,1.0,1,1,0,1
200,1.0,1.0,1.0,1,1,0,1
spray,1.0,1.0,1.0,1,1,0,1
300,1.0,1.0,1.0,1,1,0,1
attacked,1.0,1.0,1.0,1,1,0,1
switching,1.0,1.0,1.0,1,1,0,1
ice,1.0,1.0,1.0,1,1,0,1
it,1.0,1.0,1.0,1,1,0,1
to,1.0,1.0,1.0,1,1,0,1
hacked,1.0,1.0,1.0,1,1,0,1
announced,1.0,1.0,1.0,1,1,0,1
pick,1.0,1.0,1.0,1,1,0,1
bunyan,1.0,1.0,1.0,1,1,0,1
on,1.0,1.0,1.0,1,1,0,1
dove,1.0,1.0,1.0,1,1,0,1
face,1.0,1.0,1.0,1,1,0,1
100,1.0,1.0,1.0,1,1,0,1
fall,1.0,1.0,1.0,1,1,0,1
facing,1.0,1.0,1.0,1,1,0,1
motors,1.0,1.0,1.0,1,1,0,1
houghton,1.0,1.0,1.0,1,1,0,1
700,1.0,1.0,1.0,1,1,0,1
spared,1.0,1.0,1.0,1,1,0,1
ericsson,1.0,1.0,1.0,1,1,0,1
would,1.0,1.0,1.0,1,1,0,1
600,1.0,1.0,1.0,1,1,0,1
stone,1.0,1.0,1.0,1,1,0,1
800,1.0,1.0,1.0,1,1,0,1
routes,1.0,1.0,1.0,1,1,0,1
telecoms,1.0,1.0,1.0,1,1,0,1
soaps,1.0,1.0,1.0,1,1,0,1
posts,1.0,1.0,1.0,1,1,0,1
gang,1.0,1.0,1.0,1,1,0,1
his,1.0,1.0,1.0,1,1,0,1
10,1.0,1.0,1.0,1,1,0,1
said,1.0,1.0,1.0,1,1,0,1
planned,1.0,1.0,1.0,1,1,0,1
knives,1.0,1.0,1.0,1,1,0,1
axe,1.0,1.0,1.0,1,1,0,1
12,1.0,1.0,1.0,1,1,0,1
jaguar,1.0,1.0,1.0,1,1,0,1
selectors,1.0,1.0,1.0,1,1,0,1
