context,p,r,f1,n_pos,total_pos,n_neg,total_neg
wooden,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
skinny,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
copper,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
versions,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
confused,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
via,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
turns,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
feels,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
done,0.7484848484848485,0.7272727272727273,0.7319347319347319,5,7,1,4
degree,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
should,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
steep,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
pipe,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
without,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
fashion,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
tells,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
plans,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
atop,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
useful,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
distinctive,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
please,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
swing,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
romantic,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
garbage,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
borrow,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
bottles,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
bottle,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
featured,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
foil,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
vintage,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
causing,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
fell,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
confessed,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
sells,0.8441558441558441,0.7272727272727273,0.7272727272727273,4,7,0,4
or,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
would,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
50,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
finally,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
stars,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
let,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
means,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
package,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
57,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
endless,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
nail,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
committee,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
shake,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
developing,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
shaky,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
ultimate,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
mtv,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
falls,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
somehow,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
department,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
novel,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
easier,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
59,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
allows,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
classic,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
christmas,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
rock,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
handy,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
moves,0.6909090909090909,0.6363636363636364,0.6424242424242425,4,7,1,4
windshield,0.8181818181818182,0.6363636363636364,0.6242424242424243,3,7,0,4
500,0.8181818181818182,0.6363636363636364,0.6242424242424243,3,7,0,4
advertising,0.8181818181818182,0.6363636363636364,0.6242424242424243,3,7,0,4
300,0.8181818181818182,0.6363636363636364,0.6242424242424243,3,7,0,4
hoping,0.8181818181818182,0.6363636363636364,0.6242424242424243,3,7,0,4
