context,p,r,f1,n_pos,total_pos,n_neg,total_neg
burst,0.794357478090574,0.7086092715231788,0.7012522235416148,46,87,3,64
bright,0.7750433999871408,0.6887417218543046,0.6801267222728934,44,87,4,64
red,0.795560044337664,0.6887417218543046,0.6767921607094763,42,87,2,64
color,0.771647825191576,0.6821192052980133,0.6725172623166099,43,87,4,64
frank,0.771647825191576,0.6821192052980133,0.6725172623166099,43,87,4,64
steel,0.7816568786704986,0.6821192052980133,0.6708148882671672,42,87,3,64
plenty,0.7077021435722989,0.6688741721854304,0.6677409756879956,49,87,12,64
terry,0.7785043915668413,0.6754966887417219,0.6630386356332838,41,87,3,64
legend,0.7785043915668413,0.6754966887417219,0.6630386356332838,41,87,3,64
henry,0.7648548460993795,0.6688741721854304,0.6570988419449658,41,87,4,64
apart,0.7272675815722174,0.6622516556291391,0.6559907073731581,44,87,8,64
wish,0.7039445874090609,0.6556291390728477,0.6524506105569061,46,87,11,64
1991,0.7516912782965187,0.6622516556291391,0.6511621740192403,41,87,5,64
18th,0.7997962302598064,0.6688741721854304,0.6509561079097503,38,87,1,64
modern,0.7161906121938968,0.6556291390728477,0.6499503603256362,44,87,9,64
wine,0.7722001857429284,0.6622516556291391,0.6472688684746312,39,87,3,64
fitted,0.7722001857429284,0.6622516556291391,0.6472688684746312,39,87,3,64
custom,0.7722001857429284,0.6622516556291391,0.6472688684746312,39,87,3,64
parker,0.730702877177361,0.6556291390728477,0.6469344460037266,42,87,7,64
vintage,0.784091044687071,0.6622516556291391,0.645109692414276,38,87,2,64
campbell,0.7480528135282603,0.6556291390728477,0.6433827956227645,40,87,5,64
vibrant,0.7266885809811612,0.6490066225165563,0.6392918357545395,41,87,7,64
pin,0.7690401022011424,0.6556291390728477,0.6392702862145087,38,87,3,64
carries,0.6949227373068433,0.6423841059602649,0.637850946740043,44,87,11,64
lovely,0.7351295024200293,0.6490066225165563,0.6374822592748967,40,87,6,64
elegant,0.7075964160498637,0.6423841059602649,0.6349890795193583,42,87,9,64
ideal,0.7075964160498637,0.6423841059602649,0.6349890795193583,42,87,9,64
features,0.6701163441020237,0.6357615894039735,0.6349627158447421,47,87,15,64
inexpensive,0.7545936656453699,0.6490066225165563,0.6334362750814795,38,87,4,64
touches,0.7147892269490578,0.6423841059602649,0.6333550016192546,41,87,8,64
putting,0.6846935218841806,0.6357615894039735,0.6317887202555452,44,87,12,64
device,0.7658686832527892,0.6490066225165563,0.63119242545013,37,87,3,64
shows,0.6903764896869286,0.6357615894039735,0.6304667268209733,43,87,11,64
fairly,0.696545176677627,0.6357615894039735,0.6290095863828175,42,87,10,64
plum,0.7783847475454738,0.6490066225165563,0.6287957496164926,36,87,2,64
guitar,0.740706515848977,0.6423841059602649,0.6276060609650631,38,87,5,64
column,0.7032548685332108,0.6357615894039735,0.6274149626979907,41,87,9,64
handed,0.7032548685332108,0.6357615894039735,0.6274149626979907,41,87,9,64
virginia,0.710570307979168,0.6357615894039735,0.6256802069150882,40,87,8,64
mock,0.710570307979168,0.6357615894039735,0.6256802069150882,40,87,8,64
blowing,0.7511343445764379,0.6423841059602649,0.6253960664535282,37,87,4,64
concentrated,0.71856772654354,0.6357615894039735,0.6238023445305533,39,87,7,64
purple,0.7626810275816898,0.6423841059602649,0.6230325965425303,36,87,3,64
hit,0.6857989478435383,0.6291390728476821,0.6230234649660699,42,87,11,64
image,0.6857989478435383,0.6291390728476821,0.6230234649660699,42,87,11,64
depending,0.6857989478435383,0.6291390728476821,0.6230234649660699,42,87,11,64
length,0.7273374332543733,0.6357615894039735,0.6217780604047064,38,87,6,64
brother,0.6920607713283989,0.6291390728476821,0.6214701565385938,41,87,10,64
fits,0.6920607713283989,0.6291390728476821,0.6214701565385938,41,87,10,64
send,0.6920607713283989,0.6291390728476821,0.6214701565385938,41,87,10,64
exploded,0.7755252638487214,0.6423841059602649,0.6205110787332967,35,87,2,64
stunning,0.6988755767207544,0.6291390728476821,0.6197755572347825,40,87,9,64
sister,0.6988755767207544,0.6291390728476821,0.6197755572347825,40,87,9,64
romantic,0.6988755767207544,0.6291390728476821,0.6197755572347825,40,87,9,64
tiny,0.6649576301360108,0.6225165562913907,0.6196313325178218,44,87,14,64
colors,0.7369871455478114,0.6357615894039735,0.6196036816883277,37,87,5,64
hand,0.6699434845391625,0.6225165562913907,0.6183992191739287,43,87,13,64
intense,0.7063114425380171,0.6291390728476821,0.6179368060360451,39,87,8,64
15th,0.7063114425380171,0.6291390728476821,0.6179368060360451,39,87,8,64
andy,0.789886797377092,0.6423841059602649,0.6178265117793942,34,87,1,64
dresses,0.7594718643294046,0.6357615894039735,0.6147880420548508,35,87,3,64
adam,0.7594718643294046,0.6357615894039735,0.6147880420548508,35,87,3,64
fact,0.651083849021098,0.6158940397350994,0.6145795317980748,45,87,16,64
covering,0.6875352435905843,0.6225165562913907,0.6138664158870085,40,87,10,64
create,0.6875352435905843,0.6225165562913907,0.6138664158870085,40,87,10,64
fiery,0.6875352435905843,0.6225165562913907,0.6138664158870085,40,87,10,64
dress,0.7233830164678772,0.6291390728476821,0.6138136928526579,37,87,6,64
forth,0.6600935903235615,0.6158940397350994,0.6123487579288568,43,87,14,64
touch,0.6944520349771748,0.6225165562913907,0.6120685780756367,39,87,9,64
patterns,0.7332285869517334,0.6291390728476821,0.6115218466925477,36,87,5,64
roses,0.7332285869517334,0.6291390728476821,0.6115218466925477,36,87,5,64
moments,0.7020059506670506,0.6225165562913907,0.6101224297862097,38,87,8,64
father,0.6706031156683591,0.6158940397350994,0.6095600172862866,41,87,12,64
familiar,0.6706031156683591,0.6158940397350994,0.6095600172862866,41,87,12,64
structure,0.7441234262426316,0.6291390728476821,0.6090708408589203,35,87,4,64
around,0.6420060536378235,0.609271523178808,0.6084145497243596,45,87,17,64
pick,0.7102817804835506,0.6225165562913907,0.6080245353285139,37,87,7,64
attractive,0.7102817804835506,0.6225165562913907,0.6080245353285139,37,87,7,64
